-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  12.1896   Longitude 107.6658 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 598.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,4.0,11.62,0.34,1.71
2022,10,2,4.99,13.87,0.41,2.06
2022,10,3,5.2,14.44,0.43,2.23
2022,10,4,5.02,14.2,0.44,2.22
2022,10,5,5.45,14.9,0.44,2.23
2022,10,6,4.91,13.69,0.4,2.04
2022,10,7,5.25,14.41,0.41,2.12
2022,10,8,4.21,12.38,0.37,1.86
2022,10,9,5.02,14.16,0.41,2.06
2022,10,10,2.72,8.48,0.24,1.21
2022,10,11,3.15,9.9,0.28,1.43
2022,10,12,4.99,13.69,0.38,1.93
2022,10,13,3.99,11.36,0.31,1.59
2022,10,14,1.44,5.06,0.14,0.73
2022,10,15,3.78,11.25,0.32,1.62
2022,10,16,4.73,12.96,0.36,1.8
2022,10,17,4.41,11.91,0.34,1.71
2022,10,18,5.46,14.1,0.4,2.03
2022,10,19,5.39,13.44,0.38,1.89
2022,10,20,3.23,9.73,0.27,1.4
2022,10,21,5.11,13.69,0.38,1.95
2022,10,22,5.63,15.14,0.43,2.18
2022,10,23,4.06,11.87,0.34,1.7
2022,10,24,5.77,15.07,0.41,2.12
2022,10,25,2.99,9.27,0.26,1.31
2022,10,26,4.85,13.51,0.38,1.89
2022,10,27,1.51,5.34,0.15,0.76
2022,10,28,4.17,11.74,0.32,1.62
2022,10,29,4.22,11.97,0.34,1.72
2022,10,30,4.65,12.84,0.36,1.81
2022,10,31,5.73,14.48,0.4,2.05
2022,11,1,5.14,13.34,0.38,1.92
2022,11,2,5.12,12.83,0.36,1.84
2022,11,3,3.57,9.73,0.27,1.38
2022,11,4,3.47,10.2,0.29,1.48
2022,11,5,4.57,12.75,0.36,1.81
2022,11,6,5.08,13.79,0.38,1.97
2022,11,7,5.78,15.14,0.41,2.16
2022,11,8,5.91,15.36,0.42,2.18
2022,11,9,5.05,13.46,0.38,1.92
2022,11,10,5.11,13.75,0.39,2.0
2022,11,11,5.06,13.65,0.38,1.95
2022,11,12,3.17,9.41,0.27,1.38
2022,11,13,3.23,9.82,0.28,1.45
2022,11,14,5.17,13.73,0.38,1.98
2022,11,15,4.85,13.12,0.38,1.95
2022,11,16,5.43,14.3,0.41,2.17
2022,11,17,5.02,13.4,0.38,2.02
2022,11,18,5.11,13.62,0.39,2.09
2022,11,19,2.08,6.69,0.21,1.09
2022,11,20,1.6,5.51,0.17,0.9
2022,11,21,3.22,9.79,0.3,1.61
2022,11,22,2.62,8.36,0.26,1.36
2022,11,23,3.89,11.17,0.33,1.74
2022,11,24,4.48,12.18,0.35,1.86
2022,11,25,4.69,12.71,0.38,1.97
2022,11,26,4.33,12.05,0.34,1.84
2022,11,27,4.99,13.47,0.38,2.01
2022,11,28,4.67,12.8,0.36,1.88
2022,11,29,5.82,14.84,0.41,2.16
2022,11,30,5.5,14.23,0.4,2.07
2022,12,1,4.71,12.73,0.36,1.91
2022,12,2,3.62,10.45,0.3,1.61
2022,12,3,3.26,9.58,0.28,1.5
2022,12,4,3.3,9.7,0.29,1.59
2022,12,5,4.25,11.66,0.34,1.84
2022,12,6,3.35,9.81,0.3,1.64
2022,12,7,2.75,8.6,0.27,1.45
2022,12,8,4.88,13.01,0.4,2.15
2022,12,9,4.92,12.92,0.4,2.21
2022,12,10,5.35,13.8,0.42,2.32
2022,12,11,5.46,13.72,0.4,2.13
2022,12,12,4.92,12.67,0.37,1.95
2022,12,13,5.53,13.62,0.39,2.07
2022,12,14,4.75,11.86,0.34,1.77
2022,12,15,5.3,13.65,0.38,2.01
2022,12,16,4.84,12.78,0.38,2.05
2022,12,17,3.02,8.98,0.28,1.59
2022,12,18,3.28,9.31,0.3,1.66
2022,12,19,4.19,11.21,0.35,1.95
2022,12,20,4.58,12.21,0.37,2.05
2022,12,21,4.68,12.3,0.38,2.09
2022,12,22,5.1,13.08,0.38,2.12
2022,12,23,5.52,13.37,0.38,2.07
2022,12,24,4.15,10.66,0.31,1.72
2022,12,25,5.09,12.47,0.36,2.0
2022,12,26,5.21,12.82,0.37,2.02
2022,12,27,4.91,12.33,0.36,1.98
2022,12,28,5.65,13.88,0.41,2.26
2022,12,29,5.65,14.12,0.41,2.16
2022,12,30,4.4,11.41,0.34,1.93
2022,12,31,4.11,10.87,0.32,1.75
