-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  12.1896   Longitude 107.6658 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 598.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,4.82,13.69,0.41,2.16
2021,10,2,4.64,13.04,0.41,2.06
2021,10,3,4.67,13.07,0.4,2.02
2021,10,4,4.91,13.62,0.41,2.08
2021,10,5,4.96,13.96,0.41,2.12
2021,10,6,2.55,8.37,0.26,1.32
2021,10,7,3.34,10.59,0.32,1.63
2021,10,8,2.42,7.91,0.24,1.21
2021,10,9,5.17,14.6,0.44,2.23
2021,10,10,4.19,12.05,0.35,1.77
2021,10,11,4.52,12.88,0.38,1.92
2021,10,12,4.03,11.7,0.34,1.74
2021,10,13,2.35,7.82,0.23,1.2
2021,10,14,3.94,11.72,0.35,1.8
2021,10,15,4.04,11.98,0.37,1.86
2021,10,16,2.57,8.12,0.24,1.21
2021,10,17,2.19,7.2,0.22,1.12
2021,10,18,5.22,14.48,0.43,2.22
2021,10,19,5.1,14.08,0.41,2.16
2021,10,20,5.11,14.02,0.41,2.11
2021,10,21,4.42,12.61,0.38,1.9
2021,10,22,4.9,13.76,0.41,2.11
2021,10,23,4.39,12.38,0.36,1.82
2021,10,24,3.6,10.66,0.3,1.52
2021,10,25,2.69,8.59,0.24,1.24
2021,10,26,3.7,10.85,0.31,1.6
2021,10,27,1.07,3.75,0.11,0.55
2021,10,28,5.2,13.95,0.41,2.1
2021,10,29,5.23,14.02,0.41,2.08
2021,10,30,5.37,14.43,0.41,2.1
2021,10,31,4.05,11.7,0.34,1.7
2021,11,1,5.06,13.73,0.38,1.94
2021,11,2,5.97,15.37,0.42,2.19
2021,11,3,5.14,13.86,0.4,2.06
2021,11,4,4.36,12.26,0.35,1.79
2021,11,5,5.62,14.84,0.42,2.15
2021,11,6,5.44,14.3,0.4,2.07
2021,11,7,5.49,14.45,0.41,2.16
2021,11,8,4.89,13.33,0.38,2.01
2021,11,9,3.67,10.8,0.32,1.63
2021,11,10,3.37,10.07,0.29,1.49
2021,11,11,2.41,7.76,0.23,1.16
2021,11,12,3.83,11.33,0.34,1.74
2021,11,13,4.12,11.77,0.34,1.8
2021,11,14,3.35,10.15,0.3,1.56
2021,11,15,3.8,11.02,0.31,1.61
2021,11,16,2.9,9.03,0.26,1.34
2021,11,17,4.33,12.34,0.35,1.86
2021,11,18,3.66,10.59,0.3,1.53
2021,11,19,4.85,13.02,0.35,1.81
2021,11,20,4.54,12.52,0.34,1.75
2021,11,21,4.72,12.82,0.35,1.84
2021,11,22,3.47,10.21,0.29,1.52
2021,11,23,3.89,10.95,0.3,1.57
2021,11,24,3.56,10.31,0.29,1.5
2021,11,25,3.89,11.12,0.31,1.66
2021,11,26,4.03,11.31,0.31,1.62
2021,11,27,1.96,6.42,0.19,0.98
2021,11,28,2.37,7.54,0.22,1.13
2021,11,29,2.39,7.63,0.22,1.14
2021,11,30,1.64,5.41,0.16,0.85
2021,12,1,4.46,11.98,0.34,1.82
2021,12,2,4.63,12.09,0.33,1.74
2021,12,3,4.34,11.38,0.3,1.59
2021,12,4,4.95,12.53,0.34,1.83
2021,12,5,3.56,9.98,0.28,1.48
2021,12,6,4.37,11.68,0.31,1.63
2021,12,7,5.41,13.81,0.37,1.89
2021,12,8,3.76,10.52,0.28,1.5
2021,12,9,3.84,10.74,0.29,1.54
2021,12,10,5.77,14.25,0.39,2.03
2021,12,11,4.58,11.91,0.32,1.66
2021,12,12,4.48,12.17,0.33,1.73
2021,12,13,4.93,12.94,0.36,1.94
2021,12,14,4.26,11.55,0.3,1.6
2021,12,15,4.96,13.16,0.35,1.82
2021,12,16,4.75,12.54,0.35,1.91
2021,12,17,4.65,12.35,0.36,1.95
2021,12,18,4.5,11.55,0.32,1.71
2021,12,19,2.47,7.45,0.21,1.13
2021,12,20,4.59,12.09,0.34,1.82
2021,12,21,4.71,12.25,0.35,1.89
2021,12,22,4.11,10.97,0.31,1.69
2021,12,23,3.55,10.06,0.3,1.62
2021,12,24,3.93,10.93,0.32,1.77
2021,12,25,4.35,11.6,0.32,1.7
2021,12,26,4.19,11.2,0.31,1.66
2021,12,27,3.74,10.12,0.28,1.49
2021,12,28,3.53,9.95,0.28,1.51
2021,12,29,3.51,9.74,0.27,1.44
2021,12,30,4.37,11.71,0.32,1.7
2021,12,31,5.29,13.54,0.38,1.97
