-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  12.1896   Longitude 107.6658 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 598.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.16,23.07,21.81,22.44,23.05,17.4,92.88,2.53,94.27,0.06,233.12,0.79,236.38,0.95
2021,275,2.06,23.01,21.79,22.4,23.01,17.4,93.19,12.83,94.33,0.07,216.62,0.92,222.5,0.96
2021,276,2.02,22.93,21.64,22.28,22.94,17.27,92.81,3.01,94.23,0.04,172.25,0.55,194.31,0.95
2021,277,2.08,23.88,21.69,22.79,23.9,17.4,88.81,7.01,94.09,0.06,55.94,0.69,43.12,0.95
2021,278,2.12,23.37,22.01,22.69,23.37,17.7,92.62,31.01,93.99,0.06,50.62,0.82,40.62,0.97
2021,279,1.32,22.47,21.43,21.95,22.33,17.09,94.0,27.63,93.82,0.13,204.38,0.63,240.94,0.98
2021,280,1.63,22.65,21.83,22.24,22.65,17.52,95.25,6.95,93.82,0.09,234.75,1.27,242.88,0.96
2021,281,1.21,23.71,22.62,23.16,23.71,18.37,93.81,5.62,93.85,0.09,244.5,1.49,243.0,0.96
2021,282,2.23,23.53,22.12,22.82,23.53,17.76,92.0,2.74,94.03,0.11,227.31,1.65,232.81,0.95
2021,283,1.77,23.9,22.33,23.12,23.91,18.07,91.5,11.57,93.98,0.08,232.69,1.26,235.0,0.96
2021,284,1.92,23.63,22.83,23.23,23.62,18.62,95.38,10.29,93.91,0.08,235.38,1.44,238.88,0.96
2021,285,1.74,22.8,22.29,22.55,22.8,18.01,96.81,8.11,93.88,0.09,239.25,1.32,234.38,0.96
2021,286,1.2,23.19,22.4,22.79,23.19,18.25,95.38,26.34,93.73,0.1,272.62,1.51,248.12,0.97
2021,287,1.8,23.51,22.47,22.98,23.51,18.19,94.12,19.22,93.95,0.08,234.06,1.43,232.44,0.98
2021,288,1.86,23.2,22.17,22.69,23.2,17.88,94.12,8.47,94.04,0.06,221.44,1.0,222.56,0.97
2021,289,1.21,22.17,21.41,21.79,22.15,17.03,95.5,38.59,94.13,0.09,228.81,1.21,227.62,0.99
2021,290,1.12,22.32,21.14,21.73,22.32,16.72,93.31,27.79,94.18,0.09,206.31,1.21,211.88,0.98
2021,291,2.22,23.59,21.94,22.76,23.24,17.58,91.0,0.21,94.38,0.24,116.62,0.79,132.25,0.97
2021,292,2.16,23.57,21.86,22.72,23.55,17.46,90.56,0.66,94.6,0.08,59.75,0.7,83.0,0.97
2021,293,2.11,23.52,22.24,22.88,23.51,17.82,92.81,2.97,94.59,0.06,78.56,0.6,110.12,0.96
2021,294,1.9,23.67,22.43,23.05,23.6,18.07,93.25,9.68,94.5,0.1,136.12,0.62,152.44,0.97
2021,295,2.11,23.98,22.26,23.12,23.79,17.88,90.81,2.49,94.52,0.16,84.88,0.67,147.94,0.96
2021,296,1.82,22.59,20.95,21.77,22.58,16.48,91.0,3.63,94.56,0.09,66.69,1.11,56.5,0.96
2021,297,1.52,22.39,19.83,21.11,22.4,15.44,86.56,2.36,94.45,0.07,74.69,1.11,65.19,0.95
2021,298,1.24,22.84,21.39,22.12,22.84,16.97,92.0,3.34,94.32,0.08,69.0,0.86,67.56,0.95
2021,299,1.6,22.86,21.16,22.01,22.87,16.78,90.56,1.65,94.2,0.07,35.31,1.24,24.12,0.95
