-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  12.1896   Longitude 107.6658 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 598.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.71,23.73,22.3,23.01,23.73,17.94,92.06,2.15,94.24,0.03,179.12,0.65,195.94,0.96
2022,275,2.06,23.8,22.16,22.98,23.68,17.82,91.19,8.01,94.16,0.1,202.75,0.58,215.5,0.96
2022,276,2.23,24.19,21.85,23.01,23.93,17.52,87.88,10.76,94.16,0.16,105.19,0.85,109.56,0.97
2022,277,2.22,22.96,21.53,22.24,22.96,17.09,92.19,6.53,94.33,0.06,64.94,0.8,57.69,0.96
2022,278,2.23,23.5,21.31,22.4,23.45,16.97,88.56,6.0,94.31,0.1,78.75,0.78,94.5,0.95
2022,279,2.04,23.05,21.41,22.23,22.85,16.97,91.06,4.77,94.39,0.14,138.0,0.63,180.75,0.95
2022,280,2.12,23.61,21.2,22.4,23.57,16.78,87.69,3.04,94.34,0.11,63.5,0.93,50.94,0.95
2022,281,1.86,23.44,21.62,22.53,23.44,17.21,90.25,6.68,94.36,0.06,71.94,0.8,60.25,0.95
2022,282,2.06,23.16,20.93,22.05,23.1,16.54,88.06,1.46,94.44,0.11,80.38,0.66,78.44,0.94
2022,283,1.21,22.35,20.73,21.54,22.35,16.24,91.12,19.41,94.48,0.08,70.56,1.0,52.19,0.96
2022,284,1.43,22.48,21.92,22.2,22.48,17.58,96.62,7.82,94.39,0.06,51.56,0.84,49.69,0.95
2022,285,1.93,23.52,21.5,22.51,23.52,17.09,89.19,2.94,94.3,0.09,41.69,1.27,32.19,0.95
2022,286,1.59,22.3,20.0,21.15,22.31,15.62,87.56,0.78,94.15,0.07,47.06,1.2,68.81,0.94
2022,287,0.73,21.13,19.76,20.44,21.13,15.38,92.12,15.25,93.96,0.07,270.0,1.17,271.5,0.95
2022,288,1.62,22.65,20.27,21.46,22.47,15.93,87.44,0.33,93.95,0.15,224.88,0.73,227.75,0.94
2022,289,1.8,23.76,21.87,22.81,23.69,17.52,89.81,2.71,94.18,0.1,189.44,0.77,211.62,0.93
2022,290,1.71,22.49,21.01,21.75,22.39,16.6,91.75,5.87,94.28,0.12,93.0,0.88,180.12,0.94
2022,291,2.03,23.04,20.43,21.73,22.69,16.05,86.5,1.17,94.21,0.17,77.81,0.76,125.75,0.93
2022,292,1.89,23.56,21.83,22.7,23.26,17.52,90.69,8.29,94.19,0.15,230.19,0.73,246.31,0.94
2022,293,1.4,24.09,21.9,23.0,24.02,17.52,88.44,2.81,94.36,0.09,169.94,0.61,184.81,0.93
2022,294,1.95,23.57,21.3,22.43,23.26,16.85,87.5,0.07,94.47,0.16,89.94,0.67,100.81,0.92
2022,295,2.18,23.17,21.03,22.1,22.94,16.6,88.25,0.17,94.49,0.16,79.81,0.94,69.31,0.91
2022,296,1.7,23.66,21.83,22.75,23.57,17.46,90.06,3.94,94.44,0.14,63.56,0.8,70.25,0.92
2022,297,2.12,23.28,21.25,22.26,22.98,16.85,88.94,1.36,94.31,0.19,116.88,1.02,112.31,0.92
2022,298,1.31,22.73,21.66,22.19,22.56,17.27,93.94,3.57,94.31,0.12,117.0,0.97,128.06,0.92
2022,299,1.89,23.12,21.05,22.09,23.08,16.66,88.88,2.08,94.28,0.13,51.88,0.99,41.38,0.91
2022,300,0.76,22.84,22.13,22.49,22.83,17.76,95.81,17.62,94.25,0.07,51.19,0.86,40.5,0.95
2022,301,1.62,22.92,20.26,21.58,22.92,15.87,85.75,0.31,94.16,0.11,58.25,1.51,50.81,0.91
2022,302,1.72,23.08,20.19,21.64,23.1,15.81,84.25,0.29,94.1,0.1,54.31,1.66,46.38,0.91
2022,303,1.81,22.87,20.3,21.59,22.88,15.93,86.12,0.0,94.07,0.09,43.81,1.38,40.5,0.9
2022,304,2.05,22.37,19.7,21.03,22.27,15.32,85.88,0.0,94.16,0.12,47.31,1.17,36.81,0.9
2022,305,1.92,22.34,19.25,20.8,22.05,14.89,83.31,0.02,94.27,0.21,152.06,0.88,169.25,0.89
2022,306,1.84,22.14,20.37,21.26,21.67,15.99,89.94,0.08,94.28,0.15,239.31,0.6,234.88,0.89
2022,307,1.38,22.52,20.69,21.61,22.42,16.24,89.94,0.5,94.38,0.12,192.12,0.65,186.06,0.89
2022,308,1.48,22.92,21.12,22.01,22.9,16.66,90.38,1.54,94.48,0.09,61.5,0.74,154.56,0.89
2022,309,1.81,21.6,19.59,20.59,21.6,15.14,88.75,3.11,94.65,0.07,66.31,0.83,46.31,0.89
2022,310,1.97,21.93,19.2,20.57,21.94,14.77,85.69,0.37,94.56,0.07,65.0,1.12,54.06,0.88
2022,311,2.16,22.19,19.35,20.76,22.09,14.95,85.0,0.0,94.48,0.14,58.25,1.09,54.81,0.88
2022,312,2.18,22.79,19.83,21.31,22.8,15.44,84.31,0.0,94.42,0.07,66.06,1.07,54.38,0.87
2022,313,1.92,22.89,21.03,21.96,22.73,16.6,89.56,0.56,94.42,0.13,83.0,0.9,101.12,0.87
2022,314,2.0,23.26,20.73,21.99,23.26,16.3,86.56,0.38,94.4,0.07,63.0,1.16,51.75,0.87
2022,315,1.95,22.59,20.55,21.58,22.6,16.11,88.88,4.52,94.38,0.08,61.06,1.3,51.75,0.88
2022,316,1.38,23.23,21.69,22.46,23.24,17.33,91.38,4.59,94.26,0.09,57.19,0.98,51.88,0.88
