-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  21.8461   Longitude 103.1779 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 880.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,4.92,13.11,0.37,1.88
2021,10,2,3.98,11.04,0.33,1.65
2021,10,3,3.09,9.02,0.26,1.3
2021,10,4,5.79,14.8,0.41,2.12
2021,10,5,5.12,13.41,0.37,1.88
2021,10,6,5.12,13.25,0.37,1.84
2021,10,7,5.45,13.64,0.37,1.88
2021,10,8,5.97,14.7,0.38,1.98
2021,10,9,5.44,13.73,0.37,1.88
2021,10,10,2.72,8.01,0.23,1.16
2021,10,11,1.85,5.7,0.17,0.87
2021,10,12,5.29,13.71,0.38,1.95
2021,10,13,4.96,12.88,0.37,1.87
2021,10,14,2.39,7.04,0.2,1.02
2021,10,15,1.54,4.9,0.14,0.72
2021,10,16,2.35,6.91,0.2,0.98
2021,10,17,4.25,11.31,0.3,1.58
2021,10,18,2.9,8.32,0.23,1.17
2021,10,19,3.73,10.4,0.29,1.47
2021,10,20,3.75,10.24,0.28,1.45
2021,10,21,3.78,10.43,0.28,1.47
2021,10,22,1.3,4.16,0.11,0.57
2021,10,23,1.98,5.91,0.16,0.87
2021,10,24,2.24,6.52,0.18,0.91
2021,10,25,2.15,6.18,0.16,0.84
2021,10,26,2.37,6.51,0.17,0.88
2021,10,27,2.94,7.8,0.2,1.06
2021,10,28,3.03,7.88,0.2,1.07
2021,10,29,2.77,7.84,0.21,1.08
2021,10,30,2.55,7.09,0.19,0.98
2021,10,31,1.7,5.19,0.14,0.73
2021,11,1,2.25,6.61,0.18,0.96
2021,11,2,2.53,7.33,0.2,1.06
2021,11,3,3.12,8.54,0.23,1.24
2021,11,4,3.18,8.61,0.23,1.24
2021,11,5,3.69,9.7,0.26,1.38
2021,11,6,4.66,11.79,0.3,1.6
2021,11,7,3.99,10.29,0.27,1.44
2021,11,8,1.86,5.15,0.13,0.72
2021,11,9,3.05,8.15,0.22,1.19
2021,11,10,1.91,5.38,0.15,0.77
2021,11,11,2.92,7.87,0.21,1.12
2021,11,12,1.51,4.32,0.12,0.62
2021,11,13,1.92,5.14,0.13,0.7
2021,11,14,1.75,5.06,0.14,0.73
2021,11,15,1.23,3.71,0.1,0.53
2021,11,16,1.65,4.73,0.12,0.66
2021,11,17,3.02,8.04,0.21,1.11
2021,11,18,2.99,7.65,0.19,0.99
2021,11,19,4.41,10.83,0.27,1.38
2021,11,20,4.95,11.8,0.27,1.41
2021,11,21,5.08,12.2,0.28,1.44
2021,11,22,4.18,10.14,0.24,1.27
2021,11,23,1.26,3.66,0.09,0.51
2021,11,24,0.99,3.07,0.08,0.41
2021,11,25,1.83,5.13,0.12,0.66
2021,11,26,1.5,4.33,0.11,0.59
2021,11,27,4.41,10.54,0.25,1.28
2021,11,28,4.98,11.59,0.27,1.34
2021,11,29,4.89,11.38,0.26,1.32
2021,11,30,3.85,9.07,0.22,1.12
2021,12,1,3.19,7.8,0.2,1.01
2021,12,2,5.14,11.38,0.26,1.3
2021,12,3,5.08,11.22,0.25,1.23
2021,12,4,4.93,11.02,0.23,1.18
2021,12,5,4.62,10.39,0.22,1.1
2021,12,6,4.76,10.55,0.22,1.09
2021,12,7,4.87,11.12,0.24,1.2
2021,12,8,4.87,10.91,0.24,1.2
2021,12,9,2.8,7.07,0.17,0.91
2021,12,10,3.68,8.77,0.2,1.07
2021,12,11,3.13,7.85,0.19,0.99
2021,12,12,2.86,7.18,0.18,0.93
2021,12,13,2.54,6.22,0.15,0.77
2021,12,14,3.87,9.06,0.21,1.09
2021,12,15,4.53,10.45,0.24,1.22
2021,12,16,4.8,11.0,0.26,1.32
2021,12,17,4.07,9.27,0.23,1.2
2021,12,18,3.44,7.86,0.2,1.02
2021,12,19,2.93,7.06,0.18,0.95
2021,12,20,3.86,9.2,0.23,1.18
2021,12,21,4.15,9.31,0.22,1.13
2021,12,22,4.07,9.02,0.22,1.11
2021,12,23,4.03,9.16,0.22,1.12
2021,12,24,3.62,8.64,0.2,1.01
2021,12,25,2.61,6.59,0.16,0.82
2021,12,26,1.77,4.62,0.12,0.6
2021,12,27,1.3,3.55,0.09,0.46
2021,12,28,2.71,7.03,0.18,0.94
2021,12,29,2.45,6.46,0.16,0.88
2021,12,30,1.93,5.46,0.15,0.79
2021,12,31,1.78,5.07,0.13,0.7
