-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.8461   Longitude 103.1779 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 880.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.54,22.3,20.58,21.44,22.23,16.72,90.75,4.91,91.13,0.17,90.56,0.94,90.31,0.9
2022,275,1.3,22.95,21.15,22.05,22.88,17.27,90.31,7.72,91.23,0.16,127.25,1.01,126.62,0.9
2022,276,1.69,22.98,20.47,21.73,22.91,16.54,86.94,2.26,91.41,0.16,108.12,0.94,108.94,0.89
2022,277,2.34,23.21,19.8,21.5,23.05,15.87,82.75,0.08,91.56,0.2,112.0,1.0,115.62,0.88
2022,278,1.98,23.1,19.23,21.16,22.5,15.32,80.31,0.21,91.57,0.33,106.5,0.88,109.0,0.88
2022,279,1.85,23.13,20.0,21.57,22.72,16.05,83.62,1.99,91.54,0.33,105.56,1.1,108.75,0.88
2022,280,1.93,22.54,19.4,20.97,22.33,15.44,84.0,0.59,91.57,0.27,102.62,1.2,105.56,0.87
2022,281,1.88,22.48,18.83,20.65,22.33,14.89,81.56,0.75,91.6,0.2,114.0,0.98,120.19,0.87
2022,282,1.62,21.22,19.09,20.15,21.14,15.14,88.44,12.48,91.83,0.19,77.38,1.24,83.31,0.89
2022,283,1.59,17.66,13.85,15.76,17.65,10.8,79.94,0.64,92.09,0.18,66.38,1.38,71.31,0.87
2022,284,1.88,19.05,14.8,16.92,18.7,11.54,78.19,0.21,91.8,0.23,96.44,0.94,102.81,0.86
2022,285,1.73,19.55,15.86,17.7,19.31,12.39,80.81,0.12,91.66,0.26,94.31,1.01,104.06,0.86
2022,286,1.47,19.73,16.31,18.02,19.41,12.7,81.94,0.81,91.61,0.27,78.94,1.04,83.12,0.85
2022,287,1.94,19.43,15.09,17.26,18.8,11.78,77.81,0.08,91.53,0.39,71.94,1.41,75.56,0.85
2022,288,2.05,19.37,14.48,16.93,18.56,11.29,74.81,0.0,91.53,0.46,66.0,1.51,67.56,0.84
2022,289,1.91,19.83,15.53,17.68,19.15,12.08,77.56,0.0,91.71,0.44,59.5,1.49,60.19,0.84
2022,290,1.92,18.58,14.58,16.58,18.02,11.35,78.81,0.0,91.79,0.41,47.62,1.76,49.31,0.84
2022,291,-999.0,17.47,11.83,14.65,16.64,9.46,71.56,0.0,91.78,0.45,55.69,1.77,56.06,0.83
2022,292,1.81,16.48,10.24,13.37,15.55,8.61,68.56,0.0,91.7,0.48,62.06,1.49,61.25,0.83
2022,293,1.24,15.8,13.35,14.58,15.56,10.56,85.75,1.49,91.75,0.27,68.81,1.12,72.75,0.83
2022,294,1.33,18.72,16.8,17.76,18.61,13.12,89.5,0.57,91.87,0.21,66.88,1.03,69.69,0.83
2022,295,1.66,20.69,17.56,19.12,20.05,13.73,82.94,0.1,91.91,0.36,66.62,1.23,68.5,0.82
2022,296,1.74,21.66,17.87,19.76,20.71,14.04,80.0,0.02,91.77,0.45,70.62,1.3,73.25,0.82
2022,297,1.58,21.06,18.14,19.6,20.54,14.28,84.69,0.0,91.63,0.34,86.88,1.2,93.5,0.82
2022,298,1.24,20.64,17.42,19.03,20.1,13.67,83.19,0.03,91.7,0.35,105.62,1.08,109.94,0.81
2022,299,1.21,21.23,18.2,19.72,20.58,14.34,83.94,0.23,91.63,0.35,116.75,0.97,115.25,0.81
2022,300,1.64,22.12,19.0,20.55,21.44,15.08,83.81,0.15,91.53,0.33,112.31,0.91,114.62,0.81
2022,301,1.43,20.83,18.34,19.58,20.62,14.47,86.81,1.09,91.61,0.26,107.81,1.34,113.19,0.8
2022,302,1.36,19.9,17.58,18.74,19.61,13.79,87.25,0.25,91.64,0.31,84.81,1.25,89.0,0.8
2022,303,1.35,19.81,17.15,18.48,19.48,13.43,85.56,0.01,91.6,0.32,78.5,1.17,83.88,0.8
2022,304,1.46,19.48,15.87,17.68,18.83,12.33,81.19,0.12,91.72,0.39,63.5,1.31,64.19,0.8
2022,305,1.86,17.77,11.83,14.8,15.86,9.46,70.12,0.0,91.71,0.45,110.56,1.16,109.31,0.8
2022,306,1.9,18.54,12.5,15.51,16.19,10.01,69.12,0.0,91.45,0.4,140.5,0.78,136.94,0.8
2022,307,1.76,18.65,13.51,16.08,16.66,10.62,73.81,0.0,91.51,0.39,95.62,0.79,104.0,0.79
