-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  21.8461   Longitude 103.1779 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 880.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,1.88,24.9,21.36,23.13,24.04,17.58,82.0,4.14,91.21,0.27,177.75,0.66,177.0,0.88
2021,275,1.65,23.69,20.71,22.2,23.02,16.85,84.06,14.91,91.25,0.32,145.31,0.87,145.25,0.9
2021,276,1.3,23.27,20.89,22.08,22.79,17.03,87.06,17.51,91.24,0.31,149.25,0.96,148.81,0.91
2021,277,2.12,22.79,20.04,21.41,22.44,16.11,85.62,11.87,91.37,0.3,115.0,1.15,114.44,0.91
2021,278,1.88,23.15,19.51,21.33,22.63,15.62,81.5,0.52,91.4,0.36,78.81,1.03,79.06,0.88
2021,279,1.84,23.37,20.15,21.76,23.02,16.3,83.44,0.15,91.18,0.3,76.12,0.94,79.69,0.88
2021,280,1.88,23.93,20.1,22.01,23.47,16.24,80.75,0.01,91.02,0.3,78.94,0.91,82.75,0.88
2021,281,1.98,23.43,19.66,21.55,22.56,15.81,80.12,0.02,90.98,0.39,75.94,1.12,78.81,0.87
2021,282,1.88,23.22,18.69,20.96,22.48,14.89,76.94,0.77,90.99,0.41,57.38,1.18,55.88,0.86
2021,283,1.16,21.18,19.18,20.18,21.01,15.32,88.81,30.27,90.97,0.21,19.88,1.37,46.62,0.91
2021,284,0.87,17.43,16.37,16.9,17.41,12.82,93.5,33.66,91.18,0.13,39.44,1.2,38.0,0.95
2021,285,1.95,18.8,16.58,17.69,18.44,12.94,87.44,1.8,91.26,0.27,59.94,1.18,59.88,0.9
2021,286,1.87,18.69,15.68,17.19,18.31,12.33,83.56,2.26,91.11,0.31,28.25,1.55,29.12,0.89
2021,287,1.02,18.7,16.98,17.84,18.71,13.31,89.94,38.23,91.07,0.16,34.19,1.48,34.06,0.95
2021,288,0.72,18.79,17.65,18.22,18.8,13.92,93.31,30.27,91.3,0.12,51.69,1.21,60.0,0.95
2021,289,0.98,18.3,16.09,17.19,18.31,12.51,87.69,9.7,91.71,0.14,52.88,1.55,62.5,0.93
2021,290,1.58,16.12,13.4,14.76,16.08,10.5,84.81,2.05,91.97,0.2,58.94,1.52,64.75,0.91
2021,291,1.17,17.8,15.35,16.57,17.63,11.96,86.81,0.46,91.82,0.24,70.31,1.11,74.5,0.91
2021,292,1.47,21.23,18.52,19.87,20.82,14.71,85.62,0.7,91.77,0.24,138.19,0.84,136.19,0.91
2021,293,1.45,23.2,20.66,21.94,22.41,16.72,86.5,1.9,91.54,0.33,188.06,0.95,187.25,0.91
2021,294,1.47,20.66,18.83,19.75,20.3,15.08,89.75,6.03,91.56,0.26,110.94,1.2,118.88,0.91
2021,295,0.57,15.19,13.76,14.48,15.21,10.74,91.5,33.44,91.95,0.11,69.94,1.15,78.12,0.95
2021,296,0.87,14.61,13.09,13.85,14.57,10.25,90.94,3.94,92.04,0.15,81.62,0.94,87.75,0.92
2021,297,0.91,16.15,14.51,15.33,16.12,11.29,90.5,2.84,91.97,0.18,70.62,1.09,74.75,0.91
2021,298,0.84,16.62,14.68,15.65,16.33,11.41,88.81,0.25,91.74,0.23,87.12,0.91,88.5,0.91
2021,299,0.88,18.73,15.85,17.29,18.38,12.39,84.88,0.16,91.63,0.29,90.56,0.94,99.38,0.91
2021,300,1.06,18.94,16.62,17.78,18.81,12.94,87.5,0.47,91.76,0.23,84.31,1.23,87.56,0.9
2021,301,1.07,19.06,16.99,18.02,18.94,13.24,88.56,0.7,91.77,0.21,87.06,1.07,93.81,0.9
2021,302,1.08,20.66,17.96,19.31,20.49,14.1,85.94,1.74,91.8,0.2,97.94,0.9,98.75,0.9
2021,303,0.98,18.15,17.17,17.66,18.15,13.37,94.19,7.22,91.85,0.09,75.19,0.88,80.38,0.91
2021,304,0.73,19.29,18.05,18.67,19.3,14.22,93.0,15.64,91.72,0.11,107.0,0.86,109.19,0.92
2021,305,0.96,19.11,18.51,18.8,19.12,14.59,96.31,29.37,91.69,0.08,88.62,0.84,96.38,0.95
2021,306,1.06,19.17,18.7,18.94,19.1,14.77,97.06,24.01,91.69,0.13,98.25,0.83,98.25,0.95
2021,307,1.24,20.89,19.43,20.15,20.8,15.5,92.0,15.36,91.56,0.16,137.31,0.89,139.81,0.95
2021,308,1.24,21.13,19.98,20.55,20.89,16.05,93.38,7.14,91.43,0.2,186.44,0.76,191.38,0.94
2021,309,1.38,22.19,20.26,21.23,21.62,16.36,89.56,1.67,91.25,0.32,236.12,1.03,235.25,0.93
2021,310,1.6,22.57,19.8,21.19,21.71,15.93,85.44,0.29,91.11,0.34,248.62,0.98,249.44,0.93
2021,311,1.44,21.6,18.58,20.09,21.13,14.77,84.38,2.15,91.39,0.24,127.62,1.01,126.5,0.92
2021,312,0.72,13.15,10.02,11.58,13.15,8.42,82.0,3.36,91.99,0.13,51.12,1.22,54.44,0.92
2021,313,1.19,14.79,11.85,13.32,14.86,9.52,83.94,2.17,91.88,0.12,85.94,1.01,96.25,0.91
2021,314,0.77,15.14,12.16,13.65,14.92,9.7,84.0,1.91,91.89,0.23,91.5,1.1,100.94,0.91
2021,315,1.12,16.16,13.38,14.77,15.92,10.56,84.94,0.13,91.65,0.27,104.75,1.1,108.94,0.91
2021,316,0.62,15.75,13.47,14.61,15.78,10.56,87.19,0.72,91.81,0.12,79.5,1.16,88.19,0.91
2021,317,0.7,15.5,13.17,14.33,15.39,10.31,87.06,1.87,91.83,0.18,80.94,0.96,86.25,0.91
2021,318,0.73,15.27,14.05,14.66,15.29,10.99,92.75,6.6,91.68,0.12,84.88,0.91,94.44,0.91
2021,319,0.53,16.57,15.32,15.94,16.48,11.96,92.81,4.98,91.53,0.17,103.75,0.95,106.56,0.91
2021,320,0.66,18.39,17.0,17.69,18.29,13.31,92.19,2.61,91.51,0.2,119.81,1.04,119.69,0.91
2021,321,1.11,18.53,17.15,17.84,18.4,13.43,92.12,2.92,91.7,0.21,87.0,1.22,93.94,0.91
2021,322,0.99,16.31,14.24,15.27,15.83,11.11,88.25,1.28,91.57,0.22,123.62,0.83,121.44,0.9
2021,323,1.38,18.85,16.58,17.72,17.84,13.06,87.62,0.43,91.15,0.38,218.44,1.05,221.56,0.9
2021,324,1.41,19.8,17.06,18.43,18.72,13.37,84.56,0.02,91.13,0.36,229.94,1.1,232.44,0.89
2021,325,1.44,20.72,17.42,19.07,19.26,13.67,82.56,0.22,91.39,0.27,155.38,0.66,159.94,0.89
2021,326,1.27,15.88,13.43,14.65,15.8,10.56,86.31,2.4,91.73,0.17,73.25,1.45,80.56,0.89
2021,327,0.51,12.21,10.65,11.43,12.24,8.73,90.62,4.73,91.91,0.12,72.62,1.21,82.62,0.89
2021,328,0.41,11.54,10.28,10.91,11.4,8.48,92.25,6.44,91.97,0.16,80.5,0.83,88.19,0.9
2021,329,0.66,12.62,11.76,12.19,12.24,9.46,94.62,5.6,91.85,0.26,84.06,0.84,83.56,0.9
2021,330,0.59,14.76,13.33,14.05,14.71,10.5,91.88,2.66,91.85,0.16,73.25,1.01,79.75,0.89
2021,331,1.28,15.48,13.1,14.3,15.39,10.25,86.94,0.51,91.96,0.17,75.12,1.12,82.75,0.89
2021,332,1.34,15.49,11.64,13.56,14.51,9.34,79.56,0.0,91.93,0.41,77.69,1.2,80.69,0.88
2021,333,1.32,16.51,12.64,14.58,15.47,10.01,79.69,0.01,91.87,0.44,87.94,1.11,93.06,0.88
2021,334,1.12,14.48,10.78,12.63,13.97,8.79,80.0,0.37,92.12,0.34,67.25,1.56,69.94,0.88
2021,335,1.01,12.72,9.32,11.01,12.01,8.0,81.75,0.0,92.08,0.45,77.81,1.56,81.0,0.88
2021,336,1.3,11.35,6.83,9.09,10.4,6.71,76.5,0.0,92.11,0.49,69.69,1.54,72.62,0.88
2021,337,1.23,12.21,6.71,9.46,10.37,6.71,70.75,0.0,92.11,0.55,77.19,1.24,79.62,0.87
2021,338,1.18,12.98,8.44,10.72,11.44,7.51,75.88,0.0,92.08,0.52,73.75,1.23,75.56,0.87
2021,339,1.1,13.48,8.93,11.2,12.11,7.81,75.38,0.0,92.05,0.52,69.81,1.27,72.38,0.87
2021,340,1.09,13.54,9.22,11.38,12.28,7.93,76.5,0.0,91.98,0.52,73.75,1.4,77.06,0.86
2021,341,1.2,13.79,7.88,10.83,12.2,7.26,69.25,0.0,91.94,0.5,98.06,1.16,101.25,0.86
2021,342,1.2,14.01,8.5,11.26,12.55,7.57,71.0,0.0,92.02,0.52,89.25,1.24,91.88,0.85
2021,343,0.91,14.6,11.39,12.99,13.67,9.28,82.19,0.01,92.11,0.45,96.06,1.28,99.19,0.85
2021,344,1.07,16.41,13.62,15.01,15.31,10.62,84.25,0.0,91.88,0.41,151.62,1.02,154.44,0.85
2021,345,0.99,16.87,14.71,15.8,16.16,11.47,87.94,0.42,91.86,0.35,109.81,1.06,117.0,0.85
2021,346,0.93,14.62,13.15,13.88,14.36,10.31,91.12,4.21,92.1,0.26,77.12,1.4,83.56,0.86
2021,347,0.77,12.79,10.26,11.52,12.32,8.54,85.94,1.51,92.03,0.32,91.12,1.17,95.56,0.85
2021,348,1.09,14.0,11.1,12.55,12.76,9.03,84.06,0.36,91.68,0.43,144.44,0.97,146.69,0.85
