-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.8461   Longitude 103.1779 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 880.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.69,10.44,0.3,1.54
2022,10,2,2.94,8.7,0.26,1.3
2022,10,3,4.32,11.67,0.34,1.69
2022,10,4,6.16,15.66,0.45,2.34
2022,10,5,5.33,13.87,0.39,1.98
2022,10,6,5.14,13.16,0.36,1.85
2022,10,7,5.55,13.99,0.38,1.93
2022,10,8,5.27,13.41,0.37,1.88
2022,10,9,4.46,11.62,0.32,1.62
2022,10,10,4.16,11.07,0.31,1.59
2022,10,11,4.97,12.85,0.36,1.88
2022,10,12,4.55,11.87,0.34,1.73
2022,10,13,3.73,10.01,0.29,1.47
2022,10,14,5.49,13.62,0.38,1.94
2022,10,15,6.16,14.98,0.4,2.05
2022,10,16,5.85,14.09,0.37,1.91
2022,10,17,5.95,14.36,0.38,1.92
2022,10,18,5.83,13.68,0.36,-999.0
2022,10,19,5.46,13.25,0.35,1.81
2022,10,20,3.26,8.97,0.24,1.24
2022,10,21,3.65,9.7,0.26,1.33
2022,10,22,4.67,12.12,0.32,1.66
2022,10,23,4.83,12.39,0.34,1.74
2022,10,24,4.53,11.14,0.3,1.58
2022,10,25,3.4,8.63,0.23,1.24
2022,10,26,3.02,8.08,0.23,1.21
2022,10,27,4.45,11.52,0.31,1.64
2022,10,28,4.12,10.31,0.27,1.43
2022,10,29,3.93,9.7,0.26,1.36
2022,10,30,3.87,9.33,0.26,1.35
2022,10,31,4.01,9.98,0.27,1.46
2022,11,1,5.82,13.62,0.36,1.86
2022,11,2,5.91,13.88,0.37,1.9
2022,11,3,5.82,13.52,0.34,1.76
2022,11,4,5.55,12.93,0.33,1.68
2022,11,5,5.12,11.73,0.3,1.5
2022,11,6,4.54,10.12,0.24,1.26
2022,11,7,4.71,10.78,0.27,1.36
2022,11,8,3.64,8.16,0.2,1.03
2022,11,9,4.51,10.1,0.25,1.27
2022,11,10,5.23,12.04,0.3,1.53
2022,11,11,5.44,12.59,0.32,1.62
2022,11,12,5.07,12.08,0.3,1.59
2022,11,13,4.42,11.14,0.29,1.52
2022,11,14,2.94,8.08,0.22,1.2
2022,11,15,2.55,7.11,0.2,1.04
2022,11,16,2.92,7.97,0.22,1.2
2022,11,17,3.79,9.93,0.27,1.45
2022,11,18,3.06,8.29,0.23,1.27
2022,11,19,2.97,8.05,0.23,1.27
2022,11,20,3.7,9.34,0.25,1.34
2022,11,21,3.61,9.02,0.23,1.21
2022,11,22,4.31,10.31,0.26,1.34
2022,11,23,3.59,8.98,0.23,1.22
2022,11,24,2.04,5.92,0.17,0.91
2022,11,25,2.42,6.69,0.18,0.98
2022,11,26,2.84,7.65,0.2,1.11
2022,11,27,2.31,6.38,0.16,0.86
2022,11,28,3.21,8.32,0.21,1.09
2022,11,29,4.87,11.73,0.28,1.45
2022,11,30,4.69,11.25,0.27,1.39
2022,12,1,3.28,8.3,0.2,1.09
2022,12,2,1.57,4.7,0.12,0.69
2022,12,3,2.92,7.55,0.19,0.99
2022,12,4,2.63,6.84,0.17,0.92
2022,12,5,2.74,7.07,0.19,1.02
2022,12,6,1.78,5.04,0.13,0.72
2022,12,7,1.09,3.27,0.09,0.52
2022,12,8,1.9,5.2,0.15,0.79
2022,12,9,2.08,5.73,0.16,0.84
2022,12,10,3.1,7.71,0.2,1.06
2022,12,11,1.72,4.76,0.13,0.71
2022,12,12,1.59,4.28,0.12,0.66
2022,12,13,2.44,6.09,0.16,0.89
2022,12,14,2.65,6.49,0.17,0.93
2022,12,15,4.46,10.09,0.26,1.34
2022,12,16,3.98,9.05,0.23,1.23
2022,12,17,2.26,5.84,0.16,0.91
2022,12,18,4.58,10.34,0.25,1.26
2022,12,19,4.85,10.78,0.24,1.22
2022,12,20,4.7,10.52,0.23,1.17
2022,12,21,2.02,5.0,0.12,0.62
2022,12,22,2.22,5.37,0.12,0.65
2022,12,23,1.59,4.27,0.1,0.5
2022,12,24,2.59,6.4,0.15,0.77
2022,12,25,1.84,5.02,0.12,0.62
2022,12,26,3.39,8.15,0.19,0.95
2022,12,27,2.61,6.57,0.16,0.82
2022,12,28,2.04,5.09,0.13,0.69
2022,12,29,0.87,2.38,0.06,0.31
2022,12,30,1.2,3.55,0.09,0.45
2022,12,31,1.57,4.55,0.12,0.59
