-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.9506   Longitude 107.2115 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 125.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.02,26.3,24.26,25.28,26.47,19.17,88.81,2.67,99.5,1.15,253.44,1.69,253.69,0.84
2021,275,1.57,25.58,23.9,24.74,25.62,18.74,90.56,19.63,99.57,1.83,262.44,2.67,262.56,0.88
2021,276,0.85,25.97,23.49,24.73,26.14,18.31,86.69,1.86,99.45,1.49,262.75,2.16,263.12,0.84
2021,277,1.61,26.73,23.65,25.19,27.12,18.49,83.94,23.96,99.28,0.88,227.0,1.3,226.81,0.88
2021,278,2.12,25.96,24.01,24.98,26.24,18.92,89.44,23.16,99.19,1.34,245.0,1.91,244.94,0.91
2021,279,1.28,24.99,23.77,24.38,24.98,18.68,92.94,16.71,99.03,2.0,251.81,2.91,251.88,0.91
2021,280,1.97,25.86,24.17,25.01,26.08,19.17,90.75,7.23,98.99,2.88,265.06,4.04,265.12,0.88
2021,281,2.03,26.24,24.87,25.55,26.26,19.96,92.25,7.81,99.02,3.73,250.69,5.21,250.69,0.88
2021,282,1.95,26.25,24.67,25.46,26.31,19.71,91.25,2.63,99.2,3.21,260.5,4.52,260.56,0.86
2021,283,2.12,26.65,24.71,25.68,26.83,19.78,89.56,4.51,99.16,3.08,262.19,4.34,262.25,0.86
2021,284,1.2,25.94,24.92,25.43,25.77,20.02,94.06,21.07,99.12,3.16,254.94,4.43,254.94,0.91
2021,285,1.64,24.9,23.52,24.21,24.76,18.37,92.06,7.68,99.13,3.85,261.69,5.38,261.75,0.88
