-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.9506   Longitude 107.2115 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 125.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.17,26.0,24.17,25.08,26.2,19.04,90.0,2.06,99.45,1.43,210.69,2.17,210.62,0.79
2022,275,1.83,26.12,24.05,25.08,26.53,18.92,88.88,4.59,99.37,1.3,187.88,1.96,187.88,0.8
2022,276,2.23,25.98,23.92,24.95,26.01,18.8,88.94,12.35,99.36,2.18,93.12,3.23,93.06,0.84
2022,277,1.51,25.4,23.0,24.19,25.39,17.76,87.0,6.9,99.54,2.01,85.62,2.97,85.75,0.82
2022,278,2.12,25.57,22.98,24.27,25.75,17.76,86.19,2.22,99.54,2.9,100.44,4.12,100.44,0.79
2022,279,1.22,25.37,23.08,24.23,25.51,17.82,87.5,3.92,99.62,1.6,95.19,2.34,95.12,0.8
2022,280,2.15,26.34,23.2,24.77,26.63,17.94,84.19,3.63,99.53,1.77,140.81,2.61,140.56,0.79
2022,281,0.7,26.05,23.75,24.9,26.22,18.55,87.62,9.18,99.55,1.66,93.62,2.46,93.56,0.82
2022,282,2.04,25.66,23.08,24.37,26.08,17.82,86.19,4.02,99.66,1.56,95.75,2.25,95.81,0.8
2022,283,1.73,26.67,22.46,24.57,26.92,17.21,79.56,17.58,99.69,1.22,118.56,1.85,119.31,0.85
2022,284,1.66,25.58,23.55,24.57,25.8,18.31,88.75,4.71,99.62,1.4,249.56,2.02,249.62,0.82
2022,285,1.85,26.42,23.61,25.01,26.83,18.43,85.5,4.37,99.49,0.98,229.06,1.51,228.69,0.8
