-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.3022   Longitude 107.2703 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 345.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.76,10.65,0.32,1.61
2022,10,2,4.2,11.47,0.34,1.75
2022,10,3,4.94,13.52,0.4,2.01
2022,10,4,3.92,11.24,0.34,1.74
2022,10,5,5.0,13.56,0.4,2.04
2022,10,6,4.11,11.2,0.34,1.7
2022,10,7,4.91,13.27,0.39,1.97
2022,10,8,3.69,10.55,0.3,1.54
2022,10,9,5.35,14.55,0.42,2.15
2022,10,10,3.55,10.37,0.32,1.62
2022,10,11,3.87,10.88,0.3,1.55
2022,10,12,4.98,13.25,0.37,1.84
2022,10,13,4.34,11.7,0.32,1.62
2022,10,14,3.03,9.01,0.26,1.3
2022,10,15,4.98,13.23,0.37,1.85
2022,10,16,5.48,13.95,0.38,1.88
2022,10,17,4.69,12.04,0.34,1.73
2022,10,18,5.15,13.35,0.38,1.96
2022,10,19,3.03,8.45,0.24,1.23
2022,10,20,3.71,10.11,0.29,1.45
2022,10,21,5.34,13.75,0.38,1.96
2022,10,22,5.34,14.01,0.39,2.0
2022,10,23,4.36,11.94,0.35,1.77
2022,10,24,5.77,14.89,0.41,2.09
2022,10,25,4.21,11.4,0.32,1.6
2022,10,26,4.74,12.66,0.35,1.78
2022,10,27,3.44,9.96,0.29,1.47
2022,10,28,4.37,11.67,0.33,1.66
2022,10,29,3.98,10.95,0.31,1.58
2022,10,30,5.17,13.38,0.38,1.91
2022,10,31,5.83,14.3,0.4,2.03
2022,11,1,5.09,12.71,0.36,1.82
2022,11,2,4.87,12.09,0.34,1.75
2022,11,3,2.54,7.05,0.2,1.02
2022,11,4,4.01,10.77,0.31,1.59
2022,11,5,4.88,12.75,0.36,1.82
2022,11,6,5.51,14.16,0.4,2.03
2022,11,7,5.23,13.57,0.38,1.98
2022,11,8,5.64,14.26,0.4,2.05
2022,11,9,5.46,13.82,0.38,1.98
2022,11,10,5.51,14.13,0.4,2.02
2022,11,11,5.17,13.3,0.37,1.88
2022,11,12,3.16,9.1,0.26,1.31
2022,11,13,4.06,11.23,0.32,1.65
2022,11,14,5.6,14.25,0.39,2.03
2022,11,15,5.17,13.4,0.38,1.97
2022,11,16,5.6,14.33,0.41,2.2
2022,11,17,5.2,13.48,0.39,2.05
2022,11,18,5.09,13.27,0.39,2.02
2022,11,19,1.79,5.58,0.18,0.93
2022,11,20,1.6,5.06,0.16,0.84
2022,11,21,1.56,4.99,0.16,0.82
2022,11,22,1.87,5.84,0.18,0.95
2022,11,23,4.07,10.88,0.31,1.63
2022,11,24,3.91,10.59,0.31,1.66
2022,11,25,4.91,12.66,0.37,1.94
2022,11,26,4.42,11.74,0.34,1.82
2022,11,27,5.28,13.56,0.38,1.99
2022,11,28,5.42,13.77,0.38,2.01
2022,11,29,5.74,14.27,0.4,2.08
2022,11,30,5.38,13.62,0.38,1.98
2022,12,1,5.12,13.11,0.37,1.94
2022,12,2,3.83,10.4,0.3,1.58
2022,12,3,3.77,10.36,0.3,1.63
2022,12,4,3.91,10.57,0.31,1.7
2022,12,5,5.17,13.13,0.38,1.99
2022,12,6,4.75,12.22,0.36,1.93
2022,12,7,3.01,8.62,0.27,1.44
2022,12,8,5.66,14.09,0.41,2.2
2022,12,9,4.65,12.05,0.38,2.05
2022,12,10,5.71,14.08,0.43,2.32
2022,12,11,5.63,13.81,0.41,2.2
2022,12,12,5.66,13.77,0.39,2.06
2022,12,13,5.8,13.73,0.38,2.01
2022,12,14,4.56,11.15,0.31,1.66
2022,12,15,5.24,13.23,0.38,1.96
2022,12,16,3.93,10.54,0.32,1.74
2022,12,17,3.32,9.29,0.3,1.66
2022,12,18,4.15,10.73,0.34,1.9
2022,12,19,5.41,13.41,0.41,2.29
2022,12,20,5.34,13.45,0.41,2.2
2022,12,21,5.38,13.38,0.41,2.23
2022,12,22,5.65,13.76,0.4,2.13
2022,12,23,5.84,13.76,0.4,2.15
2022,12,24,5.13,12.29,0.36,1.98
2022,12,25,5.25,12.44,0.37,1.99
2022,12,26,5.19,12.48,0.37,2.01
2022,12,27,5.16,12.58,0.38,2.04
2022,12,28,5.51,13.41,0.4,2.19
2022,12,29,5.68,13.93,0.41,2.18
2022,12,30,4.62,11.54,0.35,1.95
2022,12,31,4.63,11.73,0.35,1.91
