-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.3022   Longitude 107.2703 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 345.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.61,24.76,23.34,24.05,24.84,18.62,92.19,2.77,97.0,0.41,198.19,1.17,197.75,0.87
2022,275,1.75,24.95,23.26,24.11,25.04,18.55,90.94,6.03,96.91,0.34,190.12,0.93,190.5,0.88
2022,276,2.01,25.01,23.16,24.08,25.01,18.43,90.19,14.46,96.87,0.54,118.0,1.41,118.94,0.89
2022,277,1.74,24.08,22.43,23.26,24.12,17.58,90.88,8.3,97.05,0.41,83.81,1.2,83.94,0.88
2022,278,2.04,24.48,22.26,23.37,24.58,17.46,88.5,8.06,97.04,0.49,103.94,1.32,104.69,0.88
2022,279,1.7,24.23,22.45,23.34,24.19,17.58,90.38,4.81,97.13,0.41,185.31,1.01,186.06,0.88
2022,280,1.97,25.3,22.37,23.83,25.26,17.58,85.12,7.37,97.05,0.38,147.44,0.99,147.31,0.88
2022,281,1.54,24.96,22.9,23.93,24.93,18.13,88.88,7.81,97.06,0.42,63.88,1.06,78.62,0.88
2022,282,2.15,24.57,22.52,23.55,24.73,17.7,89.06,1.87,97.17,0.36,114.38,0.96,115.19,0.87
2022,283,1.62,24.87,22.33,23.6,24.73,17.46,86.5,19.77,97.2,0.36,76.56,0.85,76.75,0.9
2022,284,1.55,24.05,23.17,23.62,23.97,18.43,94.94,7.84,97.12,0.32,253.69,0.85,255.62,0.89
2022,285,1.84,25.34,23.37,24.35,25.39,18.68,89.69,3.3,96.99,0.4,237.19,1.12,236.69,0.88
2022,286,1.62,24.13,22.06,23.09,24.23,17.27,89.06,1.09,96.85,0.44,245.19,1.23,245.75,0.87
2022,287,1.3,23.36,21.63,22.49,23.48,16.78,90.38,10.53,96.7,0.63,317.5,1.68,318.38,0.88
2022,288,1.85,23.68,21.4,22.55,23.91,16.6,87.94,0.06,96.73,0.44,220.38,1.16,220.75,0.86
2022,289,1.88,24.93,22.67,23.8,24.97,17.88,87.94,0.67,96.96,0.49,227.12,1.22,227.88,0.86
2022,290,1.73,24.24,22.91,23.58,24.07,18.13,92.44,8.87,97.03,0.39,200.5,0.94,200.44,0.88
