-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.5363   Longitude 105.6938 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,5.27,13.85,0.43,2.21
2021,10,2,4.24,11.8,0.38,1.95
2021,10,3,4.41,12.11,0.37,1.88
2021,10,4,5.01,13.32,0.41,2.1
2021,10,5,4.29,11.7,0.36,1.82
2021,10,6,2.96,8.83,0.27,1.38
2021,10,7,4.38,12.03,0.37,1.86
2021,10,8,4.27,12.1,0.37,1.87
2021,10,9,3.9,11.23,0.34,1.76
2021,10,10,4.44,12.67,0.38,1.94
2021,10,11,3.05,8.94,0.27,1.35
2021,10,12,4.48,12.52,0.37,1.85
2021,10,13,4.48,12.47,0.38,1.95
2021,10,14,4.89,13.49,0.41,2.06
2021,10,15,3.88,10.89,0.34,1.73
2021,10,16,3.67,10.54,0.31,1.6
2021,10,17,3.44,10.15,0.31,1.58
2021,10,18,4.22,11.53,0.34,1.77
2021,10,19,5.35,14.08,0.42,2.2
2021,10,20,3.54,9.68,0.3,1.53
2021,10,21,4.99,13.2,0.39,2.01
2021,10,22,4.02,10.91,0.33,1.7
2021,10,23,5.1,13.46,0.39,2.03
2021,10,24,5.33,13.81,0.39,2.04
2021,10,25,4.69,12.84,0.38,1.91
2021,10,26,4.92,13.15,0.38,1.96
2021,10,27,3.29,9.45,0.28,1.42
2021,10,28,5.15,13.47,0.39,2.01
2021,10,29,5.21,13.45,0.38,1.98
2021,10,30,5.12,13.69,0.39,2.04
2021,10,31,5.19,13.73,0.39,1.97
2021,11,1,5.54,14.37,0.4,2.04
2021,11,2,5.25,13.82,0.39,1.98
2021,11,3,5.08,13.33,0.38,2.0
2021,11,4,4.91,13.01,0.38,1.95
2021,11,5,4.97,13.25,0.38,1.98
2021,11,6,5.24,13.61,0.39,2.01
2021,11,7,5.03,13.11,0.38,1.96
2021,11,8,4.88,13.04,0.38,1.92
2021,11,9,4.42,11.83,0.35,1.82
2021,11,10,4.19,11.45,0.34,1.76
2021,11,11,2.5,7.37,0.21,1.09
2021,11,12,4.53,12.05,0.34,1.8
2021,11,13,4.91,12.74,0.37,1.91
2021,11,14,3.63,10.15,0.3,1.55
2021,11,15,4.19,11.52,0.34,1.73
2021,11,16,2.46,7.34,0.21,1.09
2021,11,17,4.44,11.95,0.34,1.77
2021,11,18,4.2,11.4,0.33,1.7
2021,11,19,4.73,12.44,0.34,1.74
2021,11,20,3.89,10.59,0.3,1.6
2021,11,21,4.86,12.69,0.35,1.84
2021,11,22,4.1,11.08,0.31,1.61
2021,11,23,5.15,13.16,0.37,1.89
2021,11,24,4.91,12.59,0.36,1.88
2021,11,25,3.99,10.66,0.3,1.59
2021,11,26,5.32,13.57,0.37,1.94
2021,11,27,3.36,9.46,0.27,1.42
2021,11,28,4.13,10.98,0.3,1.58
2021,11,29,2.96,8.66,0.25,1.31
2021,11,30,1.5,4.78,0.14,0.73
2021,12,1,3.3,9.38,0.27,1.46
2021,12,2,4.84,11.96,0.33,1.7
2021,12,3,5.67,13.96,0.38,1.95
2021,12,4,4.25,10.97,0.3,1.59
2021,12,5,5.93,14.04,0.38,1.98
2021,12,6,5.96,14.45,0.38,1.98
2021,12,7,5.11,12.85,0.34,1.79
2021,12,8,5.99,14.4,0.37,1.9
2021,12,9,3.53,9.66,0.27,1.41
2021,12,10,5.79,14.2,0.39,2.07
2021,12,11,4.31,10.88,0.3,1.59
2021,12,12,5.18,12.88,0.35,1.84
2021,12,13,5.44,13.42,0.37,1.93
2021,12,14,5.44,13.59,0.37,1.89
2021,12,15,5.15,13.21,0.36,1.9
2021,12,16,3.93,10.49,0.3,1.62
2021,12,17,4.34,11.19,0.33,1.77
2021,12,18,5.41,13.16,0.36,1.86
2021,12,19,4.03,10.47,0.3,1.58
2021,12,20,4.42,11.06,0.31,1.66
2021,12,21,4.94,11.92,0.32,1.69
2021,12,22,3.61,9.63,0.28,1.52
2021,12,23,3.0,8.44,0.25,1.34
2021,12,24,4.44,11.5,0.34,1.78
2021,12,25,4.26,10.91,0.3,1.62
2021,12,26,5.0,12.49,0.34,1.77
2021,12,27,4.71,11.38,0.3,1.62
2021,12,28,4.46,11.22,0.31,1.62
2021,12,29,4.43,11.27,0.31,1.62
2021,12,30,5.26,13.2,0.36,1.91
2021,12,31,5.64,13.91,0.38,2.03
