-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  10.5363   Longitude 105.6938 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.21,26.97,25.05,26.01,27.09,19.84,89.5,7.52,100.89,1.35,222.5,2.02,222.44,0.95
2021,275,1.95,26.29,24.94,25.62,26.26,19.65,92.44,37.91,100.95,2.2,224.94,3.14,224.94,0.97
2021,276,1.88,26.9,24.3,25.6,26.76,18.98,86.06,5.85,100.81,1.08,253.5,1.56,253.88,0.95
2021,277,2.1,26.83,24.51,25.67,26.78,19.23,87.56,5.04,100.69,0.75,286.12,1.23,285.94,0.95
2021,278,1.82,26.8,24.66,25.73,26.82,19.41,88.5,17.75,100.6,0.61,245.94,0.99,245.88,0.96
2021,279,1.38,26.15,24.81,25.48,26.07,19.59,92.44,21.2,100.44,1.84,281.19,2.65,280.88,0.98
2021,280,1.86,26.37,24.97,25.67,26.27,19.84,92.06,5.26,100.42,2.8,240.69,3.98,240.69,0.97
2021,281,1.87,26.67,25.43,26.05,26.37,20.39,92.88,25.59,100.45,3.74,239.12,5.31,239.06,0.98
2021,282,1.76,26.62,25.51,26.07,26.35,20.45,93.56,11.18,100.61,3.33,240.69,4.73,240.62,0.97
2021,283,1.94,27.17,25.51,26.34,26.95,20.45,90.81,2.21,100.57,3.3,247.44,4.67,247.44,0.96
2021,284,1.35,26.87,25.74,26.3,26.62,20.75,93.5,28.38,100.52,2.82,240.0,4.03,240.06,0.97
2021,285,1.85,25.51,24.46,24.98,25.26,19.17,93.81,22.5,100.57,3.43,237.5,4.88,237.5,0.98
2021,286,1.95,26.13,24.9,25.51,25.87,19.71,92.94,5.17,100.4,3.68,239.62,5.18,239.56,0.97
2021,287,2.06,26.98,25.46,26.23,26.67,20.39,91.56,12.53,100.51,3.34,227.88,4.75,227.88,0.97
2021,288,1.73,27.08,25.22,26.15,26.94,20.08,89.81,4.11,100.6,1.99,232.5,2.93,232.56,0.96
2021,289,1.6,26.57,24.05,25.31,26.46,18.68,86.62,5.02,100.78,1.41,254.44,2.17,254.5,0.95
2021,290,1.58,25.44,23.65,24.55,25.33,18.19,90.0,9.36,100.83,1.88,270.88,2.79,270.75,0.95
2021,291,1.77,26.27,24.16,25.22,26.51,18.8,88.56,1.1,100.95,1.45,139.75,2.17,139.31,0.95
2021,292,2.2,27.03,24.92,25.98,27.11,19.59,88.69,2.1,101.19,1.41,116.81,2.2,116.81,0.94
2021,293,1.53,27.01,25.3,26.15,27.04,20.02,90.56,9.15,101.21,1.25,177.62,1.88,177.62,0.95
2021,294,2.01,26.4,24.23,25.32,26.48,18.8,88.38,6.15,101.12,1.38,158.94,2.03,158.94,0.95
2021,295,1.7,26.45,24.52,25.48,26.47,19.17,89.5,2.35,101.13,1.7,128.69,2.53,128.69,0.94
2021,296,2.03,26.55,24.7,25.63,26.55,19.35,89.81,5.52,101.17,1.26,137.0,1.88,137.12,0.94
2021,297,2.04,27.18,24.34,25.76,27.33,18.92,85.12,1.09,101.06,1.24,164.06,1.81,164.5,0.93
2021,298,1.91,26.49,24.08,25.29,26.56,18.68,86.88,1.88,100.95,1.43,36.56,2.05,36.19,0.93
2021,299,1.96,27.33,24.64,25.99,27.44,19.35,85.94,0.37,100.83,2.15,124.62,3.13,124.56,0.92
2021,300,1.42,27.18,24.77,25.98,27.26,19.47,87.19,1.4,100.79,2.26,290.44,3.25,290.38,0.91
2021,301,2.01,26.81,25.01,25.91,26.88,19.78,90.19,3.39,100.96,2.16,142.0,3.09,141.94,0.91
2021,302,1.98,26.99,24.97,25.98,27.08,19.65,89.25,1.36,101.11,2.1,109.31,3.06,109.31,0.91
2021,303,2.04,26.95,24.82,25.88,26.96,19.47,88.56,5.72,101.14,1.98,89.0,2.88,89.0,0.91
2021,304,1.97,26.8,24.97,25.88,26.75,19.65,90.06,1.79,101.11,2.14,97.19,3.17,97.25,0.91
2021,305,2.04,26.98,25.05,26.02,26.96,19.78,89.69,8.59,101.05,1.8,97.38,2.73,97.75,0.91
2021,306,1.98,27.57,24.75,26.16,27.88,19.41,85.62,6.13,101.04,1.57,97.38,2.34,97.56,0.91
2021,307,2.0,27.0,24.64,25.82,27.05,19.29,87.62,12.01,100.99,1.41,95.62,2.2,95.62,0.92
2021,308,1.95,26.52,24.65,25.58,26.55,19.35,89.81,0.74,100.97,1.5,111.62,2.28,111.69,0.91
