-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.5363   Longitude 105.6938 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2.46 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.02,26.75,25.1,25.92,26.78,19.9,91.0,4.57,100.8,2.31,231.25,3.34,231.25,0.92
2022,275,1.45,26.93,24.66,25.8,27.23,19.41,87.94,6.21,100.74,1.29,238.62,1.95,238.56,0.93
2022,276,1.76,26.73,24.83,25.78,26.76,19.59,89.69,18.92,100.74,2.02,85.12,2.97,85.25,0.95
2022,277,1.77,26.07,24.33,25.2,25.97,18.98,90.38,10.05,100.92,2.08,78.38,3.09,78.5,0.94
2022,278,1.9,26.63,24.58,25.61,26.63,19.29,89.0,5.5,100.93,2.77,108.19,3.98,108.31,0.93
2022,279,1.72,26.17,24.47,25.32,26.21,19.1,90.56,24.05,101.0,1.79,106.62,2.61,106.56,0.95
2022,280,1.98,26.87,24.62,25.75,26.92,19.29,87.94,29.6,100.94,1.37,85.81,2.0,85.81,0.96
2022,281,0.7,26.69,24.7,25.69,26.71,19.41,89.12,10.78,100.95,1.28,176.94,1.95,177.12,0.95
2022,282,1.2,26.53,24.46,25.49,26.54,19.1,88.75,2.23,101.03,1.4,146.94,2.02,146.88,0.95
2022,283,1.88,26.08,23.83,24.96,26.1,18.37,87.88,4.08,101.1,1.74,95.19,2.61,95.25,0.94
2022,284,1.86,26.55,24.05,25.3,26.94,18.62,86.81,11.81,101.03,0.88,218.25,1.38,203.19,0.95
2022,285,1.69,26.25,24.56,25.4,26.14,19.23,90.56,4.99,100.95,1.74,178.5,2.55,178.62,0.94
2022,286,1.8,26.4,24.35,25.37,26.51,19.04,88.88,6.15,100.82,1.57,281.44,2.28,282.0,0.95
2022,287,1.68,26.32,24.22,25.27,26.41,18.92,88.62,0.25,100.61,2.52,315.56,3.61,315.69,0.93
2022,288,1.8,25.43,23.14,24.28,25.91,17.7,87.69,1.11,100.61,2.23,306.19,3.13,306.06,0.92
2022,289,1.99,26.23,23.35,24.79,27.03,17.88,85.0,0.0,100.84,1.77,267.56,2.52,267.5,0.91
2022,290,2.02,27.01,24.17,25.59,27.61,18.8,85.44,0.73,100.86,1.24,157.19,1.79,156.19,0.91
2022,291,1.91,26.12,23.98,25.05,26.06,18.55,88.19,1.38,100.84,1.66,326.31,2.4,325.94,0.91
2022,292,1.71,26.54,24.19,25.37,26.91,18.86,87.5,9.4,100.82,1.15,251.81,1.7,252.19,0.91
2022,293,1.45,26.03,24.85,25.44,25.92,19.59,93.25,9.83,100.91,2.34,123.12,3.35,123.44,0.92
