-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  13.7793   Longitude 108.281 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 615.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,10,1,5.26,14.1,0.42,2.15
2021,10,2,5.75,14.7,0.44,2.24
2021,10,3,5.32,14.06,0.41,2.13
2021,10,4,4.15,11.36,0.34,1.77
2021,10,5,4.57,12.42,0.38,1.91
2021,10,6,2.35,7.11,0.23,1.14
2021,10,7,2.31,7.11,0.22,1.12
2021,10,8,2.16,6.48,0.2,1.01
2021,10,9,3.82,10.69,0.32,1.62
2021,10,10,4.11,11.04,0.32,1.62
2021,10,11,5.11,13.32,0.39,1.98
2021,10,12,4.83,12.73,0.37,1.87
2021,10,13,2.5,7.52,0.23,1.14
2021,10,14,3.35,9.51,0.29,1.48
2021,10,15,4.16,11.46,0.34,1.77
2021,10,16,3.61,10.2,0.3,1.52
2021,10,17,1.93,5.87,0.18,0.92
2021,10,18,4.19,11.59,0.34,1.74
2021,10,19,4.65,12.61,0.37,1.88
2021,10,20,4.71,12.77,0.37,1.88
2021,10,21,5.49,14.23,0.4,2.05
2021,10,22,4.74,12.62,0.37,1.89
2021,10,23,3.17,9.03,0.27,1.36
2021,10,24,1.51,4.45,0.12,0.6
2021,10,25,2.26,6.61,0.19,0.95
2021,10,26,2.24,6.6,0.19,0.95
2021,10,27,1.04,3.34,0.09,0.49
2021,10,28,4.77,12.77,0.37,1.89
2021,10,29,4.1,11.23,0.32,1.65
2021,10,30,4.08,11.33,0.32,1.66
2021,10,31,4.32,11.79,0.33,1.68
2021,11,1,4.82,12.59,0.34,1.75
2021,11,2,5.61,13.98,0.38,1.97
2021,11,3,4.83,12.51,0.36,1.84
2021,11,4,4.8,12.52,0.35,1.81
2021,11,5,5.3,13.72,0.38,1.95
2021,11,6,6.02,14.98,0.41,2.12
2021,11,7,4.18,11.05,0.31,1.62
2021,11,8,4.37,11.62,0.34,1.76
2021,11,9,1.78,5.52,0.16,0.83
2021,11,10,2.96,8.3,0.23,1.21
2021,11,11,1.83,5.55,0.16,0.81
2021,11,12,2.77,8.02,0.23,1.17
2021,11,13,1.49,4.66,0.13,0.69
2021,11,14,1.41,4.4,0.12,0.66
2021,11,15,2.52,7.25,0.2,1.05
2021,11,16,1.52,4.68,0.12,0.67
2021,11,17,3.64,9.99,0.29,1.54
2021,11,18,3.7,9.94,0.27,1.43
2021,11,19,4.61,11.88,0.32,1.65
2021,11,20,4.46,11.47,0.3,1.51
2021,11,21,2.74,7.71,0.2,1.07
2021,11,22,3.43,9.43,0.26,1.34
2021,11,23,2.91,7.95,0.22,1.14
2021,11,24,2.07,6.13,0.17,0.88
2021,11,25,3.23,8.81,0.24,1.29
2021,11,26,3.33,8.77,0.23,1.23
2021,11,27,1.22,3.8,0.11,0.59
2021,11,28,1.67,5.13,0.14,0.75
2021,11,29,1.46,4.5,0.12,0.66
2021,11,30,0.92,2.88,0.08,0.43
2021,12,1,3.79,9.04,0.24,1.29
2021,12,2,3.6,9.24,0.25,1.3
2021,12,3,3.56,9.07,0.24,1.27
2021,12,4,4.84,11.34,0.3,1.58
2021,12,5,2.91,7.72,0.21,1.1
2021,12,6,2.86,7.59,0.2,1.06
2021,12,7,4.41,10.88,0.28,1.45
2021,12,8,2.63,7.17,0.2,1.02
2021,12,9,4.57,11.1,0.29,1.52
2021,12,10,4.92,11.91,0.31,1.66
2021,12,11,3.89,9.86,0.27,1.4
2021,12,12,3.35,9.04,0.24,1.28
2021,12,13,3.19,8.26,0.22,1.17
2021,12,14,3.38,8.66,0.23,1.24
2021,12,15,3.39,9.2,0.25,1.3
2021,12,16,3.92,10.27,0.28,1.49
2021,12,17,3.51,9.2,0.27,1.44
2021,12,18,2.9,7.07,0.19,1.0
2021,12,19,1.2,3.62,0.1,0.55
2021,12,20,4.58,11.59,0.32,1.69
2021,12,21,3.61,9.21,0.26,1.42
2021,12,22,3.82,9.47,0.26,1.36
2021,12,23,3.6,9.66,0.28,1.51
2021,12,24,4.47,11.19,0.31,1.66
2021,12,25,3.61,9.39,0.26,1.38
2021,12,26,3.67,9.49,0.26,1.37
2021,12,27,2.92,7.95,0.23,1.21
2021,12,28,3.09,8.49,0.23,1.26
2021,12,29,3.13,8.16,0.23,1.2
2021,12,30,3.61,9.33,0.26,1.37
2021,12,31,4.16,10.33,0.28,1.48
