-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  13.7793   Longitude 108.281 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 615.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.66,10.3,0.3,1.51
2022,10,2,5.39,14.16,0.41,2.1
2022,10,3,4.86,13.26,0.4,2.04
2022,10,4,2.47,7.5,0.23,1.15
2022,10,5,4.58,12.57,0.38,1.88
2022,10,6,5.31,14.23,0.41,2.09
2022,10,7,4.82,13.12,0.38,1.94
2022,10,8,5.0,13.52,0.39,1.98
2022,10,9,4.28,11.89,0.34,1.74
2022,10,10,2.37,6.98,0.21,1.05
2022,10,11,1.68,5.13,0.14,0.72
2022,10,12,4.13,10.6,0.29,1.46
2022,10,13,1.46,4.42,0.12,0.59
2022,10,14,0.94,3.02,0.08,0.41
2022,10,15,3.28,9.49,0.27,1.37
2022,10,16,4.13,11.12,0.3,1.54
2022,10,17,4.61,11.36,0.31,1.6
2022,10,18,5.6,13.45,0.36,1.84
2022,10,19,5.3,13.13,0.35,1.81
2022,10,20,3.12,8.84,0.26,1.3
2022,10,21,4.72,12.45,0.34,1.74
2022,10,22,5.36,14.01,0.38,1.95
2022,10,23,3.59,10.04,0.29,1.45
2022,10,24,5.24,13.06,0.35,1.83
2022,10,25,3.55,9.89,0.29,1.45
2022,10,26,3.13,8.96,0.26,1.29
2022,10,27,1.44,4.54,0.13,0.68
2022,10,28,3.5,9.36,0.25,1.26
2022,10,29,3.1,8.59,0.24,1.21
2022,10,30,2.76,7.71,0.21,1.08
2022,10,31,5.37,12.88,0.35,1.82
2022,11,1,5.35,12.51,0.34,1.76
2022,11,2,5.22,12.77,0.35,1.81
2022,11,3,4.74,11.51,0.3,1.57
2022,11,4,3.5,9.38,0.27,1.37
2022,11,5,3.21,9.02,0.25,1.29
2022,11,6,4.23,11.01,0.3,1.55
2022,11,7,4.94,12.44,0.34,1.76
2022,11,8,5.13,12.89,0.34,1.75
2022,11,9,4.56,11.9,0.32,1.66
2022,11,10,3.79,10.23,0.28,1.46
2022,11,11,4.42,11.33,0.3,1.57
2022,11,12,2.55,7.48,0.22,1.12
2022,11,13,0.72,2.32,0.06,0.34
2022,11,14,4.45,11.66,0.32,1.69
2022,11,15,4.56,11.7,0.33,1.72
2022,11,16,4.51,11.7,0.34,1.78
2022,11,17,4.02,10.58,0.3,1.59
2022,11,18,4.4,11.38,0.33,1.74
2022,11,19,1.63,5.03,0.15,0.79
2022,11,20,0.94,3.05,0.09,0.49
2022,11,21,2.97,8.61,0.27,1.43
2022,11,22,1.56,4.85,0.15,0.77
2022,11,23,3.45,9.59,0.28,1.49
2022,11,24,4.3,11.3,0.32,1.72
2022,11,25,4.13,10.69,0.3,1.62
2022,11,26,3.15,8.84,0.27,1.42
2022,11,27,4.39,11.32,0.3,1.6
2022,11,28,5.09,12.91,0.35,1.84
2022,11,29,5.34,13.13,0.35,1.84
2022,11,30,4.48,11.48,0.31,1.66
2022,12,1,4.68,11.9,0.33,1.76
2022,12,2,2.4,6.85,0.2,1.04
2022,12,3,2.74,7.69,0.23,1.21
2022,12,4,1.12,3.5,0.1,0.57
2022,12,5,3.9,10.06,0.3,1.61
2022,12,6,2.24,6.51,0.2,1.05
2022,12,7,2.8,7.76,0.23,1.3
2022,12,8,2.82,7.72,0.23,1.3
2022,12,9,3.82,9.83,0.3,1.66
2022,12,10,3.94,10.07,0.3,1.74
2022,12,11,3.85,9.65,0.28,1.53
2022,12,12,2.95,7.88,0.23,1.27
2022,12,13,4.16,9.62,0.27,1.46
2022,12,14,3.8,9.22,0.26,1.37
2022,12,15,3.77,9.25,0.25,1.34
2022,12,16,3.2,8.41,0.25,1.38
2022,12,17,3.33,8.87,0.27,1.55
2022,12,18,3.0,7.71,0.23,1.32
2022,12,19,3.47,8.89,0.27,1.53
2022,12,20,3.67,9.42,0.28,1.59
2022,12,21,3.61,9.27,0.27,1.53
2022,12,22,4.0,9.84,0.28,1.56
2022,12,23,3.92,9.7,0.28,1.5
2022,12,24,3.65,8.95,0.27,1.45
2022,12,25,4.43,10.85,0.31,1.73
2022,12,26,4.57,11.02,0.31,1.74
2022,12,27,3.96,10.19,0.3,1.68
2022,12,28,5.21,12.48,0.37,2.0
2022,12,29,3.91,9.98,0.29,1.56
2022,12,30,3.74,9.3,0.27,1.54
2022,12,31,2.9,7.52,0.23,1.23
