-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  13.7793   Longitude 108.281 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 615.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.15,25.15,22.32,23.73,25.2,18.07,86.12,18.4,94.06,0.18,157.12,0.81,136.19,0.95
2021,275,2.24,24.81,22.21,23.51,24.78,17.94,86.88,4.67,94.12,0.24,150.56,1.07,133.62,0.94
2021,276,2.13,23.37,21.51,22.44,23.34,17.15,90.0,3.93,94.09,0.21,101.75,1.21,94.5,0.94
2021,277,1.77,23.48,21.37,22.43,23.49,17.03,88.88,9.41,93.97,0.25,48.88,1.59,44.25,0.94
2021,278,1.91,23.06,21.46,22.26,23.07,17.15,91.31,6.84,93.89,0.22,47.56,1.47,43.12,0.94
2021,279,1.14,22.57,21.36,21.97,22.62,17.09,93.25,52.3,93.6,0.21,172.69,1.2,161.56,0.97
2021,280,1.12,22.41,21.8,22.11,22.4,17.58,96.31,25.77,93.49,0.34,241.12,1.76,245.25,0.98
2021,281,1.01,23.75,22.72,23.23,23.76,18.62,94.19,19.9,93.44,0.5,246.5,2.71,248.25,0.97
2021,282,1.62,23.7,22.71,23.2,23.69,18.49,94.31,10.33,93.67,0.42,243.56,2.5,245.31,0.97
2021,283,1.62,23.77,22.52,23.15,23.73,18.31,93.06,4.56,93.71,0.3,230.38,1.6,233.88,0.96
2021,284,1.98,24.48,22.9,23.69,24.39,18.8,91.75,3.56,93.64,0.21,211.44,0.81,190.88,0.96
2021,285,1.87,24.08,22.38,23.23,23.98,18.25,91.06,4.1,93.6,0.26,242.88,0.99,240.25,0.95
2021,286,1.14,21.85,20.77,21.31,21.84,16.48,93.94,8.33,93.46,0.28,280.44,1.54,280.25,0.96
2021,287,1.48,22.88,21.4,22.14,22.94,17.09,91.88,12.49,93.7,0.27,225.56,1.55,230.62,0.96
2021,288,1.77,23.31,22.23,22.77,23.19,18.01,93.81,33.76,93.8,0.2,209.75,1.06,206.56,0.97
2021,289,1.52,22.72,22.18,22.44,22.69,17.88,96.75,94.68,93.86,0.27,126.69,1.34,118.38,0.98
2021,290,0.92,22.48,21.71,22.09,22.47,17.4,95.5,57.13,93.98,0.39,107.5,1.96,105.75,0.99
2021,291,1.74,23.06,21.94,22.51,23.05,17.58,93.69,4.65,94.29,0.31,87.06,1.73,83.75,0.98
2021,292,1.88,23.55,21.94,22.75,23.55,17.52,91.25,1.66,94.49,0.25,75.88,1.41,69.19,0.98
2021,293,1.88,23.76,21.73,22.75,23.78,17.27,89.25,1.72,94.45,0.24,82.25,1.37,78.94,0.97
