-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  13.7793   Longitude 108.281 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 615.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.51,23.87,21.71,22.79,23.77,17.33,88.44,1.07,94.07,0.16,176.94,0.86,177.5,0.95
2022,275,2.1,23.53,21.83,22.68,23.5,17.52,90.94,4.16,94.04,0.21,119.44,1.16,117.56,0.95
2022,276,2.04,23.69,21.65,22.67,23.69,17.27,89.25,1.89,94.08,0.33,80.0,1.87,73.94,0.94
2022,277,1.15,22.29,21.02,21.65,22.27,16.6,92.81,7.85,94.26,0.3,67.88,1.7,62.88,0.95
2022,278,1.88,22.44,20.13,21.29,22.44,15.69,87.81,1.97,94.26,0.35,61.62,1.98,55.75,0.94
2022,279,2.09,22.95,20.4,21.68,22.96,15.99,87.0,4.51,94.28,0.28,75.25,1.57,70.44,0.94
2022,280,1.94,23.01,20.19,21.6,23.04,15.81,85.88,4.32,94.24,0.27,50.38,1.65,46.38,0.93
2022,281,1.98,23.49,21.08,22.29,23.51,16.66,87.88,7.25,94.26,0.28,71.31,1.7,64.88,0.94
2022,282,1.74,22.72,21.43,22.08,22.71,17.03,92.75,8.81,94.35,0.28,56.44,1.69,50.0,0.94
2022,283,1.05,22.48,21.83,22.15,22.44,17.46,96.12,39.21,94.38,0.3,64.62,1.84,61.25,0.98
2022,284,0.72,23.05,21.83,22.44,23.03,17.46,93.25,45.34,94.27,0.3,57.56,2.0,53.44,0.98
2022,285,1.46,22.62,20.3,21.46,22.64,15.87,87.88,6.07,94.22,0.3,37.38,2.02,36.88,0.95
2022,286,0.59,21.18,19.38,20.28,21.21,15.08,90.19,6.55,94.03,0.23,73.44,1.78,15.88,0.95
2022,287,0.41,20.49,19.75,20.12,20.49,15.5,95.62,36.31,93.6,0.41,275.88,1.84,291.62,0.98
2022,288,1.37,22.43,20.65,21.54,22.44,16.36,90.56,7.0,93.73,0.28,137.81,1.62,134.38,0.96
2022,289,1.54,22.24,21.45,21.84,22.23,17.15,95.38,24.42,94.05,0.28,62.56,1.7,56.06,0.98
2022,290,1.6,21.52,18.52,20.02,21.44,14.22,84.94,0.25,94.13,0.21,190.56,1.12,155.56,0.96
2022,291,1.84,21.57,18.37,19.97,21.58,14.16,84.0,0.01,94.05,0.21,113.94,1.38,70.19,0.95
2022,292,1.81,22.48,19.19,20.83,22.41,14.89,83.25,0.0,94.03,0.23,202.31,1.08,232.81,0.95
2022,293,1.3,22.7,20.18,21.44,22.73,15.75,86.75,0.0,94.27,0.27,100.5,1.45,100.94,0.94
2022,294,1.74,23.38,20.16,21.77,23.41,15.75,84.12,0.19,94.36,0.2,73.56,1.23,66.31,0.94
2022,295,1.95,23.58,20.86,22.22,23.64,16.42,86.38,2.56,94.34,0.2,104.12,1.2,81.56,0.93
2022,296,1.45,23.31,21.27,22.29,23.26,16.85,89.31,2.7,94.31,0.21,87.19,1.27,44.19,0.93
2022,297,1.83,23.53,20.33,21.94,23.54,15.99,84.19,0.85,94.16,0.2,160.62,1.14,117.44,0.92
2022,298,1.45,22.11,21.24,21.67,22.08,16.85,94.88,8.54,94.23,0.26,89.69,1.64,42.81,0.94
2022,299,1.29,22.22,21.34,21.78,22.22,16.97,94.94,13.76,94.21,0.3,66.56,1.83,62.38,0.95
2022,300,0.68,22.19,21.23,21.71,22.16,16.85,94.44,10.06,94.17,0.26,61.12,1.78,56.94,0.95
2022,301,1.26,21.92,19.55,20.73,21.9,15.2,87.44,1.52,94.11,0.39,52.69,2.6,50.0,0.93
2022,302,1.21,22.06,19.73,20.89,22.05,15.38,87.5,2.12,94.02,0.37,50.12,2.55,45.75,0.93
2022,303,1.08,21.59,18.67,20.13,21.55,14.4,84.62,0.06,93.98,0.32,39.19,2.23,34.62,0.92
2022,304,1.82,21.05,17.93,19.48,21.05,13.73,84.25,0.0,94.01,0.23,94.56,1.63,59.62,0.91
2022,305,1.76,20.7,17.01,18.86,20.62,13.0,81.75,0.0,94.09,0.23,164.62,1.22,139.06,0.91
2022,306,1.81,20.9,16.93,18.91,20.83,12.88,80.69,0.0,94.13,0.23,134.0,1.08,128.06,0.91
2022,307,1.57,21.16,18.13,19.65,21.2,13.92,84.44,0.36,94.26,0.21,109.81,1.14,103.12,0.91
2022,308,1.37,21.15,18.5,19.82,21.19,14.16,85.94,0.48,94.42,0.34,77.5,1.88,70.56,0.9
2022,309,1.29,21.39,18.63,20.01,21.4,14.28,85.44,0.16,94.54,0.27,68.94,1.7,62.0,0.9
2022,310,1.55,22.05,18.96,20.5,22.09,14.59,84.31,0.32,94.46,0.27,59.81,1.8,52.38,0.9
2022,311,1.76,22.07,18.64,20.36,22.12,14.34,82.69,0.03,94.37,0.2,50.12,1.42,46.31,0.89
2022,312,1.75,22.32,18.77,20.55,22.37,14.47,82.31,0.0,94.32,0.22,49.44,1.57,43.62,0.89
2022,313,1.66,22.59,20.21,21.4,22.58,15.81,87.31,0.12,94.33,0.27,61.31,1.78,55.5,0.88
2022,314,1.46,23.3,20.85,22.08,23.32,16.42,87.38,1.03,94.3,0.3,63.69,1.91,56.81,0.88
2022,315,1.57,22.48,20.65,21.57,22.47,16.24,90.06,1.19,94.31,0.33,66.62,2.02,60.19,0.88
2022,316,1.12,22.8,20.87,21.83,22.81,16.48,89.62,4.34,94.19,0.34,69.44,2.09,63.06,0.88
2022,317,0.34,22.25,21.42,21.83,22.23,17.03,95.12,14.64,94.24,0.38,69.75,2.23,66.44,0.91
2022,318,1.69,23.23,21.03,22.12,23.21,16.6,88.38,0.48,94.25,0.35,73.5,2.13,66.38,0.89
2022,319,1.72,23.6,21.13,22.37,23.61,16.72,87.25,0.44,94.2,0.31,75.62,1.94,69.44,0.88
2022,320,1.78,23.22,20.4,21.81,23.25,15.99,85.56,0.42,94.13,0.31,76.25,1.86,68.62,0.88
2022,321,1.59,23.43,20.8,22.12,23.44,16.42,86.5,0.61,94.1,0.31,74.06,1.87,67.31,0.88
2022,322,1.74,22.73,20.3,21.51,22.73,15.87,87.25,1.01,94.17,0.37,63.06,2.23,56.69,0.87
2022,323,0.79,21.35,20.12,20.73,21.33,15.69,92.88,20.73,94.09,0.43,56.44,2.6,52.5,0.91
2022,324,0.49,21.67,20.41,21.04,21.63,16.05,92.88,40.4,93.91,0.38,54.81,2.48,51.88,0.95
2022,325,1.43,22.63,21.87,22.26,22.62,17.64,95.56,8.31,93.79,0.22,76.25,1.45,69.56,0.91
2022,326,0.77,22.3,21.3,21.8,22.3,16.97,94.25,4.59,93.93,0.31,74.44,1.76,72.94,0.91
2022,327,1.49,22.93,21.48,22.2,22.91,17.15,92.19,3.1,94.05,0.25,82.44,1.5,80.31,0.91
2022,328,1.72,22.84,21.01,21.93,22.86,16.6,90.31,1.54,94.22,0.29,94.94,1.61,96.69,0.9
2022,329,1.62,22.97,21.11,22.04,22.96,16.66,90.06,0.61,94.33,0.3,73.75,1.73,70.31,0.89
2022,330,1.42,22.5,20.78,21.64,22.51,16.36,90.75,7.15,94.24,0.32,81.12,1.8,77.75,0.91
2022,331,1.6,22.83,20.65,21.74,22.86,16.24,88.69,0.26,94.14,0.28,92.81,1.52,92.0,0.89
2022,332,1.84,23.28,20.71,22.0,23.23,16.3,86.94,0.0,94.18,0.25,103.62,1.13,102.56,0.89
2022,333,1.84,23.41,20.16,21.79,23.4,15.75,84.06,0.01,94.22,0.23,84.12,1.3,83.75,0.88
2022,334,1.66,22.71,20.53,21.62,22.72,16.11,88.38,0.12,94.27,0.3,64.5,1.84,59.12,0.88
2022,335,1.76,23.08,20.81,21.95,23.06,16.42,87.75,0.23,94.24,0.36,63.62,2.38,57.88,0.88
2022,336,1.04,22.05,20.17,21.12,22.0,15.81,89.5,11.27,94.17,0.44,79.0,2.72,77.25,0.89
2022,337,1.21,21.33,19.76,20.55,21.31,15.32,91.31,12.21,94.25,0.36,62.5,2.25,60.19,0.91
2022,338,0.57,20.87,18.97,19.92,20.84,14.59,89.94,9.19,94.34,0.43,60.44,2.38,56.38,0.91
2022,339,1.61,22.04,20.51,21.27,22.01,16.05,91.56,8.25,94.3,0.39,66.88,2.51,60.56,0.9
2022,340,1.05,21.35,19.73,20.54,21.32,15.32,90.94,12.59,94.23,0.47,57.88,2.98,54.19,0.91
2022,341,1.3,21.87,20.01,20.94,21.85,15.62,89.88,7.66,94.19,0.42,55.06,2.73,51.88,0.9
2022,342,1.3,22.23,20.44,21.33,22.2,15.99,90.25,9.92,94.21,0.44,60.25,2.82,57.69,0.91
2022,343,1.66,21.08,18.51,19.8,21.05,14.22,86.44,1.08,94.19,0.4,63.31,2.61,58.75,0.89
2022,344,1.74,20.4,18.67,19.54,20.42,14.34,90.62,9.93,94.2,0.34,67.81,2.13,62.81,0.91
2022,345,1.53,19.77,17.86,18.81,19.79,13.61,89.56,4.89,94.3,0.34,74.12,1.98,69.5,0.9
2022,346,1.27,18.35,16.49,17.42,18.35,12.45,89.81,16.06,94.38,0.32,55.88,2.04,50.31,0.93
2022,347,1.46,16.87,14.13,15.5,16.89,10.68,85.5,0.37,94.4,0.34,46.81,2.23,41.56,0.9
2022,348,1.37,17.02,13.97,15.49,17.05,10.62,83.38,0.0,94.43,0.37,45.75,2.45,39.12,0.89
2022,349,1.34,18.56,15.62,17.08,18.6,11.9,84.31,0.02,94.24,0.29,52.69,2.0,45.94,0.88
2022,350,1.38,20.73,18.33,19.52,20.76,14.16,87.19,1.02,94.21,0.3,58.38,1.98,49.94,0.88
2022,351,1.55,20.15,18.0,19.08,20.1,13.85,88.06,6.76,94.39,0.57,52.56,3.49,47.38,0.89
2022,352,1.32,16.15,13.48,14.82,16.13,10.25,84.5,5.95,94.49,0.76,47.19,4.45,44.62,0.89
2022,353,1.53,17.1,14.32,15.71,17.13,10.86,84.44,0.63,94.32,0.49,55.06,3.09,50.94,0.88
2022,354,1.59,19.82,17.42,18.62,19.83,13.31,86.94,0.18,94.19,0.34,60.25,2.23,55.31,0.88
2022,355,1.53,20.33,18.04,19.19,20.33,13.79,87.75,1.57,94.18,0.36,57.19,2.43,52.56,0.88
2022,356,1.56,18.94,15.89,17.41,18.95,12.02,83.94,0.02,94.18,0.3,53.94,2.18,49.19,0.87
2022,357,1.5,16.71,13.76,15.23,16.74,10.44,84.38,0.07,94.34,0.33,54.38,2.19,48.75,0.87
2022,358,1.45,16.68,13.83,15.26,16.71,10.5,84.56,0.41,94.47,0.4,54.94,2.67,51.06,0.87
2022,359,1.73,16.21,13.5,14.86,16.21,10.25,85.06,0.08,94.6,0.38,58.62,2.38,54.31,0.86
2022,360,1.74,17.51,14.83,16.18,17.55,11.17,86.0,0.43,94.67,0.33,54.69,2.1,51.81,0.86
2022,361,1.68,17.77,15.27,16.52,17.8,11.47,86.94,0.66,94.61,0.31,58.56,2.05,54.56,0.86
2022,362,2.0,18.43,15.9,17.17,18.48,12.02,87.0,1.54,94.63,0.29,52.56,1.88,48.5,0.86
2022,363,1.56,19.42,17.4,18.41,19.44,13.18,89.25,5.93,94.65,0.35,55.81,2.34,52.12,0.87
2022,364,1.54,18.65,16.03,17.33,18.63,12.02,85.75,1.25,94.74,0.47,55.44,3.09,51.62,0.86
2022,365,1.23,17.91,14.42,16.17,17.91,10.86,80.81,0.1,94.7,0.4,46.75,2.8,42.81,0.85
