-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.771   Longitude 105.0071 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 918.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.18,10.08,0.3,1.51
2022,10,2,3.12,9.91,0.29,1.49
2022,10,3,3.78,11.12,0.31,1.57
2022,10,4,5.55,15.3,0.44,2.27
2022,10,5,5.62,15.46,0.43,2.21
2022,10,6,5.56,14.55,0.39,1.99
2022,10,7,4.08,11.59,0.31,1.61
2022,10,8,2.96,8.84,0.25,1.27
2022,10,9,1.69,5.61,0.16,0.79
2022,10,10,5.45,14.56,0.41,2.09
2022,10,11,5.82,15.29,0.42,2.18
2022,10,12,4.25,12.1,0.34,1.78
2022,10,13,5.45,14.53,0.41,2.1
2022,10,14,6.08,15.38,0.41,2.16
2022,10,15,6.18,15.28,0.41,2.07
2022,10,16,6.08,14.91,0.38,1.95
2022,10,17,6.05,14.89,0.38,1.94
2022,10,18,5.82,13.52,0.34,1.77
2022,10,19,4.14,11.09,0.3,1.57
2022,10,20,1.34,4.48,0.11,0.58
2022,10,21,2.15,7.05,0.19,0.96
2022,10,22,4.72,12.7,0.33,1.71
2022,10,23,5.08,12.99,0.34,1.73
2022,10,24,4.23,10.53,0.28,1.46
2022,10,25,3.42,8.78,0.23,1.25
2022,10,26,2.25,7.1,0.2,1.05
2022,10,27,2.13,7.02,0.2,1.02
2022,10,28,2.12,6.33,0.17,0.9
2022,10,29,2.05,5.7,0.16,0.81
2022,10,30,3.29,9.08,0.25,1.32
2022,10,31,4.29,10.98,0.3,1.56
2022,11,1,5.63,13.49,0.35,1.84
2022,11,2,5.86,13.94,0.37,1.88
2022,11,3,5.71,13.66,0.34,1.76
2022,11,4,5.41,13.09,0.33,1.69
2022,11,5,4.93,11.59,0.29,1.46
2022,11,6,3.39,8.43,0.21,1.1
2022,11,7,3.67,8.88,0.21,1.12
2022,11,8,4.32,10.21,0.24,1.26
2022,11,9,4.57,10.61,0.25,1.29
2022,11,10,4.25,10.26,0.25,1.29
2022,11,11,4.25,10.58,0.27,1.38
2022,11,12,4.1,10.33,0.27,1.38
2022,11,13,3.67,9.91,0.26,1.37
2022,11,14,1.49,4.96,0.14,0.73
2022,11,15,1.4,4.63,0.13,0.71
2022,11,16,2.11,6.38,0.17,0.91
2022,11,17,2.39,7.33,0.2,1.08
2022,11,18,1.68,5.43,0.15,0.79
2022,11,19,1.86,6.05,0.17,0.92
2022,11,20,1.75,5.52,0.15,0.79
2022,11,21,3.01,8.03,0.2,1.08
2022,11,22,3.99,9.77,0.23,1.23
2022,11,23,2.93,8.05,0.21,1.11
2022,11,24,1.68,5.27,0.15,0.79
2022,11,25,1.52,4.98,0.13,0.71
2022,11,26,1.35,4.52,0.12,0.62
2022,11,27,1.96,6.05,0.15,0.77
2022,11,28,3.52,9.3,0.23,1.16
2022,11,29,4.3,10.7,0.25,1.29
2022,11,30,2.82,7.66,0.19,0.97
2022,12,1,0.96,3.27,0.09,0.45
2022,12,2,2.05,6.15,0.16,0.84
2022,12,3,2.15,6.41,0.16,0.84
2022,12,4,1.38,4.23,0.11,0.57
2022,12,5,2.8,7.79,0.21,1.12
2022,12,6,1.66,5.2,0.14,0.75
2022,12,7,0.99,3.3,0.09,0.49
2022,12,8,0.98,3.16,0.09,0.48
2022,12,9,1.06,3.42,0.09,0.5
2022,12,10,1.12,3.62,0.1,0.52
2022,12,11,1.7,4.97,0.13,0.71
2022,12,12,2.6,6.62,0.18,0.97
2022,12,13,2.41,6.34,0.17,0.91
2022,12,14,2.74,7.03,0.18,0.95
2022,12,15,4.4,9.88,0.24,1.22
2022,12,16,3.07,7.35,0.19,0.99
2022,12,17,1.71,4.89,0.13,0.72
2022,12,18,4.43,10.07,0.23,1.14
2022,12,19,4.68,10.36,0.22,1.09
2022,12,20,4.53,10.1,0.21,1.04
2022,12,21,2.94,6.82,0.15,0.77
2022,12,22,3.81,8.46,0.17,0.85
2022,12,23,3.51,8.18,0.17,0.88
2022,12,24,2.55,6.41,0.15,0.75
2022,12,25,3.87,8.89,0.2,0.98
2022,12,26,1.41,4.27,0.1,0.52
2022,12,27,0.69,2.23,0.05,0.27
2022,12,28,0.78,2.45,0.06,0.31
2022,12,29,0.96,2.93,0.07,0.35
2022,12,30,1.53,4.59,0.11,0.55
2022,12,31,1.2,3.84,0.09,0.48
