-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.771   Longitude 105.0071 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 918.3 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.51,22.05,20.38,21.21,22.34,16.6,90.81,9.59,90.88,1.26,130.25,1.95,130.88,0.84
2022,275,1.49,22.0,20.49,21.24,22.37,16.66,91.62,5.56,90.98,1.7,146.56,2.66,146.31,0.84
2022,276,1.57,22.39,20.31,21.35,22.91,16.42,88.88,0.62,91.15,1.38,148.5,2.2,148.44,0.8
2022,277,2.27,22.47,19.74,21.1,22.69,15.81,85.75,0.21,91.28,1.17,162.19,1.86,161.62,0.8
2022,278,2.21,22.65,20.08,21.37,22.77,16.17,86.31,0.1,91.26,1.09,138.88,1.68,139.19,0.8
2022,279,1.99,22.09,19.01,20.55,22.01,15.14,83.75,1.07,91.27,1.3,152.25,1.98,152.81,0.79
2022,280,1.61,21.08,18.77,19.92,21.21,14.89,87.44,1.91,91.32,1.59,100.19,2.49,99.69,0.8
2022,281,1.27,20.18,18.0,19.08,20.76,14.16,88.06,0.76,91.34,1.38,144.25,2.16,143.31,0.79
2022,282,0.79,18.84,16.29,17.57,18.87,12.82,85.81,1.73,91.66,2.47,66.62,3.84,66.44,0.79
2022,283,2.09,16.37,11.3,13.84,16.44,9.16,73.19,0.48,91.83,2.04,47.62,3.09,47.31,0.78
2022,284,2.18,17.63,12.69,15.16,17.86,10.13,74.25,0.05,91.52,1.11,66.44,1.81,65.81,0.78
2022,285,1.78,18.55,13.55,16.05,18.56,10.68,73.56,0.01,91.39,1.02,103.38,1.59,102.81,0.77
2022,286,2.1,18.87,13.5,16.19,18.5,10.62,72.12,0.0,91.34,1.14,68.94,1.83,68.88,0.77
2022,287,2.16,18.35,13.04,15.69,17.96,10.31,72.88,0.0,91.26,1.75,57.44,2.95,57.19,0.77
2022,288,2.07,18.27,13.65,15.96,17.73,10.74,76.31,0.0,91.27,1.92,146.19,3.17,145.94,0.77
2022,289,1.95,17.84,14.04,15.94,17.58,10.99,79.94,0.0,91.45,2.19,73.38,3.69,72.81,0.76
2022,290,1.94,17.55,13.01,15.28,17.3,10.25,76.31,0.0,91.49,2.9,17.19,4.69,17.0,0.76
2022,291,1.77,15.88,9.69,12.79,15.3,8.24,69.75,0.0,91.5,2.49,76.94,4.1,46.81,0.75
2022,292,1.57,15.4,7.99,11.7,14.69,7.32,63.62,0.12,91.44,1.5,95.88,2.55,111.06,0.75
