-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.0434   Longitude 105.7487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.61,25.99,24.88,25.44,25.9,19.84,93.75,8.35,99.86,1.84,107.19,2.86,107.19,0.91
2022,275,2.03,25.94,25.07,25.51,25.76,20.02,94.94,6.42,99.99,1.62,121.75,2.59,121.88,0.91
2022,276,2.15,26.22,24.41,25.31,26.17,19.23,90.25,1.47,100.16,1.54,108.19,2.45,108.25,0.9
2022,277,2.53,25.96,24.08,25.02,25.76,18.8,89.75,1.5,100.3,1.02,149.5,1.67,149.25,0.9
2022,278,2.47,26.41,24.3,25.36,26.51,19.04,88.69,2.58,100.29,1.23,80.94,1.95,80.75,0.89
2022,279,2.14,26.27,24.1,25.19,26.15,18.86,88.38,6.6,100.29,1.36,97.0,2.12,96.88,0.9
2022,280,2.07,25.37,23.83,24.6,25.09,18.55,91.5,12.9,100.36,1.89,89.5,2.91,88.38,0.9
2022,281,1.8,23.56,21.9,22.73,23.76,16.48,90.56,16.89,100.47,1.6,66.62,2.46,66.75,0.91
2022,282,1.13,23.62,21.9,22.76,23.45,16.48,90.19,8.27,100.73,2.89,47.31,4.38,47.56,0.91
2022,283,2.19,19.85,14.93,17.39,19.3,10.5,74.12,0.01,101.12,2.52,22.81,3.84,23.06,0.89
2022,284,2.11,20.4,14.83,17.62,19.69,10.5,71.94,0.0,100.77,1.56,107.31,2.45,107.44,0.89
2022,285,1.96,21.54,16.08,18.81,20.83,11.41,72.31,0.0,100.57,1.25,145.44,2.0,159.5,0.88
2022,286,1.87,22.05,16.0,19.02,21.05,11.35,70.0,0.0,100.46,1.39,154.88,2.22,155.31,0.88
2022,287,1.9,22.01,17.05,19.52,21.13,12.15,74.31,0.0,100.3,2.07,209.94,3.41,209.62,0.88
2022,288,1.91,21.73,16.66,19.19,20.7,11.84,74.0,0.0,100.3,2.17,102.88,3.48,117.56,0.87
2022,289,1.82,21.71,17.52,19.62,21.1,12.57,78.25,0.0,100.46,2.22,109.31,3.7,108.94,0.86
