-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  18.2919   Longitude 105.7652 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 79.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.41,26.49,25.35,25.92,26.46,20.39,93.44,13.94,99.84,1.98,118.19,2.88,117.62,0.98
2022,275,0.81,26.36,25.38,25.87,26.35,20.39,94.31,48.33,99.97,1.98,105.5,2.88,104.31,0.99
2022,276,1.45,26.28,24.83,25.56,26.27,19.71,91.75,4.43,100.13,2.06,92.69,3.04,91.94,0.97
2022,277,2.02,26.29,24.44,25.37,26.32,19.23,89.69,3.71,100.29,1.68,47.88,2.51,47.06,0.97
2022,278,1.97,26.38,24.52,25.45,26.23,19.29,89.5,9.66,100.28,1.22,78.62,1.79,77.56,0.97
2022,279,1.66,26.58,24.3,25.44,26.39,19.04,87.5,9.08,100.28,1.29,58.81,1.84,58.19,0.97
2022,280,1.62,26.35,24.05,25.19,26.27,18.74,87.5,10.4,100.32,1.34,49.81,2.04,47.81,0.97
2022,281,1.81,26.02,24.89,25.46,25.95,19.71,93.38,48.5,100.31,2.79,53.56,4.05,52.56,0.98
2022,282,1.02,25.88,24.8,25.33,25.8,19.59,93.62,41.7,100.54,3.09,40.31,4.45,39.88,0.99
2022,283,0.87,21.06,19.05,20.06,21.37,13.73,88.5,16.29,100.95,4.74,108.69,6.76,122.81,0.98
2022,284,1.9,21.87,17.98,19.93,21.81,12.82,79.06,0.03,100.72,2.49,136.12,3.62,164.38,0.97
2022,285,2.03,22.58,18.43,20.51,22.33,13.24,77.75,0.0,100.54,2.09,145.06,3.14,141.88,0.95
2022,286,2.02,22.87,18.77,20.82,22.55,13.55,78.0,0.0,100.42,2.32,99.25,3.48,126.31,0.95
2022,287,1.58,22.56,19.03,20.8,22.37,13.85,81.0,3.51,100.21,2.66,144.5,3.95,141.94,0.95
2022,288,0.8,22.98,20.14,21.56,22.6,14.77,84.06,8.36,100.16,3.55,15.81,5.18,29.69,0.95
2022,289,1.75,23.17,19.19,21.18,22.57,13.92,78.69,1.15,100.4,2.62,108.75,3.95,122.06,0.94
2022,290,1.88,22.69,19.63,21.16,22.45,14.34,83.56,0.04,100.4,3.0,224.38,4.53,223.56,0.93
2022,291,1.71,22.17,18.83,20.51,21.91,13.61,82.19,0.01,100.44,3.37,138.5,4.97,167.62,0.92
2022,292,1.07,19.33,16.4,17.87,19.65,11.6,83.38,1.72,100.56,3.66,134.69,5.21,134.0,0.92
2022,293,0.54,17.84,16.24,17.05,18.72,11.54,90.69,5.76,100.63,3.42,327.12,4.76,326.75,0.93
2022,294,0.78,21.73,20.4,21.06,22.19,15.14,92.19,6.37,100.64,3.52,171.94,4.95,171.56,0.93
2022,295,1.38,23.57,21.23,22.4,23.61,15.75,87.12,1.36,100.66,2.16,163.62,3.07,162.19,0.92
2022,296,1.75,24.76,20.88,22.82,24.12,15.44,80.0,0.0,100.5,1.33,176.94,1.98,175.69,0.91
2022,297,1.58,24.57,21.93,23.25,24.54,16.54,86.0,4.79,100.38,1.66,137.12,2.61,136.88,0.91
2022,298,0.6,24.36,23.1,23.73,24.33,17.7,92.69,58.58,100.45,3.4,29.75,4.88,29.0,0.97
2022,299,0.91,24.73,23.26,23.99,24.79,17.88,91.75,22.55,100.42,2.45,55.31,3.55,54.38,0.96
2022,300,1.19,24.63,22.87,23.76,24.67,17.46,90.19,3.71,100.38,2.03,59.31,3.03,58.25,0.94
2022,301,1.59,23.73,21.39,22.55,23.77,15.93,87.19,0.11,100.47,2.29,47.25,3.41,46.94,0.93
2022,302,0.89,23.6,21.27,22.44,23.49,15.81,87.0,0.11,100.46,2.84,39.12,4.2,53.5,0.92
2022,303,1.19,23.06,20.64,21.85,22.94,15.2,86.56,0.01,100.37,2.55,155.44,3.82,153.81,0.92
2022,304,1.65,22.18,19.4,20.79,21.99,14.04,84.81,0.03,100.48,3.18,178.31,4.73,207.5,0.91
2022,305,1.73,21.3,17.57,19.43,20.83,12.51,80.19,0.0,100.44,2.9,203.56,4.31,202.62,0.91
2022,306,1.78,21.64,16.48,19.06,20.76,11.78,73.44,0.0,100.27,1.72,181.56,2.62,181.62,0.91
2022,307,1.73,22.3,15.66,18.98,21.02,11.17,66.31,0.0,100.37,1.37,163.06,1.97,162.12,0.9
2022,308,1.5,22.08,18.59,20.34,21.64,13.43,80.81,0.11,100.62,2.11,141.25,3.2,139.88,0.9
2022,309,0.98,22.15,19.64,20.89,21.87,14.22,85.88,1.88,100.81,2.69,29.56,3.95,29.5,0.9
2022,310,1.45,21.89,19.38,20.64,21.8,14.04,86.0,0.13,100.73,2.02,126.0,2.95,125.19,0.89
2022,311,1.45,22.26,19.71,20.98,22.13,14.28,85.88,0.03,100.63,1.77,37.5,2.56,37.62,0.89
2022,312,1.52,22.27,19.7,20.99,22.04,14.28,85.88,0.08,100.63,1.88,29.25,2.71,29.06,0.88
2022,313,1.45,22.64,20.94,21.8,22.77,15.5,90.56,0.44,100.59,2.18,122.38,3.22,121.12,0.88
2022,314,1.11,23.65,22.13,22.89,23.79,16.66,91.69,1.2,100.5,2.11,137.94,3.15,151.44,0.88
2022,315,1.23,24.37,22.57,23.47,24.3,17.15,90.0,2.78,100.45,1.69,91.75,2.48,91.12,0.88
2022,316,1.64,24.45,21.92,23.19,24.09,16.48,86.06,0.1,100.36,1.24,78.5,1.73,78.75,0.88
2022,317,1.09,24.35,22.34,23.35,24.28,16.91,88.88,0.6,100.38,1.64,48.31,2.37,47.75,0.88
2022,318,1.07,24.87,23.43,24.15,24.98,18.07,91.94,5.06,100.38,1.92,51.38,2.88,51.12,0.88
2022,319,1.38,25.03,23.52,24.28,25.16,18.19,91.62,4.2,100.3,1.69,63.44,2.58,63.12,0.88
2022,320,1.63,25.07,23.37,24.23,25.23,18.07,90.75,1.26,100.16,1.75,108.88,2.64,108.62,0.88
2022,321,1.57,25.12,23.48,24.3,25.21,18.13,91.06,0.92,100.14,1.86,109.75,2.77,109.88,0.87
2022,322,1.5,25.44,23.9,24.67,25.55,18.62,91.56,2.32,100.25,1.93,101.25,2.95,100.88,0.87
2022,323,1.37,25.01,23.42,24.22,25.08,18.07,91.12,3.39,100.31,2.05,61.44,3.06,62.12,0.87
2022,324,1.02,24.4,22.9,23.65,24.43,17.52,91.44,2.35,100.21,3.03,39.94,4.42,39.5,0.87
2022,325,0.93,24.42,22.8,23.61,24.58,17.46,90.94,2.62,100.07,2.73,33.31,3.91,32.88,0.87
2022,326,0.77,24.29,23.24,23.76,24.3,17.94,93.94,27.45,100.03,3.36,82.0,4.81,81.56,0.91
2022,327,0.77,24.8,23.77,24.28,24.83,18.49,94.06,98.65,100.12,2.7,37.88,3.87,37.38,0.98
2022,328,0.91,24.61,23.96,24.28,24.48,18.68,96.12,222.94,100.19,2.32,50.75,3.38,49.94,1.0
2022,329,1.09,24.74,23.81,24.28,24.73,18.49,94.56,47.17,100.33,2.38,47.69,3.47,46.81,0.98
2022,330,1.27,25.01,23.95,24.48,24.94,18.68,93.88,8.8,100.17,2.03,93.5,3.05,93.0,0.95
2022,331,1.57,26.74,23.53,25.14,26.42,18.25,83.44,4.39,99.89,1.2,152.25,1.77,155.12,0.95
2022,332,1.65,26.93,23.59,25.26,26.62,18.37,83.0,0.07,99.9,1.33,193.44,2.12,195.88,0.93
2022,333,1.62,26.85,24.08,25.46,26.75,18.86,85.62,0.12,100.04,1.32,163.0,2.11,164.38,0.93
