-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.9203   Longitude 106.3749 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,1.55,5.05,0.15,0.75
2022,10,2,2.57,7.84,0.23,1.18
2022,10,3,5.51,14.26,0.4,2.05
2022,10,4,5.02,13.43,0.38,1.96
2022,10,5,5.69,14.6,0.4,2.06
2022,10,6,4.88,12.73,0.34,1.74
2022,10,7,3.11,8.92,0.24,1.23
2022,10,8,2.66,7.93,0.22,1.1
2022,10,9,1.34,4.34,0.12,0.6
2022,10,10,3.83,10.09,0.28,1.45
2022,10,11,6.38,15.47,0.41,2.16
2022,10,12,6.27,15.26,0.41,2.08
2022,10,13,5.37,13.3,0.36,1.83
2022,10,14,5.63,13.62,0.37,1.87
2022,10,15,5.16,12.71,0.34,1.71
2022,10,16,6.04,13.91,0.35,1.81
2022,10,17,5.83,13.47,0.34,1.75
2022,10,18,5.7,12.82,0.33,1.7
2022,10,19,1.8,5.45,0.15,0.76
2022,10,20,1.11,3.56,0.09,0.47
2022,10,21,2.33,6.76,0.18,0.92
2022,10,22,4.82,11.77,0.3,1.55
2022,10,23,5.38,12.48,0.31,1.59
2022,10,24,5.17,12.08,0.31,1.59
2022,10,25,2.43,6.95,0.2,1.03
2022,10,26,3.56,9.55,0.26,1.31
2022,10,27,4.85,12.16,0.3,1.58
2022,10,28,5.05,11.91,0.3,1.52
2022,10,29,4.37,10.27,0.27,1.39
2022,10,30,4.97,11.94,0.32,1.7
2022,10,31,5.32,12.63,0.34,1.8
2022,11,1,5.03,11.59,0.3,1.6
2022,11,2,5.27,12.1,0.31,1.64
2022,11,3,5.08,11.88,0.3,1.54
2022,11,4,5.04,11.87,0.3,1.52
2022,11,5,4.83,11.06,0.27,1.39
2022,11,6,5.24,12.01,0.3,1.5
2022,11,7,4.63,10.84,0.27,1.35
2022,11,8,4.98,11.52,0.28,1.43
2022,11,9,4.12,10.17,0.26,1.32
2022,11,10,2.33,6.74,0.18,0.95
2022,11,11,3.1,8.47,0.23,1.19
2022,11,12,4.56,11.34,0.3,1.57
2022,11,13,2.67,7.43,0.2,1.06
2022,11,14,3.72,9.8,0.27,1.4
2022,11,15,3.38,8.95,0.24,1.27
2022,11,16,4.02,10.37,0.28,1.49
2022,11,17,3.95,10.06,0.27,1.45
2022,11,18,3.88,9.95,0.27,1.48
2022,11,19,3.67,9.48,0.26,1.41
2022,11,20,4.02,9.73,0.25,1.32
2022,11,21,2.67,7.27,0.19,1.01
2022,11,22,1.76,5.3,0.14,0.73
2022,11,23,2.5,7.0,0.19,0.98
2022,11,24,1.4,4.41,0.12,0.69
2022,11,25,1.62,4.9,0.14,0.75
2022,11,26,1.82,5.48,0.15,0.8
2022,11,27,3.83,9.73,0.24,1.27
2022,11,28,3.55,9.27,0.23,1.25
2022,11,29,3.52,9.09,0.23,-999.0
2022,11,30,3.27,8.55,0.23,1.18
2022,12,1,0.75,2.34,0.06,0.35
2022,12,2,2.26,5.95,0.16,0.88
2022,12,3,2.49,6.8,0.18,0.96
2022,12,4,1.49,4.2,0.1,0.55
2022,12,5,1.79,4.94,0.13,0.7
2022,12,6,2.53,6.55,0.17,0.95
2022,12,7,1.71,4.84,0.13,0.71
2022,12,8,1.97,5.48,0.16,0.85
2022,12,9,1.77,5.0,0.14,0.77
2022,12,10,1.27,3.76,0.11,0.58
2022,12,11,2.66,6.68,0.18,0.99
2022,12,12,3.59,7.84,0.2,1.11
2022,12,13,4.58,9.7,0.24,1.27
2022,12,14,4.13,9.04,0.23,1.24
2022,12,15,4.48,9.64,0.24,1.25
2022,12,16,4.04,8.99,0.23,1.23
2022,12,17,2.28,5.57,0.16,0.85
2022,12,18,4.24,9.28,0.23,1.17
2022,12,19,4.85,10.59,0.24,1.24
2022,12,20,3.91,9.09,0.22,1.14
2022,12,21,4.06,8.77,0.2,1.04
2022,12,22,4.55,9.77,0.21,1.06
2022,12,23,4.31,9.6,0.21,1.06
2022,12,24,4.55,9.9,0.23,1.14
2022,12,25,4.42,9.8,0.23,1.16
2022,12,26,2.95,7.3,0.18,0.93
2022,12,27,3.48,8.39,0.2,1.05
2022,12,28,1.44,3.86,0.1,0.55
2022,12,29,2.11,5.2,0.13,0.73
2022,12,30,2.15,5.5,0.14,0.73
2022,12,31,2.44,6.17,0.15,0.78
