-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.9203   Longitude 106.3749 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,0.75,26.29,25.26,25.77,26.18,20.14,94.12,11.35,100.61,2.04,115.38,3.12,115.06,0.91
2022,275,1.18,26.45,25.14,25.8,26.3,19.96,92.56,3.22,100.73,1.81,117.06,2.79,117.06,0.91
2022,276,2.05,26.5,24.59,25.55,26.37,19.29,89.69,2.72,100.88,1.68,95.69,2.67,95.69,0.91
2022,277,1.96,26.19,24.55,25.37,26.01,19.23,90.94,4.66,101.02,1.3,60.31,2.11,60.62,0.91
2022,278,2.06,26.73,24.48,25.6,26.75,19.1,88.19,2.05,101.01,1.55,80.25,2.45,80.19,0.9
2022,279,1.74,26.63,24.31,25.48,26.49,18.92,87.69,5.92,101.01,1.66,95.31,2.67,95.38,0.89
2022,280,1.23,25.65,23.91,24.79,25.46,18.49,90.44,19.63,101.09,2.17,63.06,3.36,62.94,0.91
2022,281,1.1,24.13,22.14,23.13,24.22,16.6,88.94,18.6,101.18,2.2,66.5,3.32,67.0,0.92
2022,282,0.6,24.01,21.94,22.98,23.78,16.42,88.38,8.11,101.44,3.49,44.56,5.2,44.56,0.91
2022,283,1.45,19.73,15.3,17.51,19.46,10.68,76.56,0.02,101.81,3.01,27.5,4.62,27.56,0.89
2022,284,2.16,20.42,14.72,17.57,19.82,10.38,71.19,0.0,101.49,2.11,37.44,3.25,37.69,0.88
2022,285,2.08,21.62,16.31,18.96,21.14,11.47,73.12,0.0,101.29,1.66,47.62,2.7,47.62,0.88
2022,286,1.83,22.12,15.88,19.0,21.44,11.17,69.5,0.0,101.18,1.81,27.88,2.95,27.88,0.87
2022,287,1.87,21.55,17.08,19.32,21.13,12.15,76.88,0.0,100.99,2.62,60.94,4.15,60.69,0.86
2022,288,1.71,21.48,16.63,19.05,20.8,11.78,75.06,0.0,100.99,2.8,22.75,4.34,22.75,0.86
2022,289,1.81,21.57,17.26,19.41,21.12,12.33,77.81,0.0,101.15,2.84,58.81,4.46,58.75,0.85
2022,290,1.75,22.48,18.12,20.3,21.9,12.94,77.31,0.0,101.15,3.55,26.75,5.41,26.75,0.84
2022,291,1.7,20.81,15.91,18.36,20.23,11.17,74.62,0.0,101.24,3.45,75.88,5.3,75.88,0.84
2022,292,0.76,17.52,14.03,15.77,17.38,9.89,80.44,12.7,101.38,2.34,65.88,3.55,65.88,0.87
2022,293,0.47,17.9,16.31,17.11,18.03,11.54,90.56,27.16,101.4,3.41,230.81,4.99,230.88,0.91
2022,294,0.92,21.56,19.48,20.52,21.64,14.04,88.5,2.67,101.45,2.3,100.12,3.46,99.94,0.88
2022,295,1.55,24.26,20.49,22.38,23.44,14.95,80.75,0.0,101.35,1.84,158.75,2.77,159.0,0.87
