-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.7685   Longitude 105.6553 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.06,26.65,25.01,25.83,26.63,19.78,91.0,5.01,100.83,2.27,236.75,3.34,236.88,0.93
2022,275,1.36,26.89,24.77,25.83,27.01,19.53,88.56,10.04,100.74,1.26,240.56,1.92,240.31,0.95
2022,276,1.91,26.62,25.03,25.82,26.52,19.84,91.25,18.09,100.74,2.05,77.81,3.04,77.88,0.95
2022,277,1.54,26.24,24.69,25.47,26.05,19.41,91.38,7.78,100.91,2.27,80.0,3.35,80.06,0.95
2022,278,1.2,26.74,24.69,25.71,26.61,19.41,88.88,5.29,100.93,2.91,105.31,4.21,105.31,0.94
2022,279,1.48,25.91,24.23,25.07,25.87,18.8,90.56,20.83,101.0,1.8,100.81,2.71,100.81,0.96
2022,280,2.06,26.48,24.48,25.48,26.44,19.17,89.19,26.88,100.95,1.51,89.06,2.28,89.19,0.97
2022,281,0.88,26.31,24.64,25.48,26.15,19.29,90.62,12.21,100.96,1.22,146.12,1.85,143.69,0.97
2022,282,1.65,26.19,24.55,25.37,26.09,19.17,90.81,2.02,101.04,1.47,101.81,2.16,102.44,0.95
2022,283,1.84,26.08,24.17,25.12,26.09,18.74,89.56,2.87,101.1,1.64,88.31,2.48,88.25,0.95
2022,284,1.7,26.8,23.84,25.32,27.18,18.37,84.62,8.17,101.03,0.58,203.75,0.95,203.25,0.95
2022,285,1.68,26.17,24.48,25.33,26.01,19.1,90.38,5.46,100.97,1.45,198.81,2.13,198.38,0.95
2022,286,1.7,25.48,23.8,24.65,25.49,18.43,90.56,10.95,100.85,1.99,259.75,2.9,259.75,0.96
2022,287,1.7,26.4,24.4,25.4,26.33,19.1,89.06,0.62,100.62,2.44,304.44,3.55,304.44,0.95
2022,288,1.97,25.28,22.89,24.08,25.6,17.46,87.19,1.13,100.63,2.24,299.75,3.24,299.88,0.94
2022,289,2.12,26.26,23.39,24.83,26.95,17.94,85.19,0.01,100.85,1.59,254.81,2.36,254.69,0.93
2022,290,2.05,27.06,24.01,25.54,27.6,18.62,84.38,0.52,100.87,1.25,218.81,1.89,218.81,0.92
2022,291,1.82,26.39,24.18,25.28,26.51,18.8,87.88,2.97,100.85,1.78,324.88,2.58,324.88,0.92
2022,292,1.81,26.52,24.32,25.42,26.73,18.98,88.12,9.01,100.83,0.91,224.69,1.38,226.56,0.93
2022,293,1.2,26.22,24.73,25.47,26.19,19.41,91.62,6.39,100.93,1.81,166.44,2.66,167.62,0.93
2022,294,1.41,26.73,25.12,25.92,26.69,19.84,91.19,7.7,101.05,2.17,115.06,3.22,115.19,0.93
2022,295,1.86,27.08,24.82,25.95,27.16,19.47,88.0,3.33,101.1,1.6,104.62,2.37,104.19,0.92
2022,296,1.89,27.28,24.58,25.94,27.38,19.23,85.75,5.04,101.05,0.9,80.31,1.35,79.81,0.92
2022,297,1.74,26.7,24.87,25.79,26.72,19.59,89.94,38.33,100.94,1.27,194.38,1.86,194.12,0.97
2022,298,1.69,26.56,24.39,25.48,26.7,19.04,88.25,15.44,100.94,1.63,154.19,2.37,154.06,0.95
2022,299,1.58,26.81,24.84,25.83,26.87,19.59,89.38,18.93,100.87,1.56,71.5,2.31,71.69,0.96
2022,300,1.46,26.23,24.95,25.59,26.19,19.71,92.75,10.15,100.83,1.56,78.19,2.37,78.12,0.96
2022,301,1.66,26.27,24.55,25.41,26.33,19.23,90.5,4.38,100.75,1.3,94.25,2.05,94.31,0.95
2022,302,1.8,26.66,24.2,25.44,26.82,18.86,86.88,0.02,100.68,1.76,115.81,2.62,101.12,0.95
2022,303,1.91,26.68,24.12,25.4,26.42,18.74,86.19,0.1,100.7,1.59,209.5,2.33,223.44,0.94
2022,304,2.09,26.69,23.73,25.21,26.76,18.31,84.62,0.01,100.78,2.14,128.31,3.2,128.31,0.93
2022,305,1.75,26.69,23.73,25.22,27.05,18.31,84.56,0.02,100.88,1.38,71.06,2.05,69.56,0.92
2022,306,1.81,26.45,23.68,25.07,27.08,18.25,85.62,2.58,100.89,1.17,84.06,1.72,84.19,0.91
2022,307,1.08,26.33,24.66,25.49,26.37,19.35,90.81,17.44,100.95,2.24,119.94,3.23,120.06,0.95
2022,308,0.55,25.9,24.68,25.3,25.8,19.35,93.0,14.32,101.13,2.14,117.06,3.16,117.25,0.95
2022,309,1.7,25.73,24.28,25.01,25.7,18.86,91.81,15.48,101.25,2.74,100.5,3.97,100.5,0.95
2022,310,1.89,26.65,24.05,25.35,26.95,18.62,86.38,2.91,101.17,1.35,66.69,2.04,66.75,0.94
2022,311,1.84,27.04,24.02,25.53,27.3,18.62,84.31,6.47,101.08,0.9,71.69,1.41,72.88,0.94
2022,312,1.67,26.96,24.29,25.62,27.08,18.92,85.94,0.07,101.02,1.32,67.56,2.0,67.56,0.92
2022,313,1.73,25.9,24.14,25.02,25.76,18.74,90.19,8.67,101.04,1.07,100.06,1.66,100.06,0.93
2022,314,1.85,26.51,24.37,25.44,26.55,19.04,88.5,12.42,100.98,1.59,128.0,2.41,127.94,0.95
2022,315,1.48,26.37,24.67,25.52,26.24,19.35,90.62,8.03,100.94,1.72,155.19,2.59,155.62,0.94
2022,316,1.47,26.33,24.29,25.31,26.48,18.92,89.06,6.24,100.87,1.3,82.62,2.01,83.19,0.94
2022,317,1.73,26.16,24.98,25.58,26.08,19.71,93.31,7.53,100.87,2.3,87.38,3.42,87.44,0.94
2022,318,1.35,26.4,24.94,25.68,26.18,19.71,91.88,4.93,100.89,2.45,90.5,3.64,90.5,0.94
2022,319,1.98,26.14,24.58,25.36,26.07,19.29,91.44,9.48,100.9,1.77,100.06,2.66,100.0,0.95
2022,320,1.98,26.39,24.72,25.55,26.15,19.41,90.88,1.51,100.82,1.99,105.88,2.94,105.44,0.93
2022,321,2.01,26.19,24.76,25.48,26.05,19.47,92.12,4.28,100.79,1.81,116.0,2.81,116.19,0.93
2022,322,1.4,26.33,24.8,25.56,26.27,19.53,91.56,13.14,100.83,1.73,103.31,2.62,103.62,0.95
2022,323,1.5,25.72,24.33,25.03,25.48,19.04,92.19,14.26,100.72,1.49,132.19,2.3,132.19,0.95
2022,324,0.91,25.46,24.06,24.76,25.44,18.74,92.06,20.1,100.54,2.4,167.62,3.5,167.75,0.96
2022,325,1.45,25.3,24.05,24.68,25.24,18.74,92.81,22.17,100.5,1.98,248.88,2.95,248.94,0.97
2022,326,1.36,26.12,24.58,25.35,26.1,19.35,91.5,10.47,100.58,1.11,234.62,1.7,234.19,0.97
