-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.6635   Longitude 105.3477 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 143.18 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.27,25.63,24.65,25.14,25.48,19.65,94.38,7.95,99.23,1.78,114.25,2.8,114.06,0.94
2022,275,1.28,25.66,24.92,25.29,25.44,19.96,95.56,10.52,99.36,1.49,120.69,2.45,120.62,0.94
2022,276,1.66,25.9,24.22,25.06,25.8,19.1,90.75,2.15,99.52,1.55,96.0,2.46,95.94,0.93
2022,277,1.99,25.55,24.02,24.79,25.42,18.86,91.44,1.73,99.66,1.24,118.56,2.0,118.44,0.93
2022,278,1.89,25.88,24.19,25.04,25.88,19.04,90.81,4.76,99.65,1.43,70.69,2.3,70.5,0.93
2022,279,1.49,25.97,24.08,25.02,25.73,18.92,89.75,9.18,99.65,1.57,79.62,2.45,79.44,0.93
2022,280,1.62,25.2,24.04,24.62,24.98,18.86,93.38,20.71,99.72,1.99,59.69,3.12,59.75,0.94
2022,281,1.06,23.45,22.17,22.81,23.56,16.85,92.56,22.27,99.82,1.95,44.25,2.96,44.56,0.95
2022,282,0.7,23.54,22.37,22.96,23.35,17.09,93.12,14.1,100.05,3.05,40.44,4.59,40.56,0.95
2022,283,1.16,19.08,15.26,17.17,18.62,10.8,79.06,0.07,100.45,3.06,127.69,4.67,112.88,0.94
2022,284,2.19,19.93,14.69,17.3,19.12,10.44,73.12,0.0,100.12,1.75,100.31,2.77,99.88,0.93
2022,285,2.07,21.12,16.01,18.57,20.34,11.41,73.5,0.0,99.92,1.43,156.38,2.35,156.44,0.92
