-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  16.4611   Longitude 107.5702 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 164.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,4.1,11.73,0.34,1.74
2022,10,2,4.57,12.66,0.37,1.89
2022,10,3,5.04,13.48,0.4,2.04
2022,10,4,4.12,11.84,0.36,1.82
2022,10,5,4.5,12.41,0.36,1.84
2022,10,6,2.35,7.29,0.21,1.06
2022,10,7,4.7,12.8,0.37,1.86
2022,10,8,3.91,11.18,0.32,1.63
2022,10,9,1.96,6.34,0.19,0.97
2022,10,10,1.82,5.79,0.17,0.88
2022,10,11,2.1,6.23,0.18,0.9
2022,10,12,1.57,4.98,0.15,0.73
2022,10,13,2.67,7.6,0.21,1.08
2022,10,14,0.65,2.15,0.05,0.3
2022,10,15,1.67,5.51,0.16,0.82
2022,10,16,2.65,7.3,0.2,1.03
2022,10,17,3.68,9.76,0.27,1.35
2022,10,18,3.35,8.49,0.23,1.15
2022,10,19,1.07,3.68,0.11,0.53
2022,10,20,1.55,5.12,0.15,0.74
2022,10,21,2.4,7.15,0.2,1.02
2022,10,22,1.43,4.78,0.13,0.67
2022,10,23,3.58,9.74,0.27,1.4
2022,10,24,3.21,8.95,0.24,1.26
2022,10,25,0.89,3.17,0.09,0.44
2022,10,26,3.95,10.9,0.3,1.57
2022,10,27,3.28,9.43,0.27,1.37
2022,10,28,4.2,11.1,0.3,1.55
2022,10,29,2.5,7.19,0.2,1.02
2022,10,30,2.48,7.11,0.2,1.04
2022,10,31,3.85,9.96,0.28,1.46
2022,11,1,3.24,8.6,0.24,1.24
2022,11,2,5.34,12.85,0.34,1.77
2022,11,3,5.69,13.33,0.34,1.76
2022,11,4,4.86,11.97,0.31,1.62
2022,11,5,3.43,9.18,0.25,1.27
2022,11,6,3.41,9.3,0.25,1.3
2022,11,7,4.31,11.04,0.3,1.52
2022,11,8,3.77,10.15,0.27,1.42
2022,11,9,2.97,8.55,0.23,1.2
2022,11,10,2.94,8.59,0.23,1.22
2022,11,11,4.41,11.34,0.3,1.52
2022,11,12,2.85,8.23,0.23,1.2
2022,11,13,3.38,9.41,0.27,1.45
2022,11,14,3.95,10.6,0.3,1.59
2022,11,15,4.09,10.74,0.3,1.58
2022,11,16,4.28,11.26,0.32,1.67
2022,11,17,3.36,9.29,0.27,1.44
2022,11,18,4.85,12.15,0.34,1.84
2022,11,19,3.52,9.86,0.29,1.59
2022,11,20,2.94,8.36,0.24,1.3
2022,11,21,1.47,4.74,0.14,0.78
2022,11,22,3.27,9.35,0.27,1.46
2022,11,23,2.97,8.62,0.25,1.33
2022,11,24,4.02,10.74,0.3,1.66
2022,11,25,4.47,11.42,0.32,1.7
2022,11,26,3.26,9.17,0.26,1.38
2022,11,27,4.64,11.84,0.32,1.69
2022,11,28,4.97,12.42,0.34,1.76
2022,11,29,5.11,12.51,0.33,1.72
2022,11,30,4.82,12.03,0.32,1.7
2022,12,1,3.69,9.66,0.27,1.42
2022,12,2,1.07,3.52,0.1,0.53
2022,12,3,1.45,4.62,0.14,0.77
2022,12,4,2.33,6.88,0.2,1.13
2022,12,5,1.14,3.62,0.11,0.6
2022,12,6,1.05,3.48,0.11,0.59
2022,12,7,1.64,5.0,0.15,0.81
2022,12,8,1.47,4.62,0.14,0.77
2022,12,9,1.48,4.62,0.13,0.75
2022,12,10,3.3,8.77,0.26,1.41
2022,12,11,2.32,6.64,0.2,1.16
2022,12,12,1.89,5.49,0.17,0.95
2022,12,13,2.64,6.57,0.19,1.04
2022,12,14,1.79,5.23,0.16,0.9
2022,12,15,1.41,4.37,0.13,0.73
2022,12,16,1.64,4.91,0.16,0.88
2022,12,17,0.89,2.91,0.09,0.5
2022,12,18,0.86,2.77,0.09,0.48
2022,12,19,1.22,3.81,0.12,0.66
2022,12,20,1.96,5.95,0.19,1.02
2022,12,21,1.06,3.35,0.1,0.55
2022,12,22,2.43,6.66,0.19,1.0
2022,12,23,2.42,6.67,0.18,0.94
2022,12,24,3.17,8.08,0.22,1.16
2022,12,25,4.16,10.01,0.26,1.35
2022,12,26,3.71,9.3,0.26,1.38
2022,12,27,3.32,8.55,0.23,1.23
2022,12,28,2.07,6.12,0.18,0.98
2022,12,29,0.84,2.75,0.08,0.45
2022,12,30,0.86,2.82,0.09,0.45
2022,12,31,1.75,5.04,0.15,0.84
