-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  16.4611   Longitude 107.5702 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 164.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.74,27.05,24.45,25.76,27.12,19.53,86.38,13.8,98.95,2.09,124.62,2.77,125.81,0.86
2022,275,1.89,26.15,24.55,25.35,26.26,19.59,91.0,27.77,99.02,2.91,108.31,3.88,107.81,0.91
2022,276,2.04,25.98,24.01,25.0,26.32,18.92,89.0,1.57,99.14,2.45,102.38,3.27,102.44,0.85
2022,277,1.82,25.94,23.97,24.95,26.22,18.86,88.94,4.9,99.3,1.75,69.44,2.38,70.69,0.85
2022,278,1.84,25.96,23.45,24.71,26.22,18.31,86.12,5.46,99.31,1.25,94.88,1.66,98.38,0.85
2022,279,1.06,26.16,24.2,25.19,26.29,19.17,89.06,19.36,99.29,1.5,78.06,1.98,79.0,0.89
2022,280,1.86,25.95,23.75,24.85,26.38,18.62,87.75,6.34,99.32,1.56,45.81,2.07,45.5,0.86
2022,281,1.63,26.1,23.47,24.78,26.39,18.31,85.69,19.03,99.33,1.69,90.88,2.3,90.75,0.88
2022,282,0.97,26.12,24.69,25.4,26.06,19.65,91.75,79.44,99.44,2.8,57.75,3.77,57.56,0.96
2022,283,0.88,25.0,23.15,24.08,25.12,17.88,89.44,99.09,99.63,4.95,31.38,6.62,31.38,0.98
2022,284,0.9,24.58,21.58,23.08,24.81,16.24,83.5,15.66,99.57,3.77,22.81,5.03,22.81,0.94
2022,285,0.73,24.2,20.96,22.58,24.52,15.69,82.31,1.33,99.45,2.98,17.75,4.05,16.5,0.91
2022,286,1.08,24.12,20.36,22.23,24.27,15.14,79.69,1.04,99.31,3.3,111.25,4.43,109.81,0.9
2022,287,0.3,23.69,21.96,22.83,23.95,16.85,90.06,248.54,98.93,4.98,109.94,6.67,108.94,0.98
2022,288,0.82,25.86,24.8,25.33,25.83,19.96,93.81,192.73,98.74,5.65,61.38,7.59,61.5,0.98
2022,289,1.03,25.13,21.76,23.45,24.98,16.54,81.81,35.66,99.26,4.12,152.44,5.56,151.88,0.97
2022,290,1.35,24.17,20.13,22.15,23.83,14.95,78.31,0.05,99.28,3.88,345.5,5.3,343.38,0.95
2022,291,1.15,24.2,20.33,22.26,24.03,15.08,79.31,4.02,99.25,4.56,249.56,6.17,263.44,0.94
2022,292,0.53,22.14,20.23,21.18,22.83,15.01,88.88,34.81,99.26,5.56,345.5,7.39,345.0,0.96
2022,293,0.74,22.65,20.93,21.79,23.72,15.69,90.19,2.35,99.37,4.21,310.25,5.44,310.31,0.94
2022,294,1.02,24.05,22.44,23.25,24.87,17.27,91.06,10.54,99.48,2.59,176.69,3.37,175.81,0.94
2022,295,0.67,24.67,22.89,23.78,24.69,17.64,89.81,44.02,99.51,3.65,27.94,4.93,27.31,0.97
2022,296,1.4,24.92,21.87,23.4,24.9,16.6,83.19,0.37,99.49,2.01,70.06,2.73,69.38,0.95
2022,297,1.26,24.48,21.42,22.95,24.35,16.11,83.25,19.04,99.36,1.89,118.5,2.46,146.31,0.95
2022,298,0.44,25.07,24.12,24.6,24.92,19.04,94.44,85.02,99.33,3.65,93.75,4.92,91.62,0.98
2022,299,1.57,25.18,23.52,24.35,25.12,18.37,90.5,11.98,99.36,4.08,75.44,5.45,75.19,0.96
2022,300,1.37,24.65,22.35,23.5,24.79,17.09,87.12,4.85,99.38,3.12,78.0,4.16,77.62,0.95
2022,301,1.55,23.87,21.56,22.72,24.08,16.3,86.94,0.59,99.4,3.24,65.56,4.39,65.44,0.95
2022,302,1.02,23.84,21.63,22.73,23.87,16.36,87.5,1.81,99.33,3.74,38.62,5.09,38.75,0.94
2022,303,1.04,23.91,21.43,22.67,23.94,16.17,86.06,0.32,99.25,3.88,131.44,5.18,131.25,0.94
2022,304,1.46,23.36,20.37,21.87,23.37,15.14,83.38,0.07,99.3,5.03,336.12,6.74,350.62,0.93
2022,305,1.24,22.67,18.93,20.8,22.44,13.79,79.44,0.24,99.32,4.27,334.12,5.77,348.44,0.92
2022,306,1.77,22.78,17.65,20.22,22.37,12.76,73.12,0.0,99.26,2.66,341.56,3.66,340.0,0.91
2022,307,1.76,22.11,17.7,19.9,21.94,12.82,76.44,0.0,99.37,2.2,323.06,2.95,321.75,0.91
2022,308,1.62,23.01,20.01,21.51,23.01,14.83,83.38,0.28,99.57,2.34,141.75,3.04,140.88,0.91
2022,309,1.27,23.51,21.31,22.41,23.8,15.99,87.56,0.14,99.69,2.66,32.19,3.52,33.06,0.9
