-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  12.3345   Longitude 109.0336 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 595.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,2.59,8.04,0.21,1.07
2022,10,2,5.72,15.33,0.44,2.23
2022,10,3,5.01,14.18,0.42,2.18
2022,10,4,2.32,7.66,0.25,1.29
2022,10,5,4.62,13.33,0.41,2.05
2022,10,6,5.16,14.34,0.41,2.11
2022,10,7,4.83,13.55,0.4,2.0
2022,10,8,1.84,6.13,0.18,0.89
2022,10,9,4.65,13.38,0.38,1.92
2022,10,10,3.14,9.51,0.3,1.48
2022,10,11,0.75,2.75,0.08,0.38
2022,10,12,3.94,11.28,0.32,1.6
2022,10,13,0.62,2.27,0.05,0.29
2022,10,14,2.11,6.88,0.2,1.02
2022,10,15,5.66,15.09,0.41,2.14
2022,10,16,5.05,13.36,0.36,1.82
2022,10,17,5.02,13.05,0.37,1.85
2022,10,18,6.17,15.33,0.41,2.13
2022,10,19,5.38,13.18,0.36,1.86
2022,10,20,3.97,10.79,0.3,1.55
2022,10,21,5.16,13.53,0.38,1.93
2022,10,22,4.36,12.45,0.34,1.75
2022,10,23,3.02,9.31,0.26,1.32
2022,10,24,4.5,12.25,0.34,1.71
2022,10,25,4.81,13.09,0.36,1.84
2022,10,26,3.63,10.77,0.3,1.5
2022,10,27,0.8,2.96,0.08,0.41
2022,10,28,4.13,11.43,0.31,1.58
2022,10,29,2.67,8.31,0.23,1.2
2022,10,30,3.29,9.55,0.27,1.33
2022,10,31,4.84,12.65,0.34,1.77
2022,11,1,5.13,12.8,0.35,1.8
2022,11,2,4.97,12.72,0.35,1.82
2022,11,3,4.33,11.33,0.31,1.59
2022,11,4,1.89,6.25,0.18,0.91
2022,11,5,4.74,12.85,0.36,1.85
2022,11,6,4.82,12.97,0.36,1.84
2022,11,7,4.74,12.85,0.36,1.83
2022,11,8,5.04,13.36,0.37,1.88
2022,11,9,4.99,13.27,0.37,1.88
2022,11,10,4.08,11.37,0.32,1.63
2022,11,11,4.8,12.82,0.35,1.81
2022,11,12,1.88,6.32,0.18,0.93
2022,11,13,2.54,7.95,0.23,1.18
2022,11,14,5.05,13.36,0.37,1.91
2022,11,15,4.6,12.49,0.36,1.86
2022,11,16,4.96,13.29,0.38,2.02
2022,11,17,4.86,12.92,0.37,1.94
2022,11,18,4.58,12.54,0.36,1.91
2022,11,19,2.45,7.76,0.24,1.28
2022,11,20,0.79,2.86,0.09,0.45
2022,11,21,1.42,4.97,0.15,0.8
2022,11,22,1.22,4.34,0.12,0.68
2022,11,23,4.06,11.46,0.34,1.77
2022,11,24,5.12,13.34,0.38,2.02
2022,11,25,4.47,12.15,0.35,1.9
2022,11,26,2.82,8.74,0.26,1.36
2022,11,27,3.97,11.12,0.32,1.71
2022,11,28,5.59,14.41,0.39,2.05
2022,11,29,5.62,14.27,0.39,2.02
2022,11,30,4.62,12.33,0.35,1.84
2022,12,1,4.64,12.46,0.34,1.83
2022,12,2,3.5,10.05,0.3,1.57
2022,12,3,1.45,4.8,0.12,0.67
2022,12,4,1.79,5.85,0.19,0.99
2022,12,5,3.06,8.81,0.26,1.4
2022,12,6,3.37,9.47,0.28,1.54
2022,12,7,1.78,5.94,0.18,0.98
2022,12,8,4.27,11.36,0.34,1.82
2022,12,9,3.62,10.27,0.31,1.76
2022,12,10,3.69,10.42,0.33,1.86
2022,12,11,4.62,11.88,0.35,1.9
2022,12,12,3.07,8.71,0.26,1.41
2022,12,13,3.92,10.19,0.3,1.6
2022,12,14,2.03,6.34,0.19,1.0
2022,12,15,2.61,7.7,0.22,1.17
2022,12,16,2.58,7.84,0.23,1.28
2022,12,17,3.27,9.66,0.3,1.72
2022,12,18,2.65,7.96,0.26,1.43
2022,12,19,1.8,5.72,0.19,1.04
2022,12,20,2.84,8.3,0.26,1.43
2022,12,21,2.79,8.17,0.25,1.41
2022,12,22,3.26,9.11,0.27,1.52
2022,12,23,3.83,9.91,0.29,1.55
2022,12,24,3.66,9.47,0.27,1.48
2022,12,25,3.95,10.48,0.3,1.69
2022,12,26,4.29,11.4,0.34,1.87
2022,12,27,3.39,9.54,0.29,1.57
2022,12,28,4.65,12.06,0.36,2.02
2022,12,29,4.43,11.71,0.34,1.88
2022,12,30,2.85,8.59,0.27,1.48
2022,12,31,2.24,6.95,0.21,1.16
