-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  12.3345   Longitude 109.0336 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 595.54 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.07,24.09,21.86,22.98,24.07,17.46,88.19,9.37,94.3,0.57,156.56,1.14,153.0,0.91
2022,275,2.23,23.7,21.93,22.82,23.79,17.58,90.44,4.76,94.27,0.77,116.44,1.5,113.94,0.9
2022,276,2.18,23.26,21.94,22.6,23.37,17.58,92.62,5.9,94.31,1.03,67.38,2.05,71.06,0.9
2022,277,1.29,22.43,20.92,21.68,22.48,16.48,91.5,22.2,94.5,0.98,71.81,1.95,75.5,0.94
2022,278,2.05,22.66,21.08,21.87,22.71,16.66,91.25,7.53,94.5,1.2,62.94,2.37,66.56,0.91
2022,279,2.11,22.34,19.93,21.13,22.38,15.44,86.88,7.47,94.52,0.68,123.94,1.25,106.75,0.91
2022,280,2.0,22.46,20.25,21.35,22.41,15.87,87.88,6.65,94.48,0.98,123.19,1.83,84.25,0.91
2022,281,0.89,22.74,21.18,21.96,22.73,16.72,91.25,23.16,94.52,0.99,77.19,1.95,76.69,0.94
2022,282,1.92,22.43,21.23,21.83,22.39,16.78,93.31,9.68,94.57,0.78,124.0,1.45,129.62,0.92
2022,283,1.48,22.05,20.9,21.48,21.95,16.48,93.38,39.9,94.61,1.07,102.94,2.02,80.06,0.96
2022,284,0.38,23.15,22.45,22.8,23.01,18.13,95.88,37.56,94.5,1.59,37.94,3.0,40.94,0.97
2022,285,1.6,23.16,21.4,22.28,23.23,16.97,90.25,8.77,94.43,2.28,39.94,3.96,28.06,0.95
2022,286,0.29,21.18,19.99,20.58,21.09,15.56,93.0,14.21,94.23,1.78,339.25,3.04,343.0,0.95
2022,287,1.02,20.53,19.28,19.9,20.34,14.95,92.56,25.48,93.86,2.05,282.31,3.72,281.56,0.97
2022,288,2.14,22.66,20.05,21.36,22.94,15.75,86.38,1.04,93.98,0.84,140.0,1.64,140.38,0.94
