-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.825   Longitude 105.1259 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.06,27.0,25.04,26.02,27.18,19.84,89.06,7.66,100.81,3.01,242.88,4.13,242.69,0.95
2022,275,1.36,27.01,24.74,25.88,27.31,19.47,87.5,10.45,100.73,1.64,314.88,2.23,300.06,0.96
2022,276,1.91,26.84,25.0,25.92,27.08,19.78,89.75,18.44,100.72,2.27,74.19,3.07,74.5,0.97
2022,277,1.54,26.45,24.88,25.66,26.74,19.59,91.25,8.21,100.88,2.81,79.25,3.81,79.19,0.96
2022,278,1.2,26.93,25.02,25.98,27.19,19.78,89.69,6.63,100.9,3.18,105.5,4.27,105.5,0.96
2022,279,1.48,26.4,24.49,25.44,26.75,19.17,89.5,18.58,100.97,2.42,101.25,3.27,101.25,0.97
2022,280,2.06,26.9,24.58,25.75,27.25,19.29,87.5,18.12,100.93,1.9,98.38,2.64,98.06,0.98
2022,281,0.88,26.91,24.42,25.67,27.09,19.04,86.38,9.93,100.94,1.15,291.12,1.58,291.56,0.97
2022,282,1.65,26.52,24.62,25.57,26.73,19.29,89.38,3.5,101.01,2.0,131.44,2.75,130.81,0.96
2022,283,1.84,26.47,24.43,25.44,26.76,19.04,88.81,4.51,101.07,2.11,93.38,2.88,93.5,0.96
2022,284,1.7,26.95,23.94,25.44,27.4,18.49,84.12,9.64,101.01,0.95,191.75,1.34,192.62,0.97
2022,285,1.68,26.43,24.63,25.53,26.58,19.29,89.81,11.09,100.96,2.16,62.94,2.95,63.19,0.97
2022,286,1.7,26.6,24.02,25.31,26.84,18.68,85.94,9.93,100.82,2.08,248.19,2.87,248.62,0.97
2022,287,1.7,26.72,24.38,25.55,26.87,19.1,87.25,1.96,100.63,2.98,318.0,4.03,318.25,0.96
2022,288,1.97,25.67,22.89,24.28,26.3,17.4,85.06,0.78,100.63,2.77,311.44,3.71,311.19,0.95
2022,289,2.12,26.2,23.09,24.65,27.03,17.58,83.62,0.05,100.85,2.05,192.94,2.79,192.75,0.94
2022,290,2.05,27.33,24.17,25.75,27.69,18.8,83.38,1.08,100.85,1.86,233.38,2.6,233.31,0.93
2022,291,1.82,26.4,23.95,25.17,26.73,18.55,86.62,4.5,100.85,2.34,193.88,3.16,193.56,0.94
2022,292,1.81,26.87,23.98,25.43,27.14,18.62,84.56,3.08,100.82,1.2,289.0,1.66,289.12,0.93
2022,293,1.2,26.48,24.52,25.5,26.62,19.17,89.06,4.66,100.92,1.91,236.5,2.66,236.62,0.93
2022,294,1.41,26.91,25.23,26.08,27.14,20.02,90.75,7.11,101.02,2.49,123.0,3.39,123.06,0.94
2022,295,1.86,27.46,24.96,26.21,27.71,19.65,86.75,4.37,101.08,1.49,127.31,2.03,127.75,0.93
2022,296,1.89,27.77,24.25,26.01,27.61,18.86,81.62,3.28,101.04,0.74,121.56,0.96,119.31,0.93
2022,297,1.74,27.55,25.04,26.3,27.61,19.78,86.5,29.47,100.89,1.45,233.12,1.96,232.44,0.97
2022,298,1.69,27.15,24.6,25.88,27.37,19.29,86.19,21.33,100.9,2.11,192.31,2.8,191.5,0.96
2022,299,1.58,27.29,24.87,26.08,27.52,19.59,87.06,19.15,100.85,1.8,67.0,2.44,67.06,0.97
