-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  14.3497   Longitude 108.0005 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 857.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.24,9.21,0.27,1.38
2022,10,2,5.07,13.56,0.4,2.03
2022,10,3,3.66,10.48,0.32,1.63
2022,10,4,2.35,7.2,0.21,1.05
2022,10,5,4.74,12.98,0.38,1.91
2022,10,6,5.35,14.12,0.41,2.09
2022,10,7,5.1,13.55,0.39,1.99
2022,10,8,4.72,12.97,0.38,1.91
2022,10,9,4.78,13.1,0.38,1.91
2022,10,10,0.62,2.05,0.05,0.27
2022,10,11,1.07,3.46,0.1,0.52
2022,10,12,3.76,9.78,0.27,1.38
2022,10,13,1.72,5.23,0.15,0.73
2022,10,14,0.67,2.2,0.05,0.3
2022,10,15,3.75,10.77,0.31,1.57
2022,10,16,2.6,7.77,0.23,1.13
2022,10,17,5.62,13.2,0.36,1.8
2022,10,18,4.52,11.39,0.3,1.56
2022,10,19,4.32,11.12,0.3,1.53
2022,10,20,4.06,10.88,0.3,1.53
2022,10,21,5.09,13.08,0.35,1.81
2022,10,22,4.42,12.09,0.34,1.71
2022,10,23,4.15,11.05,0.31,1.59
2022,10,24,5.09,12.91,0.35,1.83
2022,10,25,3.23,9.22,0.27,1.39
2022,10,26,1.78,5.67,0.16,0.81
2022,10,27,2.74,8.08,0.23,1.17
2022,10,28,3.68,9.89,0.27,1.38
2022,10,29,2.43,7.05,0.2,1.0
2022,10,30,2.95,8.16,0.23,1.19
2022,10,31,5.17,12.53,0.35,1.81
2022,11,1,5.25,12.32,0.34,1.72
2022,11,2,5.41,12.98,0.36,1.84
2022,11,3,5.0,12.0,0.31,1.61
2022,11,4,3.86,10.04,0.28,1.43
2022,11,5,3.48,9.35,0.26,1.33
2022,11,6,3.7,9.74,0.27,1.39
2022,11,7,4.15,10.71,0.3,1.54
2022,11,8,5.19,12.98,0.34,1.76
2022,11,9,4.47,11.41,0.3,1.55
2022,11,10,3.85,10.03,0.27,1.38
2022,11,11,4.08,10.39,0.28,1.45
2022,11,12,2.49,7.23,0.21,1.09
2022,11,13,2.6,7.55,0.22,1.13
2022,11,14,4.35,11.41,0.34,1.76
2022,11,15,3.74,9.91,0.28,1.48
2022,11,16,4.18,10.78,0.31,1.65
2022,11,17,4.15,10.73,0.3,1.59
2022,11,18,3.83,10.05,0.3,1.58
2022,11,19,1.37,4.28,0.12,0.66
2022,11,20,0.89,2.91,0.09,0.46
2022,11,21,2.73,8.01,0.24,1.31
2022,11,22,2.12,6.48,0.2,1.06
2022,11,23,3.13,8.92,0.27,1.42
2022,11,24,3.95,10.53,0.3,1.66
2022,11,25,3.78,10.05,0.29,1.57
2022,11,26,2.37,7.0,0.2,1.09
2022,11,27,3.92,10.3,0.29,1.54
2022,11,28,5.52,13.79,0.38,1.97
2022,11,29,5.76,13.95,0.38,1.96
2022,11,30,4.98,12.39,0.34,1.82
2022,12,1,4.17,10.79,0.3,1.62
2022,12,2,2.84,8.02,0.23,1.26
2022,12,3,2.6,7.61,0.23,1.24
2022,12,4,2.23,6.62,0.21,1.15
2022,12,5,2.57,7.25,0.22,1.19
2022,12,6,2.28,6.42,0.2,1.07
2022,12,7,2.69,7.4,0.23,1.23
2022,12,8,2.2,6.43,0.2,1.12
2022,12,9,2.78,7.5,0.23,1.3
2022,12,10,2.68,7.18,0.22,1.2
2022,12,11,2.07,5.8,0.18,0.98
2022,12,12,1.75,5.08,0.16,0.87
2022,12,13,3.15,7.58,0.22,1.19
2022,12,14,2.98,7.52,0.22,1.16
2022,12,15,3.76,9.2,0.25,1.36
2022,12,16,3.07,8.17,0.25,1.38
2022,12,17,2.26,6.45,0.2,1.13
2022,12,18,2.26,6.03,0.19,1.04
2022,12,19,3.15,8.06,0.25,1.37
2022,12,20,3.31,8.74,0.27,1.45
2022,12,21,2.68,7.21,0.22,1.23
2022,12,22,3.09,7.95,0.23,1.27
2022,12,23,3.87,9.54,0.27,1.45
2022,12,24,2.93,7.38,0.21,1.17
2022,12,25,3.4,8.6,0.24,1.34
2022,12,26,4.14,10.2,0.29,1.6
2022,12,27,3.7,9.63,0.28,1.58
2022,12,28,3.54,9.13,0.27,1.49
2022,12,29,2.33,6.6,0.2,1.09
2022,12,30,2.49,6.66,0.2,1.11
2022,12,31,2.92,7.65,0.23,1.27
