-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  14.3497   Longitude 108.0005 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 857.64 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.38,22.55,20.8,21.68,22.52,16.91,90.56,2.18,91.5,0.1,167.31,0.79,170.44,0.92
2022,275,2.03,22.38,21.29,21.83,22.27,17.4,93.81,6.3,91.46,0.15,102.06,1.02,108.12,0.92
2022,276,1.63,22.19,20.36,21.27,22.21,16.42,90.12,2.15,91.53,0.1,64.12,1.37,64.88,0.91
2022,277,1.05,20.96,19.89,20.43,20.96,15.93,93.88,11.26,91.7,0.09,48.19,1.28,52.81,0.93
2022,278,1.91,20.86,18.96,19.91,20.86,15.01,89.62,2.24,91.71,0.11,66.31,1.4,46.38,0.91
2022,279,2.09,21.55,19.3,20.42,21.51,15.32,88.19,5.34,91.72,0.1,66.31,1.16,61.19,0.91
2022,280,1.99,21.41,19.05,20.23,21.44,15.08,87.56,3.95,91.7,0.1,34.81,1.35,36.44,0.91
2022,281,1.91,21.87,19.82,20.84,21.91,15.87,89.31,7.15,91.72,0.09,45.25,1.33,49.5,0.91
2022,282,1.91,21.3,20.48,20.9,21.31,16.48,95.19,18.19,91.81,0.09,47.12,1.37,45.12,0.92
2022,283,0.27,21.51,21.05,21.29,21.51,17.09,97.19,70.47,91.81,0.15,47.88,1.76,54.56,0.98
2022,284,0.52,21.44,20.35,20.9,21.45,16.36,93.81,62.39,91.72,0.19,31.69,2.12,37.69,0.98
2022,285,1.38,20.8,18.9,19.85,20.83,14.95,89.75,6.53,91.67,0.16,26.12,1.98,29.12,0.95
2022,286,0.73,19.35,17.93,18.64,19.37,14.1,91.94,5.73,91.49,0.17,13.12,2.06,13.0,0.94
2022,287,0.3,19.29,18.65,18.97,19.29,14.89,96.12,85.04,91.03,0.2,239.88,2.07,245.25,0.98
2022,288,1.57,21.11,20.05,20.58,21.08,16.17,94.06,16.34,91.15,0.1,124.75,1.2,129.81,0.97
2022,289,1.13,20.8,20.23,20.51,20.79,16.36,96.62,28.89,91.5,0.13,35.75,1.59,40.12,0.98
2022,290,1.8,19.43,17.04,18.23,19.44,13.31,87.12,0.25,91.57,0.12,151.19,1.37,166.0,0.95
2022,291,1.56,19.57,16.78,18.18,19.6,13.12,85.0,0.03,91.5,0.14,135.5,1.64,107.56,0.95
2022,292,1.53,20.56,18.08,19.32,20.58,14.28,86.62,0.64,91.45,0.11,304.81,0.95,244.19,0.94
2022,293,1.53,21.51,19.09,20.3,21.52,15.2,87.25,0.05,91.68,0.09,118.5,0.89,115.81,0.94
2022,294,1.81,21.84,19.16,20.51,21.82,15.2,86.06,0.34,91.8,0.11,111.88,0.99,35.0,0.93
2022,295,1.71,21.82,20.17,21.0,21.82,16.17,91.06,5.85,91.77,0.11,111.25,1.17,78.38,0.93
2022,296,1.59,21.66,19.73,20.69,21.69,15.75,89.69,1.78,91.76,0.12,25.62,1.38,29.12,0.92
