-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.3687   Longitude 103.3119 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1108.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.59,11.55,0.34,1.73
2022,10,2,2.64,9.12,0.27,1.36
2022,10,3,3.85,12.47,0.37,1.88
2022,10,4,5.84,16.94,0.5,2.6
2022,10,5,5.04,15.2,0.44,2.27
2022,10,6,3.99,12.55,0.36,1.85
2022,10,7,4.64,14.02,0.4,2.05
2022,10,8,4.06,12.7,0.37,1.87
2022,10,9,3.33,10.78,0.31,1.59
2022,10,10,4.11,12.74,0.37,1.89
2022,10,11,3.12,10.81,0.32,1.66
2022,10,12,3.18,10.75,0.32,1.65
2022,10,13,2.55,9.1,0.27,1.38
2022,10,14,4.65,13.59,0.39,2.03
2022,10,15,6.1,16.18,0.45,2.32
2022,10,16,4.76,13.43,0.37,1.92
2022,10,17,5.71,15.27,0.41,2.09
2022,10,18,6.04,15.12,0.4,2.05
2022,10,19,5.84,15.45,0.41,2.16
2022,10,20,3.06,10.09,0.28,1.45
2022,10,21,4.08,12.12,0.32,1.66
2022,10,22,3.99,12.38,0.34,1.75
2022,10,23,4.8,13.87,0.38,1.95
2022,10,24,4.09,11.39,0.32,1.69
2022,10,25,3.42,9.6,0.27,1.41
2022,10,26,2.14,7.73,0.23,1.19
2022,10,27,3.49,11.16,0.3,1.62
2022,10,28,2.8,9.11,0.25,1.32
2022,10,29,3.56,10.03,0.27,1.46
2022,10,30,3.32,9.55,0.27,1.43
2022,10,31,3.51,10.27,0.29,1.55
2022,11,1,5.9,14.95,0.41,2.09
2022,11,2,5.96,15.27,0.41,2.15
2022,11,3,5.71,14.58,0.38,1.98
2022,11,4,5.15,13.3,0.34,1.77
2022,11,5,4.55,11.76,0.3,1.58
2022,11,6,3.96,9.7,0.24,1.24
2022,11,7,4.44,11.12,0.27,1.41
2022,11,8,3.73,9.12,0.23,1.16
2022,11,9,3.82,9.63,0.24,1.25
2022,11,10,4.88,12.66,0.32,1.65
2022,11,11,5.4,13.8,0.35,1.78
2022,11,12,5.41,13.65,0.34,1.76
2022,11,13,4.59,12.44,0.32,1.65
2022,11,14,2.53,8.65,0.24,1.27
2022,11,15,2.27,7.73,0.21,1.14
2022,11,16,3.8,10.59,0.28,1.47
2022,11,17,2.89,9.41,0.27,1.41
2022,11,18,3.52,10.49,0.28,1.51
2022,11,19,2.56,8.57,0.24,1.32
2022,11,20,3.49,9.9,0.27,1.41
2022,11,21,3.19,9.2,0.25,1.3
2022,11,22,4.27,11.07,0.28,1.45
2022,11,23,4.58,11.68,0.3,1.52
2022,11,24,1.95,7.02,0.2,1.06
2022,11,25,1.84,6.53,0.18,0.94
2022,11,26,1.67,6.2,0.16,0.88
2022,11,27,2.91,8.87,0.22,1.14
2022,11,28,4.01,10.91,0.27,1.36
2022,11,29,4.76,12.24,0.3,1.49
2022,11,30,4.44,11.59,0.28,1.42
2022,12,1,2.42,7.41,0.19,0.99
2022,12,2,1.42,5.3,0.14,0.74
2022,12,3,3.18,9.38,0.24,1.26
2022,12,4,2.79,8.39,0.23,1.22
2022,12,5,2.22,7.03,0.2,1.02
2022,12,6,1.47,5.44,0.16,0.83
2022,12,7,1.22,4.53,0.13,0.71
2022,12,8,2.16,6.77,0.19,1.02
2022,12,9,2.69,8.16,0.23,1.19
2022,12,10,3.08,8.73,0.23,1.21
2022,12,11,1.74,5.98,0.17,0.9
2022,12,12,1.63,5.36,0.15,0.8
2022,12,13,1.41,4.73,0.12,0.68
2022,12,14,1.42,4.73,0.13,0.7
2022,12,15,2.9,8.09,0.21,1.13
2022,12,16,2.86,7.54,0.2,1.05
2022,12,17,1.19,4.21,0.12,0.62
2022,12,18,4.01,10.3,0.24,1.23
2022,12,19,4.75,11.55,0.25,1.26
2022,12,20,4.47,10.91,0.23,1.15
2022,12,21,1.32,4.16,0.09,0.49
2022,12,22,2.15,5.94,0.13,0.67
2022,12,23,1.71,5.45,0.12,0.62
2022,12,24,1.7,5.74,0.14,0.7
2022,12,25,1.75,5.82,0.14,0.71
2022,12,26,3.24,8.55,0.2,0.98
2022,12,27,1.67,5.65,0.13,0.67
2022,12,28,1.89,5.22,0.12,0.64
2022,12,29,0.83,2.88,0.07,0.35
2022,12,30,0.89,3.38,0.08,0.41
2022,12,31,1.56,5.55,0.13,0.69
