-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.3687   Longitude 103.3119 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1108.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.73,21.62,19.61,20.62,21.75,16.17,89.0,5.16,88.8,0.65,103.56,1.25,102.44,0.9
2022,275,1.36,22.14,20.19,21.16,22.22,16.72,89.44,8.64,88.89,0.75,136.12,1.49,135.19,0.91
2022,276,1.88,21.96,19.44,20.7,22.12,15.93,86.69,2.99,89.08,0.7,123.31,1.34,121.31,0.9
2022,277,2.6,22.23,18.94,20.58,22.34,15.44,83.12,0.22,89.22,0.71,125.0,1.35,123.38,0.89
2022,278,2.27,21.95,18.36,20.15,21.89,14.83,81.31,0.07,89.24,0.69,112.19,1.21,111.81,0.88
2022,279,1.85,22.04,19.08,20.55,21.87,15.56,84.25,1.93,89.2,0.77,114.94,1.39,114.06,0.88
2022,280,2.05,21.39,18.51,19.95,21.43,15.01,85.06,0.69,89.22,0.84,105.62,1.65,105.25,0.88
2022,281,1.87,21.23,17.97,19.6,21.45,14.47,82.94,0.36,89.25,0.77,131.25,1.45,129.75,0.87
2022,282,1.59,19.75,17.55,18.65,19.76,14.16,87.62,13.16,89.5,0.94,81.69,1.85,81.75,0.9
2022,283,1.89,16.31,12.65,14.48,16.57,10.25,80.25,1.54,89.72,0.91,77.25,1.85,76.19,0.88
2022,284,1.66,17.93,14.36,16.14,18.11,11.54,81.12,0.66,89.42,0.64,112.12,1.28,110.0,0.87
2022,285,1.65,18.1,15.15,16.62,18.3,12.08,83.94,0.12,89.3,0.64,104.69,1.33,103.38,0.87
2022,286,1.38,18.38,15.3,16.84,18.33,12.21,83.25,0.87,89.26,0.69,88.81,1.33,87.69,0.86
2022,287,2.03,18.37,14.33,16.35,17.98,11.47,79.06,0.16,89.19,0.92,68.75,1.8,68.94,0.86
2022,288,2.32,18.48,14.17,16.32,18.07,11.35,77.38,0.0,89.19,1.0,67.5,1.95,67.5,0.85
2022,289,1.92,18.69,14.77,16.73,18.4,11.78,79.44,0.0,89.38,0.98,53.94,2.02,54.44,0.85
2022,290,2.09,17.22,13.3,15.26,17.04,10.68,79.06,0.0,89.45,1.12,46.56,2.45,47.5,0.84
2022,291,2.05,16.25,10.08,13.16,15.6,8.67,69.56,0.0,89.43,1.16,49.75,2.42,50.19,0.84
2022,292,2.16,15.47,8.71,12.08,14.83,8.0,66.25,0.0,89.33,0.97,60.19,1.92,60.12,0.84
2022,293,1.45,15.51,12.56,14.04,15.37,10.31,83.19,1.41,89.36,0.75,72.0,1.55,72.25,0.84
2022,294,1.66,17.84,16.06,16.95,17.9,12.82,89.94,0.85,89.51,0.7,71.0,1.45,71.06,0.84
2022,295,1.75,19.83,16.83,18.33,19.49,13.43,83.31,0.14,89.57,0.84,67.56,1.65,67.69,0.83
2022,296,1.95,20.67,17.19,18.94,20.12,13.79,81.44,0.07,89.44,0.91,74.56,1.64,73.88,0.83
2022,297,1.69,20.04,17.15,18.59,19.64,13.73,84.62,0.01,89.29,0.89,97.0,1.66,95.94,0.82
2022,298,1.41,19.46,16.37,17.91,19.19,13.06,83.69,0.01,89.34,0.76,108.06,1.38,107.81,0.82
2022,299,1.19,20.04,17.44,18.73,19.81,14.04,86.06,0.18,89.28,0.72,125.5,1.24,124.5,0.82
2022,300,1.62,21.08,18.17,19.62,20.82,14.71,84.75,0.14,89.18,0.66,115.06,1.14,114.5,0.81
2022,301,1.32,20.0,17.76,18.88,20.0,14.28,87.88,1.2,89.25,0.92,113.31,1.83,113.19,0.81
2022,302,1.46,18.99,16.62,17.8,19.0,13.31,87.19,0.29,89.29,0.77,96.5,1.55,94.81,0.81
2022,303,1.43,18.85,16.47,17.65,18.92,13.18,86.94,0.03,89.24,0.76,87.5,1.51,87.12,0.81
2022,304,1.55,18.46,14.66,16.56,18.28,11.72,80.12,0.17,89.37,0.84,53.94,1.73,55.12,0.8
2022,305,2.09,16.45,10.33,13.39,15.04,8.79,69.69,0.0,89.35,0.79,83.06,1.43,82.88,0.8
2022,306,2.15,17.6,11.31,14.45,15.84,9.52,67.94,0.0,89.07,0.64,121.12,1.05,122.25,0.8
2022,307,1.98,17.46,12.51,14.99,16.1,10.25,74.44,0.0,89.15,0.73,96.62,1.21,96.88,0.8
2022,308,1.77,17.45,12.3,14.88,16.23,10.01,73.06,0.0,89.42,0.84,88.12,1.44,87.44,0.8
2022,309,1.58,17.19,13.35,15.27,16.49,10.74,79.25,0.0,89.52,0.77,112.44,1.35,111.56,0.8
2022,310,1.24,17.8,14.04,15.92,17.17,11.23,79.81,0.0,89.4,0.57,145.38,0.94,144.81,0.8
2022,311,1.41,17.78,14.29,16.04,17.19,11.41,81.62,0.0,89.32,0.66,141.88,1.12,141.88,0.79
2022,312,1.16,17.72,14.11,15.91,16.83,11.29,80.94,0.0,89.32,0.69,142.88,1.16,142.38,0.79
2022,313,1.25,17.62,14.28,15.95,17.06,11.41,82.06,0.0,89.35,0.62,138.38,1.05,138.31,0.79
2022,314,1.65,17.83,13.97,15.9,16.8,11.17,79.75,0.0,89.32,0.57,148.44,0.91,147.56,0.79
2022,315,1.78,17.75,13.8,15.77,16.29,11.11,79.19,0.0,89.28,0.62,212.56,1.01,203.44,0.78
2022,316,1.76,18.2,14.4,16.3,16.58,11.54,80.06,0.0,89.21,0.58,217.38,0.93,203.94,0.78
2022,317,1.65,18.54,15.25,16.89,17.53,12.21,82.12,0.0,89.24,0.65,111.56,1.09,111.31,0.78
2022,318,1.27,19.63,16.49,18.06,18.81,13.18,83.0,0.0,89.25,0.5,121.5,0.82,121.5,0.78
2022,319,1.14,20.3,17.41,18.86,19.37,14.04,84.44,0.64,89.13,0.59,142.88,0.95,143.06,0.78
2022,320,1.47,20.73,17.98,19.36,19.54,14.59,85.12,0.94,88.97,0.59,198.31,0.98,197.19,0.78
2022,321,1.41,20.53,17.9,19.22,19.59,14.53,86.06,2.57,88.96,0.66,135.81,1.1,136.81,0.78
2022,322,1.51,20.94,17.49,19.22,19.94,14.1,81.94,2.54,89.12,0.5,166.75,0.8,166.44,0.79
2022,323,1.32,20.08,17.48,18.78,19.53,14.1,86.06,3.31,89.19,0.55,96.94,1.02,96.44,0.79
2022,324,1.41,18.93,16.46,17.69,18.98,13.24,86.88,0.23,89.07,0.61,120.69,1.28,118.94,0.78
2022,325,1.3,19.5,16.89,18.19,19.13,13.61,86.06,0.01,88.94,0.68,145.44,1.2,144.25,0.77
2022,326,1.45,19.61,16.81,18.21,19.21,13.49,85.0,0.0,88.99,0.66,115.5,1.18,114.94,0.77
2022,327,1.52,19.57,16.37,17.98,19.02,13.12,83.38,0.03,89.06,0.63,117.44,1.12,115.81,0.77
2022,328,1.06,19.27,17.39,18.33,19.35,13.98,89.75,4.58,89.1,0.59,124.19,1.19,122.75,0.78
2022,329,0.94,19.67,18.08,18.88,19.44,14.59,91.0,26.54,89.18,0.52,160.62,0.98,159.38,0.87
