-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  11.5753   Longitude 108.1429 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 699.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_UVB,ALLSKY_SFC_UVA,ALLSKY_SFC_SW_DWN
2020,10,1,2.07,0.41,13.27,4.53
2020,10,2,2.2,0.43,14.28,5.0
2020,10,3,2.12,0.41,14.02,5.06
2020,10,4,1.91,0.38,12.15,4.2
2020,10,5,1.51,0.3,9.63,3.04
2020,10,6,1.09,0.21,7.15,2.26
2020,10,7,1.93,0.38,11.81,3.87
2020,10,8,1.75,0.34,11.45,3.85
2020,10,9,1.43,0.28,9.17,2.92
2020,10,10,1.74,0.34,11.26,3.74
2020,10,11,2.04,0.4,13.24,4.57
2020,10,12,2.05,0.4,13.22,4.64
2020,10,13,1.83,0.36,11.72,3.92
2020,10,14,1.41,0.28,8.82,2.73
2020,10,15,1.95,0.38,12.55,4.25
2020,10,16,1.27,0.25,8.2,2.55
2020,10,17,1.22,0.24,7.84,2.44
2020,10,18,1.1,0.22,7.74,2.5
2020,10,19,1.91,0.38,12.6,4.42
2020,10,20,2.09,0.41,14.03,5.03
2020,10,21,1.06,0.21,7.22,2.24
2020,10,22,2.27,0.44,14.79,5.65
2020,10,23,1.86,0.36,11.84,4.02
2020,10,24,1.45,0.29,9.74,3.32
2020,10,25,1.82,0.35,11.99,4.46
2020,10,26,1.89,0.37,12.59,4.63
2020,10,27,1.4,0.27,9.15,2.94
2020,10,28,1.32,0.26,8.57,2.76
2020,10,29,1.52,0.3,10.07,3.35
2020,10,30,1.93,0.38,13.32,4.85
2020,10,31,1.69,0.34,11.77,4.12
2020,11,1,1.92,0.38,13.15,4.79
2020,11,2,2.2,0.42,15.15,5.9
2020,11,3,2.03,0.4,14.08,5.46
2020,11,4,1.72,0.34,11.76,4.37
2020,11,5,1.95,0.38,13.06,4.8
2020,11,6,1.54,0.3,10.3,3.48
2020,11,7,2.0,0.39,13.58,4.97
2020,11,8,1.81,0.35,12.73,4.96
2020,11,9,1.14,0.22,7.62,2.67
2020,11,10,0.46,0.09,3.06,0.88
2020,11,11,1.3,0.25,8.3,2.72
2020,11,12,1.73,0.34,11.48,4.18
2020,11,13,2.15,0.41,15.07,5.86
2020,11,14,1.95,0.38,13.37,5.04
2020,11,15,1.84,0.36,12.82,4.86
2020,11,16,2.09,0.41,14.65,5.66
2020,11,17,2.17,0.42,15.26,6.01
2020,11,18,2.26,0.43,15.09,5.86
2020,11,19,2.25,0.43,15.2,5.89
2020,11,20,1.88,0.36,12.65,4.6
2020,11,21,2.25,0.43,15.21,5.86
2020,11,22,2.13,0.41,14.74,5.79
2020,11,23,2.07,0.4,14.78,5.84
2020,11,24,1.49,0.29,10.05,3.55
2020,11,25,2.02,0.38,13.39,5.08
2020,11,26,2.02,0.39,14.21,5.53
2020,11,27,1.65,0.31,11.2,4.12
2020,11,28,1.55,0.3,10.09,3.43
2020,11,29,0.47,0.09,3.23,0.95
2020,11,30,0.55,0.11,3.57,1.03
2020,12,1,1.47,0.28,9.71,3.35
2020,12,2,1.65,0.31,11.05,4.18
2020,12,3,2.03,0.39,14.68,6.02
2020,12,4,1.95,0.38,14.05,5.71
2020,12,5,1.91,0.36,13.05,5.23
2020,12,6,1.68,0.31,10.77,3.88
2020,12,7,0.48,0.09,3.25,0.98
2020,12,8,0.66,0.12,4.29,1.31
2020,12,9,1.56,0.29,10.05,3.62
2020,12,10,1.41,0.26,8.84,2.97
2020,12,11,1.44,0.27,9.63,3.36
2020,12,12,1.91,0.37,13.34,5.12
2020,12,13,2.0,0.38,13.77,5.34
2020,12,14,1.94,0.36,12.63,4.78
2020,12,15,1.6,0.3,10.7,3.95
2020,12,16,1.44,0.27,9.3,3.24
2020,12,17,1.7,0.31,10.72,3.89
2020,12,18,1.71,0.32,10.95,3.94
2020,12,19,1.49,0.28,10.13,3.69
2020,12,20,1.22,0.23,8.16,2.97
2020,12,21,1.26,0.23,8.15,2.81
2020,12,22,0.88,0.16,5.21,1.6
2020,12,23,1.55,0.28,9.52,3.3
2020,12,24,1.45,0.27,8.93,3.04
2020,12,25,1.06,0.2,6.21,1.97
2020,12,26,2.0,0.37,12.66,4.99
2020,12,27,2.09,0.38,12.66,4.97
2020,12,28,2.15,0.39,13.1,5.1
2020,12,29,2.35,0.43,14.2,5.58
2020,12,30,1.15,0.21,6.72,2.18
2020,12,31,1.7,0.3,9.91,3.75
