-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2020 through 12/31/2020 
Location: Latitude  11.5753   Longitude 108.1429 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 699.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2020,275,2.07,23.51,21.79,22.65,23.48,17.64,90.69,6.38,92.96,0.37,280.12,0.89,261.25,0.79
2020,276,2.2,23.32,21.96,22.64,23.16,17.82,92.44,28.13,93.05,0.56,184.31,1.23,184.75,0.87
2020,277,2.12,23.18,21.77,22.48,23.33,17.58,92.25,7.22,93.17,0.62,218.06,1.5,218.75,0.83
2020,278,1.91,22.57,21.62,22.09,22.61,17.46,94.56,5.38,93.19,0.57,265.25,1.44,263.19,0.8
2020,279,1.51,22.89,21.46,22.18,23.01,17.27,92.19,8.72,93.07,0.34,263.06,0.84,262.25,0.81
2020,280,1.09,22.86,21.82,22.33,22.92,17.7,94.12,14.63,92.95,0.64,286.44,1.49,271.06,0.84
2020,281,1.93,22.87,21.81,22.33,22.98,17.76,94.06,9.87,92.76,0.52,267.0,1.41,265.81,0.84
2020,282,1.75,22.9,21.8,22.35,22.94,17.64,93.75,18.98,92.96,0.66,172.94,1.59,175.19,0.84
2020,283,1.43,22.77,21.46,22.12,22.76,17.27,92.69,22.67,93.02,0.36,157.5,0.82,147.56,0.88
2020,284,1.74,22.2,21.15,21.68,22.15,16.97,93.94,22.08,92.96,0.4,259.88,0.92,260.88,0.88
2020,285,2.04,22.07,20.99,21.53,22.15,16.85,93.88,7.94,92.82,0.84,245.81,2.09,244.0,0.85
2020,286,2.05,22.32,21.28,21.8,22.43,17.15,94.06,32.55,92.73,0.74,238.88,1.81,237.19,0.9
2020,287,1.83,23.01,21.8,22.4,23.13,17.7,93.31,24.86,92.77,0.7,252.44,1.7,248.0,0.9
2020,288,1.41,22.45,21.69,22.08,22.53,17.58,95.56,24.22,92.92,0.77,228.62,1.91,227.62,0.91
2020,289,1.95,22.83,21.9,22.37,22.93,17.82,94.69,28.44,92.9,0.7,223.5,1.77,222.19,0.91
2020,290,1.27,21.97,21.24,21.61,21.98,17.09,95.62,17.1,92.83,1.09,248.12,2.64,247.31,0.91
2020,291,1.22,22.15,21.4,21.78,22.2,17.27,95.5,7.69,92.9,1.05,235.31,2.6,233.69,0.88
2020,292,1.1,22.18,20.98,21.58,22.27,16.78,93.25,5.69,93.13,0.8,236.19,1.98,233.81,0.87
2020,293,1.91,22.4,20.76,21.58,22.36,16.54,90.94,1.23,93.13,0.57,253.94,1.23,252.44,0.85
2020,294,2.09,23.56,21.92,22.74,23.6,17.76,91.19,2.22,93.09,0.4,68.31,0.93,69.69,0.85
2020,295,1.06,22.95,21.67,22.31,22.93,17.52,92.62,7.31,93.08,0.4,65.62,1.09,57.38,0.87
2020,296,2.27,23.06,20.37,21.72,23.31,16.17,86.0,0.59,93.08,0.59,192.88,1.34,175.0,0.84
2020,297,1.86,22.87,21.12,22.0,23.02,16.91,90.38,0.39,93.16,0.48,205.0,1.07,202.12,0.84
2020,298,1.45,22.67,20.9,21.78,22.93,16.66,90.31,2.12,93.22,0.45,175.38,1.06,171.94,0.84
2020,299,1.82,22.48,21.23,21.86,22.57,17.03,93.0,3.86,93.2,0.61,224.38,1.44,220.44,0.85
2020,300,1.89,22.77,20.43,21.6,22.8,16.24,87.69,15.28,93.16,0.38,265.38,0.87,246.75,0.88
2020,301,1.4,21.9,20.94,21.42,21.95,16.78,94.44,4.48,92.93,0.92,304.75,2.15,302.69,0.86
2020,302,1.32,21.62,20.43,21.03,21.69,16.24,93.12,6.27,92.77,1.57,265.81,3.65,263.44,0.86
2020,303,1.52,21.96,21.01,21.49,22.07,16.78,94.62,68.14,93.19,0.7,205.81,1.73,204.88,0.9
2020,304,1.93,23.1,21.15,22.13,23.26,16.91,89.69,8.06,93.32,0.49,226.69,1.09,220.38,0.89
2020,305,1.69,23.06,21.04,22.05,23.21,16.85,89.19,4.13,93.3,0.65,55.69,1.66,52.56,0.87
2020,306,1.92,23.14,20.55,21.84,23.35,16.3,86.38,0.89,93.24,0.55,46.56,1.57,45.31,0.85
2020,307,2.2,21.73,18.83,20.28,21.8,14.65,84.94,0.13,93.29,0.41,44.25,1.18,43.69,0.85
2020,308,2.03,22.21,18.98,20.59,22.38,14.83,83.5,0.02,93.38,0.34,141.25,0.93,116.69,0.84
2020,309,1.72,22.7,20.1,21.4,22.87,15.87,86.38,0.21,93.33,0.42,274.62,0.97,273.12,0.84
2020,310,1.95,23.08,20.42,21.75,23.2,16.17,86.44,0.8,93.26,0.51,248.5,1.18,259.56,0.84
2020,311,1.54,22.95,21.37,22.16,23.12,17.15,91.44,4.7,93.29,0.51,243.69,1.28,238.31,0.84
