-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2021 through 12/31/2021 
Location: Latitude  11.5753   Longitude 108.1429 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 699.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2021,274,2.18,23.12,21.92,22.51,23.16,17.76,93.25,3.12,93.24,0.58,226.81,1.42,222.56,0.8
2021,275,2.12,22.26,21.28,21.77,22.33,17.03,94.38,11.71,93.28,0.58,263.38,1.41,261.38,0.84
2021,276,1.08,22.49,21.12,21.8,22.62,16.91,92.38,4.75,93.17,0.41,190.88,1.07,188.25,0.81
2021,277,1.92,23.1,20.73,21.91,23.2,16.54,87.62,16.65,93.03,0.34,136.25,0.94,95.38,0.84
2021,278,2.09,22.79,21.03,21.9,22.87,16.85,90.5,19.32,92.94,0.39,155.06,0.97,150.94,0.87
2021,279,1.3,21.96,21.08,21.52,22.05,16.97,95.0,25.78,92.74,0.6,279.0,1.48,278.5,0.89
2021,280,2.16,22.73,21.18,21.95,22.86,17.03,91.38,4.57,92.69,1.11,270.81,2.59,269.0,0.83
2021,281,1.9,23.3,22.08,22.69,23.41,18.01,93.06,3.56,92.71,1.3,258.19,3.03,256.25,0.82
2021,282,2.09,23.12,21.37,22.24,23.21,17.21,90.31,1.53,92.91,1.33,266.06,3.1,264.56,0.8
2021,283,1.8,23.38,21.63,22.51,23.55,17.52,90.5,6.9,92.87,1.06,268.12,2.46,266.56,0.81
2021,284,1.51,22.92,22.19,22.55,22.93,18.13,95.69,15.2,92.81,1.11,263.44,2.59,262.38,0.86
2021,285,1.82,22.19,21.31,21.75,22.23,17.15,94.75,8.01,92.8,1.07,265.69,2.52,264.75,0.84
2021,286,1.8,22.47,21.37,21.92,22.55,17.27,93.69,15.15,92.64,1.25,257.69,2.95,256.12,0.85
2021,287,1.9,23.38,22.01,22.69,23.49,17.88,92.31,24.68,92.85,1.14,255.81,2.68,253.81,0.9
2021,288,2.04,22.56,21.35,21.96,22.65,17.21,93.12,22.12,92.96,0.66,266.62,1.61,263.94,0.87
2021,289,1.96,21.56,20.63,21.1,21.62,16.42,94.62,25.02,93.06,0.75,278.38,1.79,275.81,0.91
2021,290,1.73,22.46,20.87,21.66,22.62,16.66,91.31,14.82,93.12,0.62,237.69,1.45,235.38,0.89
2021,291,2.29,22.48,21.12,21.8,22.44,16.85,92.5,0.63,93.36,0.66,98.12,1.53,96.19,0.85
2021,292,2.43,23.05,21.25,22.15,22.94,17.03,90.19,1.24,93.55,0.52,73.31,1.29,68.88,0.84
2021,293,1.59,22.26,21.33,21.8,22.26,17.09,94.62,7.1,93.55,0.5,69.12,1.34,66.44,0.86
2021,294,1.89,22.54,21.2,21.87,22.62,16.97,92.62,10.75,93.47,0.55,94.5,1.34,92.0,0.88
2021,295,2.23,23.1,21.2,22.15,23.21,16.97,89.94,4.29,93.47,0.52,92.06,1.27,87.38,0.86
2021,296,2.12,21.73,19.8,20.76,21.8,15.5,89.44,3.18,93.51,0.66,39.88,1.72,37.81,0.85
2021,297,1.99,21.57,18.08,19.82,21.62,13.98,81.56,1.67,93.38,0.72,55.69,1.87,52.81,0.84
2021,298,1.08,21.96,20.48,21.22,21.91,16.24,91.69,11.26,93.27,0.53,129.56,1.24,113.56,0.87
2021,299,0.67,22.65,20.98,21.81,22.63,16.78,90.88,8.32,93.1,0.45,151.06,1.12,135.19,0.86
2021,300,1.31,22.5,21.6,22.05,22.59,17.46,94.81,24.82,93.09,0.7,218.88,1.7,215.69,0.91
2021,301,2.19,22.83,21.08,21.95,22.98,16.85,90.56,0.75,93.39,0.7,109.12,1.7,107.69,0.86
2021,302,2.05,23.19,20.72,21.95,23.35,16.48,87.06,0.67,93.46,0.63,69.81,1.66,66.25,0.85
2021,303,1.87,21.87,20.24,21.05,21.9,15.93,90.94,1.49,93.51,0.78,65.12,1.91,62.0,0.85
2021,304,1.28,22.48,21.48,21.98,22.51,17.27,94.44,3.3,93.48,0.59,80.5,1.57,77.69,0.85
2021,305,1.85,22.83,20.88,21.86,22.93,16.66,89.5,0.72,93.42,0.75,70.19,1.92,66.62,0.84
2021,306,2.27,22.74,20.19,21.47,22.85,15.93,86.56,0.19,93.4,0.82,62.38,2.11,59.19,0.84
2021,307,2.23,22.4,20.48,21.44,22.47,16.24,89.31,0.94,93.35,0.7,58.69,1.81,54.94,0.84
2021,308,2.02,22.22,20.12,21.16,22.28,15.87,88.56,0.66,93.31,0.72,69.81,1.82,66.62,0.84
2021,309,1.86,22.62,20.73,21.68,22.76,16.48,89.81,0.28,93.23,0.54,73.88,1.38,69.5,0.83
2021,310,2.16,23.43,20.84,22.13,23.56,16.72,86.5,0.59,93.07,0.53,85.0,1.31,80.25,0.83
2021,311,1.54,22.94,20.55,21.74,22.98,16.36,87.56,0.96,93.09,0.49,55.81,1.34,53.69,0.83
2021,312,2.16,23.25,20.93,22.09,23.37,16.72,87.62,1.22,93.19,0.87,68.0,2.15,65.0,0.82
2021,313,1.27,21.56,19.83,20.69,21.48,15.56,90.25,7.18,93.35,1.06,59.19,2.7,56.62,0.84
2021,314,1.33,21.15,19.46,20.3,21.18,15.2,90.44,8.84,93.31,1.02,52.75,2.58,49.5,0.84
2021,315,0.71,21.46,20.42,20.94,21.44,16.17,93.94,30.46,93.23,1.0,62.62,2.55,59.81,0.91
2021,316,1.99,22.51,21.3,21.9,22.56,17.09,93.19,13.14,93.3,0.84,69.31,2.16,66.81,0.88
2021,317,1.45,22.5,20.76,21.62,22.65,16.54,90.56,7.07,93.29,0.77,73.69,1.91,70.75,0.86
2021,318,1.4,21.98,20.48,21.23,22.04,16.24,91.69,5.87,93.31,0.65,65.0,1.62,62.31,0.86
2021,319,1.23,22.2,20.52,21.37,22.33,16.3,90.81,4.19,93.19,0.91,73.81,2.19,70.31,0.85
2021,320,0.7,21.87,20.88,21.37,21.87,16.66,94.25,13.81,93.22,0.9,74.44,2.23,71.75,0.88
2021,321,1.65,21.7,19.98,20.84,21.72,15.75,90.38,2.25,93.27,0.85,61.0,2.18,57.19,0.85
2021,322,0.61,21.72,20.38,21.05,21.76,16.17,92.5,3.68,93.16,0.73,59.44,1.81,56.38,0.86
2021,323,1.4,22.77,20.69,21.73,22.94,16.54,88.94,0.69,93.03,0.47,59.88,1.27,54.06,0.84
2021,324,1.41,23.0,20.93,21.97,23.2,16.78,89.0,1.13,93.04,0.46,66.94,1.31,61.0,0.84
2021,325,1.93,22.8,20.83,21.82,22.94,16.6,89.38,0.41,93.17,0.84,75.69,2.08,72.69,0.84
2021,326,1.12,22.39,21.16,21.77,22.42,16.97,93.12,4.22,93.24,0.8,74.5,1.99,71.44,0.84
2021,327,1.2,22.11,19.89,21.0,22.13,15.62,87.75,0.93,93.25,1.04,51.06,2.7,49.19,0.84
2021,328,1.82,22.27,20.55,21.4,22.18,16.3,90.06,2.06,93.29,0.86,62.25,2.38,59.69,0.84
2021,329,1.3,22.12,19.7,20.9,22.14,15.44,86.56,0.28,93.27,0.77,45.81,2.15,44.06,0.83
2021,330,1.18,21.9,19.46,20.68,21.94,15.26,86.31,0.31,93.22,0.77,46.31,2.17,44.88,0.83
2021,331,0.62,21.48,20.39,20.93,21.46,16.17,93.5,26.8,93.2,0.82,53.75,2.21,52.38,0.88
2021,332,1.2,21.24,20.01,20.62,21.23,15.81,92.81,4.13,93.19,0.91,66.81,2.32,64.38,0.85
2021,333,1.08,21.62,21.04,21.33,21.59,16.85,96.5,14.54,93.14,0.89,82.56,2.22,80.75,0.88
2021,334,1.52,21.85,21.1,21.48,21.78,16.91,95.5,18.87,93.25,0.9,77.88,2.36,75.19,0.9
2021,335,1.5,20.44,17.68,19.05,20.46,13.61,84.56,0.68,93.36,1.21,45.06,3.16,43.62,0.85
2021,336,1.75,20.53,17.5,19.01,20.62,13.49,83.25,0.14,93.43,0.88,38.94,2.43,39.25,0.84
2021,337,1.84,19.49,16.01,17.76,19.69,12.27,81.19,0.07,93.52,0.61,71.62,1.79,29.25,0.84
2021,338,1.71,18.11,14.4,16.26,18.11,11.05,80.06,0.0,93.48,0.59,48.69,1.65,38.44,0.84
2021,339,1.74,19.64,17.09,18.37,19.66,13.18,86.06,0.0,93.37,0.73,34.75,2.02,33.69,0.83
2021,340,1.86,20.28,17.32,18.8,20.33,13.31,84.06,0.0,93.38,0.78,39.62,2.26,39.0,0.83
2021,341,1.88,19.89,16.6,18.25,19.82,12.7,82.25,0.01,93.43,0.69,135.94,1.87,22.12,0.82
2021,342,1.59,20.64,17.92,19.28,20.68,13.98,85.19,0.37,93.45,0.61,42.31,1.64,38.12,0.82
2021,343,1.54,20.96,18.3,19.62,20.95,14.16,85.31,0.94,93.48,0.98,49.0,2.62,47.06,0.82
2021,344,2.11,19.86,16.61,18.23,19.81,12.7,82.5,0.04,93.46,0.84,36.75,2.36,36.94,0.81
2021,345,1.98,20.45,17.33,18.89,20.43,13.37,83.62,0.03,93.46,0.5,107.94,1.48,26.56,0.81
2021,346,1.94,21.48,18.6,20.04,21.55,14.47,84.25,0.17,93.43,0.74,42.56,2.04,41.5,0.8
2021,347,1.77,20.98,18.19,19.58,20.96,14.04,84.5,0.35,93.34,0.84,38.25,2.42,37.44,0.8
2021,348,1.76,21.51,18.81,20.16,21.53,14.65,85.06,0.59,93.24,0.9,49.94,2.47,48.06,0.8
2021,349,1.94,21.86,19.26,20.55,21.91,15.08,85.94,0.07,93.22,0.75,59.62,2.03,56.0,0.8
2021,350,2.05,22.37,19.75,21.06,22.32,15.56,86.06,0.05,93.27,0.64,61.88,1.7,57.75,0.8
2021,351,1.76,21.84,18.83,20.34,21.9,14.65,84.25,0.05,93.29,0.54,69.44,1.6,59.31,0.79
2021,352,1.41,20.15,17.26,18.7,20.09,13.24,83.81,0.17,93.22,0.8,21.12,2.33,22.5,0.79
2021,353,1.35,21.4,18.46,19.94,21.48,14.4,84.0,0.79,93.18,0.66,87.31,1.6,85.12,0.79
2021,354,1.79,21.48,19.48,20.48,21.55,15.2,89.12,0.06,93.43,0.54,157.94,1.2,157.56,0.79
2021,355,1.88,21.91,19.87,20.9,21.99,15.56,88.94,0.22,93.46,0.56,106.31,1.29,100.38,0.78
2021,356,1.62,21.8,19.65,20.73,22.01,15.38,88.5,0.83,93.4,0.45,104.06,1.17,94.94,0.78
2021,357,1.93,21.01,19.01,20.01,21.11,14.77,89.0,0.18,93.37,0.64,88.31,1.58,83.12,0.78
2021,358,1.95,21.12,18.4,19.76,21.15,14.22,85.56,0.01,93.37,0.45,55.62,1.29,53.88,0.78
2021,359,1.95,20.87,18.14,19.51,20.96,13.98,85.44,0.03,93.44,0.7,58.69,1.86,55.5,0.77
2021,360,1.77,21.18,18.58,19.88,21.28,14.4,86.12,0.28,93.52,0.72,57.5,1.9,54.75,0.77
2021,361,1.52,20.64,18.13,19.38,20.81,13.98,86.56,3.96,93.59,0.71,57.12,1.87,53.75,0.78
2021,362,1.46,20.81,18.84,19.83,20.83,14.59,89.06,3.13,93.53,1.16,65.0,2.91,62.38,0.78
2021,363,1.58,21.18,18.62,19.9,21.17,14.4,85.88,0.92,93.54,1.17,64.56,3.06,61.38,0.77
2021,364,1.79,20.92,17.86,19.39,20.91,13.73,83.31,0.72,93.61,1.25,56.44,3.3,53.88,0.77
2021,365,2.07,19.98,16.66,18.32,19.95,12.7,81.75,0.27,93.6,1.2,52.56,3.23,50.19,0.76
