-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.5753   Longitude 108.1429 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 699.21 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.62,22.83,21.55,22.19,22.91,17.33,92.94,3.41,93.2,0.45,209.69,1.16,209.56,0.82
2022,275,2.12,22.95,21.33,22.14,22.93,17.15,91.25,5.34,93.14,0.47,154.56,1.14,153.0,0.83
2022,276,2.27,22.98,20.8,21.89,23.12,16.6,88.62,7.17,93.14,0.83,83.12,1.98,80.31,0.84
2022,277,1.05,21.65,19.87,20.76,21.71,15.62,90.12,8.5,93.31,0.77,74.75,1.93,71.0,0.84
2022,278,2.02,22.08,19.91,20.99,22.23,15.69,88.38,1.92,93.31,0.89,81.69,2.17,77.88,0.81
2022,279,2.06,21.75,19.58,20.67,21.8,15.38,88.12,4.37,93.35,0.66,63.94,1.52,58.94,0.82
2022,280,2.18,22.17,19.44,20.81,22.23,15.26,85.56,1.08,93.29,0.66,52.62,1.7,49.38,0.8
2022,281,1.04,21.98,20.23,21.11,22.07,15.99,90.38,13.82,93.32,0.73,61.88,1.84,59.19,0.85
2022,282,2.2,22.25,20.18,21.22,22.45,15.93,88.75,4.59,93.4,0.52,84.31,1.3,81.19,0.82
2022,283,1.52,21.98,19.7,20.84,21.99,15.44,87.62,17.47,93.41,0.59,43.44,1.47,40.06,0.87
2022,284,1.19,21.95,20.8,21.37,21.94,16.6,93.44,11.33,93.33,0.48,106.06,1.16,100.5,0.84
2022,285,1.59,23.43,20.9,22.16,23.45,16.66,86.69,8.01,93.21,0.6,30.5,1.62,32.56,0.84
2022,286,1.15,21.99,19.75,20.87,22.09,15.56,87.88,1.74,93.04,0.51,235.0,1.32,264.31,0.82
2022,287,1.34,21.58,19.76,20.66,21.72,15.56,90.0,13.19,92.81,0.98,314.5,2.27,312.81,0.85
2022,288,2.2,22.23,19.26,20.75,22.38,15.2,84.75,0.16,92.88,0.59,261.56,1.42,259.62,0.81
2022,289,1.91,23.32,21.24,22.28,23.37,17.03,89.06,5.53,93.12,0.52,171.44,1.11,168.12,0.82
2022,290,1.55,22.43,20.82,21.62,22.17,16.6,91.06,10.77,93.2,0.32,133.75,0.74,132.25,0.85
2022,291,1.96,22.87,20.36,21.62,23.12,16.17,87.19,7.3,93.14,0.38,247.25,0.89,243.19,0.84
2022,292,1.37,22.77,20.98,21.87,23.04,16.72,90.38,5.98,93.16,0.73,177.25,1.65,174.88,0.84
2022,293,1.39,22.67,20.48,21.57,22.96,16.24,88.38,1.06,93.34,0.82,102.88,1.89,99.44,0.82
2022,294,2.18,23.13,20.46,21.8,23.13,16.17,86.0,0.29,93.41,0.49,79.06,1.23,71.31,0.81
2022,295,1.84,22.48,20.03,21.26,22.53,15.81,87.06,0.54,93.43,0.44,62.94,1.23,59.0,0.8
2022,296,2.02,22.69,20.6,21.65,22.83,16.36,88.88,1.37,93.38,0.34,126.5,0.85,118.69,0.8
2022,297,2.05,23.15,20.75,21.95,23.14,16.54,87.38,2.51,93.23,0.45,204.31,1.11,205.0,0.8
2022,298,1.77,22.23,21.19,21.7,22.27,16.97,94.0,1.43,93.24,0.5,218.75,1.32,204.69,0.81
2022,299,1.82,22.46,20.23,21.34,22.55,16.05,87.81,2.55,93.23,0.66,72.31,1.7,68.75,0.8
2022,300,1.41,22.21,21.32,21.76,22.23,17.09,94.88,27.03,93.2,0.52,71.5,1.36,67.56,0.88
2022,301,1.88,22.5,19.8,21.15,22.48,15.62,85.75,0.9,93.09,0.77,52.0,2.01,36.75,0.83
2022,302,1.17,22.44,19.83,21.14,22.51,15.69,86.0,0.5,93.01,0.72,29.62,1.98,29.31,0.81
2022,303,1.79,22.67,20.05,21.37,22.69,15.87,86.12,0.01,92.99,0.6,129.81,1.52,132.75,0.8
2022,304,2.0,22.01,19.13,20.57,22.07,15.01,85.31,0.0,93.08,0.44,197.06,1.04,207.06,0.8
2022,305,1.8,22.18,19.52,20.85,22.35,15.32,85.94,0.09,93.19,0.49,252.81,1.14,248.62,0.8
2022,306,1.79,21.26,19.55,20.4,21.33,15.32,90.5,0.19,93.23,0.54,155.19,1.21,149.31,0.8
2022,307,1.23,21.32,19.46,20.39,21.56,15.2,89.81,0.36,93.33,0.58,108.44,1.42,106.25,0.79
2022,308,1.57,21.87,20.01,20.94,22.08,15.75,89.88,1.34,93.46,0.81,102.88,1.94,98.81,0.79
2022,309,2.09,21.32,19.09,20.21,21.37,14.83,87.62,0.36,93.57,0.44,61.75,1.19,55.62,0.79
2022,310,2.06,21.76,18.26,20.01,21.71,14.1,81.69,0.08,93.48,0.4,72.31,1.21,27.25,0.79
2022,311,2.02,22.11,18.24,20.18,21.95,14.1,80.31,0.0,93.41,0.38,154.44,1.01,29.38,0.78
2022,312,2.05,22.01,18.98,20.49,21.96,14.83,84.0,0.0,93.36,0.44,49.31,1.33,31.75,0.78
2022,313,2.09,22.19,19.93,21.06,22.12,15.69,87.38,0.07,93.37,0.61,55.06,1.59,51.31,0.78
2022,314,1.92,22.48,19.42,20.95,22.43,15.2,83.69,0.31,93.33,0.68,43.62,1.82,40.75,0.77
2022,315,1.88,21.69,19.23,20.46,21.68,15.01,86.31,0.39,93.32,0.81,49.19,2.14,45.94,0.77
2022,316,0.68,22.05,20.76,21.4,22.08,16.54,92.62,5.81,93.21,0.61,62.88,1.62,59.62,0.79
2022,317,1.59,21.94,20.9,21.42,21.95,16.66,93.94,6.01,93.28,0.9,78.38,2.17,75.06,0.8
2022,318,2.12,21.4,19.84,20.62,21.37,15.56,91.19,1.92,93.29,0.77,60.5,1.98,56.56,0.8
2022,319,1.87,22.34,20.26,21.3,22.36,16.05,88.62,0.92,93.25,0.69,63.44,1.83,59.75,0.78
2022,320,2.18,23.0,20.3,21.65,23.15,16.11,86.06,0.74,93.17,0.4,87.69,1.08,74.81,0.78
2022,321,2.07,22.51,20.15,21.33,22.56,15.93,87.19,0.54,93.15,0.73,59.75,1.88,55.81,0.77
2022,322,1.8,21.81,20.34,21.08,21.83,16.11,91.56,0.69,93.18,0.63,59.25,1.71,56.31,0.77
2022,323,1.05,21.4,20.05,20.73,21.42,15.87,92.19,19.47,93.03,0.84,51.62,2.16,49.06,0.83
2022,324,0.8,21.67,20.84,21.26,21.65,16.72,95.0,14.58,92.83,0.73,79.69,1.88,76.12,0.84
2022,325,0.34,21.88,20.88,21.38,21.94,16.72,94.25,10.09,92.87,0.8,86.94,1.89,84.81,0.83
2022,326,0.66,21.99,21.15,21.58,22.05,16.97,95.19,37.19,93.0,1.01,117.88,2.26,118.5,0.92
2022,327,1.61,22.11,20.48,21.3,22.3,16.24,91.19,4.58,93.19,0.66,137.25,1.53,138.62,0.84
2022,328,1.7,21.13,20.02,20.58,21.24,15.75,93.69,4.67,93.34,0.78,110.19,1.83,110.06,0.83
2022,329,1.98,21.65,19.83,20.74,21.76,15.56,90.19,1.41,93.39,0.66,77.94,1.62,74.19,0.81
2022,330,1.81,21.46,20.08,20.77,21.59,15.87,92.25,6.34,93.31,0.66,89.69,1.59,87.12,0.82
2022,331,2.02,22.09,20.41,21.26,22.22,16.17,90.94,1.22,93.23,0.66,92.88,1.58,88.94,0.81
2022,332,2.13,22.49,20.43,21.46,22.56,16.17,89.12,0.22,93.27,0.6,89.44,1.47,85.81,0.8
2022,333,2.14,22.29,19.66,20.98,22.33,15.44,86.56,0.6,93.28,0.49,77.56,1.31,72.12,0.8
2022,334,1.95,22.12,20.01,21.07,22.09,15.87,88.25,0.36,93.29,0.66,53.94,1.82,49.81,0.8
2022,335,2.0,22.31,19.73,21.02,22.29,15.5,85.88,0.59,93.24,1.05,59.81,2.73,57.0,0.79
2022,336,1.25,20.93,19.2,20.07,20.83,15.01,90.12,23.67,93.17,1.32,69.5,3.31,67.19,0.87
2022,337,1.57,21.15,18.95,20.05,21.14,14.77,87.62,8.93,93.22,1.2,74.31,2.91,70.94,0.83
2022,338,1.73,20.34,18.97,19.65,20.37,14.77,92.06,31.24,93.3,1.1,65.81,2.67,62.56,0.91
2022,339,1.89,20.85,19.25,20.05,20.84,15.08,90.81,3.74,93.3,0.82,51.62,2.09,48.25,0.84
2022,340,1.8,21.23,19.55,20.39,21.3,15.38,90.5,7.01,93.21,0.94,56.88,2.37,54.12,0.84
2022,341,1.46,21.87,21.11,21.48,21.79,16.91,95.56,16.72,93.17,0.81,70.44,2.13,67.69,0.87
2022,342,2.17,22.37,20.55,21.46,22.45,16.3,90.25,5.7,93.2,0.8,63.44,2.09,60.56,0.84
2022,343,1.88,22.03,19.93,20.98,22.08,15.75,88.62,2.91,93.14,0.74,45.81,1.98,44.75,0.83
2022,344,2.28,20.71,18.39,19.55,20.76,14.28,87.12,0.45,93.2,0.59,44.44,1.68,44.62,0.82
2022,345,2.05,20.96,18.74,19.85,21.23,14.59,88.0,11.09,93.27,0.42,73.81,1.24,64.38,0.84
2022,346,1.88,20.08,17.7,18.89,20.17,13.61,87.25,9.15,93.35,0.52,31.25,1.41,35.88,0.85
2022,347,1.9,18.94,15.62,17.27,18.76,11.96,82.44,0.11,93.33,0.61,141.25,1.59,92.0,0.82
2022,348,1.73,19.47,16.42,17.94,19.5,12.63,83.19,0.51,93.37,0.71,25.38,1.94,25.62,0.81
2022,349,1.95,20.65,18.05,19.34,20.68,14.04,85.94,0.52,93.19,0.52,145.69,1.34,57.12,0.81
2022,350,1.71,21.62,19.26,20.44,21.62,15.14,87.19,2.26,93.2,0.51,71.94,1.44,69.5,0.81
2022,351,1.76,21.12,18.46,19.79,20.99,14.28,85.25,0.47,93.33,1.36,52.5,3.42,49.44,0.8
2022,352,1.97,19.55,15.39,17.48,19.51,11.78,77.06,0.1,93.28,1.81,44.5,4.54,42.81,0.8
2022,353,2.24,19.64,16.12,17.88,19.7,12.39,80.56,0.02,93.18,1.1,44.31,2.98,42.69,0.8
2022,354,2.16,21.16,18.14,19.65,21.12,14.16,83.56,0.02,93.11,0.74,41.62,2.05,41.38,0.8
2022,355,2.19,21.38,18.51,19.95,21.35,14.4,84.5,0.02,93.12,0.7,30.94,1.96,33.0,0.79
2022,356,2.08,20.18,17.45,18.82,20.19,13.43,85.56,0.02,93.12,0.59,189.0,1.55,142.0,0.79
2022,357,2.12,17.83,14.37,16.1,17.68,10.99,81.38,0.01,93.29,0.69,24.38,1.81,26.88,0.78
2022,358,1.95,17.11,13.92,15.51,17.14,10.68,82.62,0.02,93.39,0.86,32.81,2.34,32.5,0.78
2022,359,1.98,17.71,14.08,15.9,17.79,10.8,80.44,0.01,93.51,0.69,26.94,1.98,28.56,0.78
2022,360,2.09,17.34,14.37,15.86,17.13,10.99,83.5,0.01,93.62,0.61,64.0,1.67,20.31,0.78
2022,361,2.14,18.49,15.41,16.95,18.51,11.78,83.25,0.01,93.59,0.48,112.06,1.26,104.12,0.77
2022,362,2.21,19.65,16.21,17.94,19.79,12.45,81.62,0.01,93.59,0.36,106.44,1.07,62.19,0.77
2022,363,2.17,20.45,17.18,18.81,20.53,13.18,82.62,0.06,93.62,0.52,80.75,1.47,52.69,0.77
2022,364,1.87,19.88,16.73,18.3,20.0,12.76,82.75,0.02,93.63,0.79,35.88,2.2,35.88,0.77
2022,365,1.67,18.66,15.65,17.16,18.63,11.9,82.75,0.02,93.56,0.8,25.5,2.31,24.5,0.77
