-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.8478   Longitude 106.7578 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 307.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MWET,T2MDEW,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.16,24.48,23.97,23.45,24.27,18.68,94.0,10.49,97.47,1.45,122.19,2.27,122.31,0.86
2022,275,1.48,25.02,24.16,23.3,25.03,18.43,90.56,3.98,97.58,1.21,126.5,2.05,126.62,0.85
2022,276,2.0,25.01,23.9,22.78,24.86,17.82,88.0,2.15,97.73,1.27,112.69,2.01,112.38,0.84
2022,277,2.02,24.73,23.68,22.62,24.43,17.64,88.5,7.73,97.85,0.98,87.19,1.62,87.06,0.85
2022,278,2.11,25.12,23.66,22.2,24.9,17.21,85.0,0.36,97.84,1.26,134.69,2.02,134.5,0.84
2022,279,1.71,25.01,23.64,22.28,24.83,17.27,85.75,0.07,97.85,1.27,123.62,2.05,123.44,0.83
2022,280,1.54,22.1,21.09,20.08,22.09,15.08,88.62,3.21,98.0,2.36,57.69,3.65,57.62,0.83
2022,281,1.34,21.6,20.53,19.46,21.92,14.59,88.19,3.67,98.02,2.17,68.38,3.37,68.38,0.84
2022,282,0.92,20.92,19.8,18.68,20.86,13.85,87.25,5.96,98.35,3.88,41.75,5.85,41.81,0.84
2022,283,1.48,17.44,14.54,11.63,17.19,8.73,70.56,0.01,98.57,3.88,34.88,5.98,34.88,0.83
2022,284,2.2,17.64,14.58,11.53,17.23,8.67,69.25,0.0,98.27,2.24,40.44,3.66,40.5,0.82
2022,285,2.08,19.25,16.38,13.51,18.65,9.89,70.81,0.0,98.09,1.71,55.44,2.81,55.38,0.81
2022,286,1.84,19.76,16.52,13.28,19.08,9.77,68.38,0.0,97.99,1.94,36.38,3.25,36.31,0.81
2022,287,2.05,19.4,16.8,14.2,18.86,10.38,73.38,0.0,97.83,2.8,27.5,4.53,27.44,0.8
2022,288,1.95,19.13,16.35,13.57,18.47,9.95,71.81,0.01,97.83,2.88,31.94,4.68,31.94,0.8
2022,289,1.87,19.85,17.48,15.12,19.23,11.05,75.69,0.17,97.96,3.23,20.38,5.1,20.38,0.8
2022,290,1.81,20.87,18.09,15.31,20.08,11.11,71.88,0.0,97.97,4.06,18.69,6.3,18.69,0.8
2022,291,1.6,18.78,15.59,12.4,18.05,9.22,67.75,0.0,98.06,4.06,26.12,6.3,26.12,0.8
2022,292,0.95,16.37,13.65,10.94,15.93,8.36,71.44,13.07,98.12,2.61,34.12,4.1,34.19,0.82
2022,293,0.45,16.23,15.25,14.27,16.3,10.38,88.5,36.62,98.18,3.3,19.44,4.91,19.38,0.87
2022,294,1.01,19.38,18.12,16.86,19.55,12.27,86.19,6.65,98.26,2.09,99.69,3.23,99.44,0.84
2022,295,1.62,22.26,20.23,18.19,21.4,13.37,79.12,0.03,98.16,2.16,43.06,3.43,57.88,0.82
2022,296,1.7,23.2,20.98,18.75,22.3,13.85,77.38,0.0,98.02,2.03,38.44,3.35,38.38,0.81
2022,297,1.57,22.16,20.11,18.06,21.61,13.31,78.69,0.0,97.94,1.77,77.88,2.97,77.81,0.8
2022,298,0.95,23.0,21.5,20.01,22.85,15.01,83.88,0.06,98.07,1.12,161.38,1.75,161.25,0.8
2022,299,1.52,23.11,21.86,20.62,23.22,15.62,86.81,0.0,97.97,1.04,154.69,1.66,154.06,0.8
2022,300,1.44,22.9,21.26,19.62,23.09,14.65,83.19,0.0,97.94,1.18,132.25,2.01,132.19,0.8
2022,301,1.3,21.23,19.53,17.83,21.11,13.06,81.81,0.12,98.08,2.16,60.56,3.39,60.5,0.79
2022,302,1.48,20.36,18.6,16.83,20.14,12.27,81.25,0.01,98.06,2.36,40.06,3.66,39.94,0.79
2022,303,1.75,20.1,18.17,16.23,19.9,11.78,79.5,0.0,97.96,3.23,29.81,4.98,29.81,0.78
2022,304,1.7,19.09,16.8,14.49,18.69,10.56,75.94,0.0,98.04,4.04,19.94,6.19,19.88,0.78
2022,305,1.67,18.02,15.4,12.78,17.43,9.46,73.12,0.0,97.94,3.23,15.31,5.15,15.31,0.77
2022,306,1.7,18.37,15.35,12.33,17.34,9.22,70.0,0.0,97.73,2.19,30.69,3.48,30.75,0.77
2022,307,1.62,19.36,16.54,13.72,18.1,10.13,71.12,0.0,97.83,1.5,61.25,2.48,61.12,0.77
2022,308,1.58,19.34,17.23,15.12,18.92,10.99,78.38,0.0,98.16,2.17,47.25,3.62,47.31,0.77
2022,309,1.38,17.81,16.08,14.33,17.4,10.44,81.38,0.0,98.37,2.27,56.75,3.75,56.75,0.77
2022,310,1.41,18.54,16.8,15.07,18.15,10.93,80.94,0.01,98.24,1.27,82.69,2.08,82.62,0.77
2022,311,1.29,19.87,18.08,16.3,19.12,11.84,80.94,0.01,98.11,0.99,88.25,1.52,88.12,0.77
2022,312,1.41,20.4,18.19,16.0,19.36,11.6,77.5,0.0,98.1,0.69,118.94,1.13,118.5,0.76
2022,313,1.34,20.64,18.76,16.88,19.94,12.33,80.62,0.0,98.1,0.78,175.94,1.27,176.0,0.76
2022,314,0.96,21.44,20.44,19.44,21.32,14.53,88.88,0.0,98.02,1.17,187.5,1.9,187.62,0.76
2022,315,1.41,22.17,21.14,20.11,22.12,15.08,88.06,0.0,97.95,1.44,171.88,2.35,171.88,0.75
2022,316,1.48,22.67,21.45,20.23,22.85,15.2,86.38,0.0,97.86,1.16,184.5,2.02,184.56,0.75
2022,317,1.3,22.54,21.27,20.0,22.47,15.01,86.5,0.01,97.95,1.2,126.31,1.98,126.12,0.75
2022,318,1.17,22.83,21.62,20.41,22.65,15.38,87.0,0.0,97.96,1.41,113.38,2.3,114.5,0.74
2022,319,1.08,22.21,21.25,20.29,22.4,15.26,89.5,0.13,97.88,1.54,108.62,2.48,108.56,0.74
2022,320,1.16,22.9,22.0,21.09,23.02,16.11,89.94,1.45,97.68,1.61,148.75,2.62,148.75,0.74
2022,321,1.27,23.48,22.48,21.47,23.59,16.48,89.25,8.25,97.68,1.62,158.62,2.61,158.62,0.77
2022,322,1.3,23.49,22.45,21.4,23.69,16.36,88.81,1.44,97.82,1.52,153.75,2.46,153.75,0.75
2022,323,1.18,20.44,19.39,18.33,20.43,13.61,88.12,1.44,97.98,2.25,58.62,3.55,58.56,0.75
2022,324,1.03,20.12,18.64,17.17,20.04,12.63,83.94,0.46,97.85,1.79,81.38,2.77,81.19,0.74
2022,325,1.07,21.81,20.58,19.36,21.7,14.47,86.88,0.4,97.67,1.2,112.62,1.99,112.25,0.74
2022,326,0.8,22.39,21.52,20.65,22.33,15.69,90.19,1.58,97.66,1.64,50.81,2.65,50.81,0.74
2022,327,0.75,20.53,19.23,17.93,20.58,13.24,85.81,1.28,97.79,2.84,50.56,4.37,50.56,0.74
2022,328,0.65,19.06,18.44,17.81,18.94,13.06,92.56,3.92,97.9,2.38,50.62,3.62,50.69,0.75
2022,329,0.7,19.19,18.61,18.03,19.31,13.24,93.06,6.01,97.97,1.84,48.12,2.77,48.12,0.77
2022,330,0.53,20.58,19.83,19.07,20.85,14.28,91.38,8.12,97.77,1.77,100.75,2.69,100.75,0.78
2022,331,0.84,23.73,22.83,21.93,23.65,17.03,90.12,2.94,97.33,3.53,187.12,5.33,187.19,0.77
2022,332,1.05,24.64,23.71,22.78,24.58,17.88,89.88,0.4,97.34,3.27,189.81,4.93,189.81,0.75
2022,333,1.09,24.44,23.7,22.95,24.44,18.07,91.12,0.1,97.57,1.94,181.44,3.11,181.44,0.75
2022,334,0.88,16.43,14.05,11.68,16.51,9.03,74.56,3.98,98.26,4.73,47.56,7.01,47.69,0.75
2022,335,0.36,8.89,6.87,4.86,9.07,5.49,76.25,5.81,98.68,5.32,39.62,7.8,39.62,0.77
2022,336,1.02,8.93,6.62,4.32,9.5,5.37,74.0,0.3,98.51,3.42,47.31,5.03,47.31,0.75
2022,337,0.9,12.17,10.44,8.72,13.09,7.26,80.19,0.02,98.23,1.8,52.75,2.68,52.75,0.74
2022,338,0.69,11.43,10.04,8.65,11.58,7.08,83.31,0.61,98.5,3.91,40.06,5.74,40.12,0.74
2022,339,1.02,11.26,8.88,6.51,11.39,6.16,74.06,0.31,98.67,4.09,37.94,6.13,37.94,0.74
2022,340,1.09,10.75,8.8,6.83,11.2,6.35,78.5,0.0,98.4,2.37,58.81,3.64,58.81,0.74
2022,341,0.75,11.99,10.62,9.23,12.5,7.45,84.44,0.01,98.33,2.02,49.12,3.15,49.12,0.73
2022,342,0.6,13.3,12.15,11.02,13.62,8.36,86.88,0.19,98.29,1.95,45.06,3.01,45.12,0.73
