-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  22.4809   Longitude 103.9755 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 935.53 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.73,22.42,20.4,21.41,22.63,16.66,89.44,8.31,90.62,0.59,99.88,1.49,100.0,0.91
2022,275,1.36,22.81,20.75,21.78,22.9,16.97,89.12,6.93,90.71,0.71,120.06,1.8,117.06,0.91
2022,276,1.88,22.86,20.14,21.5,23.13,16.3,86.25,2.1,90.9,0.66,108.81,1.59,108.5,0.9
2022,277,2.6,22.86,19.35,21.1,23.03,15.5,82.69,0.13,91.05,0.7,109.94,1.59,110.44,0.89
2022,278,2.27,22.8,19.37,21.08,22.97,15.56,82.94,0.16,91.04,0.58,93.62,1.3,90.62,0.89
2022,279,1.85,22.4,19.69,21.04,22.5,15.81,86.0,2.27,91.04,0.72,102.62,1.67,101.94,0.88
2022,280,2.05,21.99,19.17,20.58,22.1,15.32,85.5,1.86,91.06,0.81,92.25,1.88,92.5,0.88
2022,281,1.87,21.33,18.4,19.87,21.78,14.59,85.19,0.36,91.09,0.64,111.88,1.58,109.88,0.88
2022,282,1.59,20.16,18.05,19.11,20.25,14.28,88.38,5.71,91.37,0.96,78.25,2.2,78.88,0.88
2022,283,1.89,16.97,12.82,14.89,17.05,10.13,78.25,1.46,91.61,0.91,78.31,1.92,79.12,0.88
2022,284,1.66,18.5,14.14,16.32,18.61,11.11,77.75,0.94,91.29,0.68,97.38,1.49,98.06,0.88
2022,285,1.65,18.53,14.62,16.58,18.58,11.47,79.44,0.05,91.16,0.66,93.06,1.43,93.94,0.87
