-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  18.6796   Longitude 105.6813 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 79.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.03,8.99,0.28,1.41
2022,10,2,1.72,5.55,0.16,0.81
2022,10,3,3.23,9.34,0.28,1.45
2022,10,4,5.0,13.34,0.39,2.02
2022,10,5,4.84,13.16,0.38,1.97
2022,10,6,4.27,11.73,0.33,1.66
2022,10,7,4.0,11.27,0.32,1.62
2022,10,8,4.75,12.76,0.36,1.81
2022,10,9,2.29,7.1,0.2,1.02
2022,10,10,1.93,5.78,0.17,0.87
2022,10,11,4.87,12.7,0.37,1.9
2022,10,12,5.86,14.56,0.4,2.03
2022,10,13,5.91,14.6,0.39,2.02
2022,10,14,4.38,11.19,0.31,1.58
2022,10,15,1.88,5.66,0.16,0.8
2022,10,16,5.24,12.75,0.34,1.75
2022,10,17,5.99,14.0,0.37,1.88
2022,10,18,5.61,12.77,0.34,1.71
2022,10,19,2.69,7.55,0.21,1.07
2022,10,20,1.08,3.61,0.11,0.54
2022,10,21,1.79,5.36,0.16,0.78
2022,10,22,3.91,10.09,0.27,1.38
2022,10,23,5.17,12.79,0.34,1.75
2022,10,24,4.56,11.43,0.3,1.58
2022,10,25,1.38,4.33,0.12,0.6
2022,10,26,2.06,6.27,0.18,0.91
2022,10,27,2.84,8.19,0.23,1.19
2022,10,28,4.58,11.58,0.31,1.59
2022,10,29,2.16,6.12,0.17,0.89
2022,10,30,3.06,8.02,0.23,1.19
2022,10,31,4.62,11.31,0.31,1.65
2022,11,1,5.29,12.31,0.33,1.73
2022,11,2,5.74,13.23,0.34,1.78
2022,11,3,5.68,13.24,0.34,1.73
2022,11,4,4.48,11.08,0.29,1.5
2022,11,5,2.56,6.95,0.19,0.98
2022,11,6,4.44,10.87,0.28,1.45
2022,11,7,4.8,11.25,0.28,1.45
2022,11,8,4.85,11.6,0.3,1.52
2022,11,9,4.26,10.74,0.28,1.45
2022,11,10,2.82,7.9,0.21,1.11
2022,11,11,3.19,8.78,0.23,1.23
2022,11,12,4.47,11.39,0.31,1.64
2022,11,13,2.67,7.49,0.21,1.09
2022,11,14,2.52,7.21,0.2,1.07
2022,11,15,3.48,9.48,0.27,1.38
2022,11,16,4.27,11.04,0.3,1.63
2022,11,17,3.93,10.3,0.3,1.57
2022,11,18,3.5,9.45,0.27,1.5
2022,11,19,3.08,8.55,0.25,1.37
2022,11,20,2.31,6.69,0.19,1.02
2022,11,21,2.13,6.19,0.17,0.93
2022,11,22,1.72,5.2,0.14,0.77
2022,11,23,1.56,5.1,0.14,0.77
2022,11,24,1.88,5.98,0.17,0.91
2022,11,25,2.52,7.16,0.2,1.09
2022,11,26,3.12,8.48,0.23,1.27
2022,11,27,4.5,11.39,0.3,1.57
2022,11,28,4.78,11.82,0.31,1.65
2022,11,29,4.77,11.74,0.31,1.62
2022,11,30,3.81,9.95,0.27,1.42
2022,12,1,1.43,4.21,0.12,0.64
2022,12,2,2.11,5.87,0.17,0.95
2022,12,3,2.65,7.27,0.21,1.2
2022,12,4,1.6,4.59,0.12,0.66
2022,12,5,1.49,4.22,0.12,0.64
2022,12,6,1.5,4.41,0.12,0.7
2022,12,7,1.57,4.59,0.12,0.7
2022,12,8,1.38,4.14,0.12,0.62
2022,12,9,1.79,5.16,0.14,0.79
2022,12,10,1.58,4.49,0.13,0.71
2022,12,11,1.29,3.81,0.11,0.62
2022,12,12,1.49,4.2,0.12,0.69
2022,12,13,2.05,5.3,0.15,0.81
2022,12,14,3.52,8.22,0.22,1.17
2022,12,15,4.43,10.21,0.27,1.41
2022,12,16,3.58,9.03,0.26,1.4
2022,12,17,1.31,3.51,0.1,0.58
2022,12,18,2.92,7.23,0.2,1.12
2022,12,19,3.09,7.8,0.22,1.17
2022,12,20,3.89,9.8,0.26,1.38
2022,12,21,1.96,5.34,0.14,0.77
2022,12,22,4.28,9.65,0.23,1.2
2022,12,23,3.99,9.22,0.22,1.13
2022,12,24,1.08,3.13,0.09,0.45
2022,12,25,4.07,9.79,0.24,1.29
2022,12,26,3.78,9.09,0.23,1.21
2022,12,27,2.41,6.42,0.17,0.89
2022,12,28,2.99,7.88,0.22,1.2
2022,12,29,1.43,3.95,0.12,0.63
2022,12,30,1.46,4.0,0.11,0.59
2022,12,31,1.97,5.42,0.15,0.8
