-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.2539   Longitude 105.975 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.27,26.65,25.54,26.09,26.62,20.45,93.56,11.05,100.77,2.48,126.12,3.53,125.56,0.93
2022,275,1.28,26.75,25.42,26.08,26.61,20.26,92.44,5.13,100.89,2.23,118.25,3.2,118.38,0.93
2022,276,1.66,26.97,24.88,25.93,26.83,19.59,88.62,3.08,101.04,2.05,90.12,3.0,90.31,0.92
2022,277,1.99,26.68,24.9,25.79,26.6,19.59,90.06,5.26,101.18,1.84,56.69,2.66,56.06,0.92
2022,278,1.89,27.05,24.9,25.98,27.02,19.59,88.31,5.28,101.17,2.06,75.94,3.01,75.75,0.91
2022,279,1.49,27.13,24.71,25.92,26.98,19.35,86.88,7.97,101.17,2.26,87.56,3.3,87.44,0.91
2022,280,1.62,26.5,24.8,25.65,26.37,19.47,90.56,27.4,101.24,2.82,69.38,4.02,68.62,0.94
2022,281,1.06,24.98,23.18,24.08,25.16,17.64,89.94,25.95,101.33,2.98,54.44,4.15,54.5,0.95
2022,282,0.7,24.97,23.3,24.13,24.98,17.82,90.5,18.18,101.57,4.05,44.94,5.68,44.56,0.94
2022,283,1.16,20.49,16.55,18.52,20.87,11.6,78.75,0.28,101.97,3.88,19.25,5.51,18.88,0.92
2022,284,2.19,21.64,15.63,18.64,21.34,10.93,69.56,0.0,101.65,2.58,29.31,3.67,28.94,0.91
2022,285,2.07,22.64,17.07,19.86,22.36,12.02,71.56,0.0,101.46,2.09,38.5,3.1,38.12,0.91
