-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.6739   Longitude 108.863 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 341.5 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.62,25.41,23.43,24.42,25.58,18.68,89.19,8.29,97.1,1.28,209.69,1.91,208.06,0.88
2022,275,2.12,25.27,23.06,24.16,25.55,18.31,87.94,4.07,97.05,0.91,142.06,1.43,130.31,0.86
2022,276,2.27,25.48,23.38,24.44,25.87,18.68,88.81,4.27,97.05,1.81,45.56,2.76,47.38,0.86
2022,277,1.05,24.37,22.24,23.31,24.92,17.4,88.44,9.4,97.26,2.17,40.38,3.27,41.69,0.87
2022,278,2.02,24.37,22.43,23.4,24.89,17.58,89.38,7.85,97.26,2.14,40.88,3.27,42.75,0.87
2022,279,2.06,23.98,21.48,22.73,24.59,16.6,86.44,14.05,97.28,1.7,78.56,2.55,79.31,0.88
2022,280,2.18,24.31,21.6,22.95,24.66,16.78,85.38,4.53,97.22,2.02,38.06,3.08,53.25,0.86
2022,281,1.04,24.48,22.74,23.61,24.88,17.94,90.5,14.39,97.26,2.13,38.25,3.23,38.44,0.89
2022,282,2.2,24.41,22.33,23.37,25.04,17.46,88.69,6.24,97.33,1.18,43.62,1.82,44.44,0.87
2022,283,1.52,24.15,21.83,22.99,24.58,16.97,87.31,22.5,97.34,2.06,33.5,3.14,62.94,0.91
2022,284,1.19,24.67,23.26,23.97,24.95,18.49,92.19,53.34,97.25,1.88,33.62,2.81,34.31,0.91
2022,285,1.59,25.43,22.83,24.13,25.65,18.07,86.19,23.32,97.12,3.16,30.62,4.77,31.06,0.9
2022,286,1.15,23.98,21.57,22.78,24.48,16.78,86.69,5.6,96.92,1.34,159.25,2.09,255.69,0.88
2022,287,1.34,24.44,21.98,23.2,24.76,17.21,86.69,16.78,96.62,1.33,257.19,2.11,269.75,0.91
2022,288,2.2,24.45,21.2,22.83,24.95,16.42,83.31,0.7,96.77,1.44,222.0,2.07,222.12,0.88
2022,289,1.91,25.33,22.69,24.01,25.75,17.88,85.94,8.84,97.06,0.87,97.0,1.33,95.19,0.88
2022,290,1.55,24.43,22.18,23.3,24.64,17.33,87.69,21.87,97.12,1.5,44.38,2.12,45.38,0.91
2022,291,1.96,24.74,21.4,23.07,25.07,16.54,82.69,4.99,97.05,1.35,89.56,1.91,134.44,0.88
2022,292,1.37,24.61,22.11,23.36,24.98,17.21,86.31,3.11,97.1,1.3,98.5,1.92,104.0,0.88
2022,293,1.39,24.58,22.48,23.53,25.07,17.64,88.62,0.95,97.3,2.02,52.06,3.04,55.69,0.87
2022,294,2.18,24.86,22.55,23.71,25.25,17.7,87.75,0.45,97.36,2.24,32.31,3.33,33.94,0.86
2022,295,1.84,24.44,22.6,23.52,24.69,17.76,90.06,1.39,97.36,1.84,31.81,2.76,31.94,0.86
2022,296,2.02,24.5,22.84,23.67,24.69,18.07,90.94,2.13,97.3,1.91,26.69,2.81,26.25,0.86
2022,297,2.05,24.46,22.32,23.39,24.7,17.52,88.38,6.98,97.13,1.7,26.94,2.48,22.81,0.87
