-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.422   Longitude 105.2297 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 183.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,2.84,10.91,0.31,1.61
2022,10,2,3.75,13.24,0.4,2.03
2022,10,3,4.52,14.27,0.41,2.15
2022,10,4,5.58,16.69,0.48,2.53
2022,10,5,5.71,17.01,0.48,2.47
2022,10,6,5.24,15.25,0.41,2.14
2022,10,7,4.91,14.77,0.41,2.07
2022,10,8,3.87,12.41,0.35,1.8
2022,10,9,2.06,8.04,0.22,1.13
2022,10,10,5.03,14.98,0.42,2.19
2022,10,11,6.31,15.28,0.41,2.11
2022,10,12,5.49,13.8,0.38,1.96
2022,10,13,5.24,13.16,0.36,1.87
2022,10,14,5.68,13.72,0.37,1.9
2022,10,15,6.03,14.37,0.37,1.91
2022,10,16,6.08,14.13,0.36,1.82
2022,10,17,6.02,14.1,0.36,1.82
2022,10,18,5.63,12.95,0.34,-999.0
2022,10,19,3.13,8.28,0.23,1.16
2022,10,20,1.22,3.67,0.09,0.48
2022,10,21,1.58,4.84,0.13,0.67
2022,10,22,5.39,13.41,0.34,1.75
2022,10,23,5.44,13.02,0.33,1.69
2022,10,24,4.94,11.6,0.3,1.57
2022,10,25,2.59,6.57,0.18,0.95
2022,10,26,2.82,7.84,0.22,1.13
2022,10,27,3.3,11.09,0.3,1.59
2022,10,28,3.67,10.3,0.27,1.41
2022,10,29,3.12,8.45,0.23,1.2
2022,10,30,4.33,11.74,0.33,1.71
2022,10,31,4.66,12.7,0.35,1.84
2022,11,1,5.48,12.73,0.33,1.72
2022,11,2,5.83,13.27,0.34,1.73
2022,11,3,5.66,12.95,0.32,1.65
2022,11,4,5.49,14.15,0.36,1.85
2022,11,5,4.97,12.26,0.3,1.55
2022,11,6,4.02,9.9,0.24,1.27
2022,11,7,4.03,10.01,0.24,1.25
2022,11,8,4.52,11.2,0.27,1.39
2022,11,9,4.81,11.78,0.28,1.45
2022,11,10,3.69,10.14,0.26,1.35
2022,11,11,3.41,10.3,0.27,1.45
2022,11,12,3.79,9.32,0.24,1.28
2022,11,13,3.93,9.7,0.25,1.3
2022,11,14,2.02,5.63,0.16,0.81
2022,11,15,2.6,7.09,0.2,1.06
2022,11,16,3.09,8.16,0.22,1.21
2022,11,17,3.55,9.18,0.25,1.34
2022,11,18,3.06,8.12,0.23,1.22
2022,11,19,2.35,6.55,0.19,1.03
2022,11,20,2.44,7.98,0.21,1.13
2022,11,21,3.25,9.67,0.25,1.33
2022,11,22,3.58,9.92,0.25,1.28
2022,11,23,2.4,8.3,0.22,1.18
2022,11,24,1.4,5.41,0.15,0.81
2022,11,25,1.84,6.12,0.16,0.85
2022,11,26,1.51,5.48,0.15,0.77
2022,11,27,3.01,9.54,0.24,1.28
2022,11,28,3.77,10.99,0.27,1.42
2022,11,29,4.22,11.88,0.3,1.53
2022,11,30,2.94,9.18,0.23,1.23
2022,12,1,0.86,3.62,0.09,0.51
2022,12,2,1.94,6.8,0.18,0.94
2022,12,3,2.28,7.86,0.2,1.07
2022,12,4,1.36,5.1,0.13,0.7
2022,12,5,2.62,8.54,0.23,1.27
2022,12,6,2.19,6.89,0.19,1.01
2022,12,7,1.14,3.97,0.11,0.59
2022,12,8,0.96,3.41,0.1,0.55
2022,12,9,0.83,3.09,0.09,0.48
2022,12,10,0.93,3.4,0.09,0.52
2022,12,11,1.79,5.55,0.15,0.8
2022,12,12,3.04,7.62,0.2,1.1
2022,12,13,4.1,9.61,0.24,1.27
2022,12,14,3.93,9.27,0.23,1.2
2022,12,15,4.53,10.32,0.26,1.34
2022,12,16,4.12,9.28,0.23,1.2
2022,12,17,2.44,6.67,0.19,1.02
2022,12,18,4.65,10.62,0.25,1.26
2022,12,19,4.74,10.66,0.23,1.17
2022,12,20,4.44,10.27,0.23,1.16
2022,12,21,3.37,7.65,0.17,0.89
2022,12,22,3.92,8.3,0.18,0.89
2022,12,23,3.79,8.27,0.17,0.88
2022,12,24,3.79,8.01,0.17,0.88
2022,12,25,3.53,7.98,0.18,0.92
2022,12,26,1.36,3.82,0.09,0.5
2022,12,27,0.95,2.75,0.07,0.37
2022,12,28,0.63,1.75,0.05,0.23
2022,12,29,0.99,2.73,0.07,0.36
2022,12,30,1.65,4.33,0.1,0.55
2022,12,31,1.31,3.75,0.09,0.48
