-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.422   Longitude 105.2297 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 183.34 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.61,25.52,24.25,24.88,25.5,19.35,92.75,6.29,98.74,1.72,89.75,2.66,89.75,0.85
2022,275,2.03,25.61,24.51,25.05,25.55,19.59,93.69,6.52,98.86,1.51,121.06,2.47,121.19,0.85
2022,276,2.15,25.96,23.99,24.98,26.01,18.92,89.44,1.13,99.04,1.45,121.19,2.29,121.12,0.84
2022,277,2.53,25.78,22.73,24.26,25.55,17.52,84.12,0.17,99.19,0.75,167.0,1.27,167.5,0.84
2022,278,2.47,26.4,23.56,24.98,26.47,18.43,85.0,1.25,99.18,0.9,162.12,1.44,162.44,0.83
2022,279,2.14,25.98,23.57,24.77,25.97,18.43,87.12,2.32,99.2,1.09,114.0,1.7,114.06,0.83
2022,280,2.07,25.26,23.05,24.15,25.02,17.82,87.94,2.46,99.27,1.66,134.88,2.48,135.06,0.82
2022,281,1.8,23.26,21.44,22.35,23.65,16.17,89.81,3.96,99.37,1.09,91.81,1.73,92.12,0.83
2022,282,1.13,23.33,21.61,22.48,23.29,16.36,90.25,5.6,99.64,2.2,75.94,3.45,75.94,0.83
2022,283,2.19,20.19,15.13,17.66,20.05,10.8,74.06,0.27,100.01,1.41,82.25,2.27,82.62,0.82
2022,284,2.11,21.07,14.15,17.62,20.32,10.19,66.12,0.0,99.63,1.12,161.06,1.84,161.81,0.81
2022,285,1.96,22.15,15.56,18.86,21.25,11.17,67.12,0.01,99.44,1.12,180.94,1.78,181.19,0.8
2022,286,1.87,22.75,15.67,19.21,21.66,11.23,65.38,0.13,99.35,1.13,190.0,1.82,190.5,0.8
2022,287,1.9,23.5,16.44,19.97,22.2,11.84,65.94,0.01,99.21,1.38,198.0,2.28,198.25,0.8
2022,288,1.91,23.54,16.06,19.8,21.71,11.54,64.19,0.0,99.2,1.43,179.5,2.3,179.75,0.79
2022,289,1.82,23.36,17.51,20.44,22.22,12.7,70.5,0.0,99.38,1.58,155.0,2.7,155.06,0.79
2022,290,1.82,22.79,18.15,20.47,22.2,13.12,75.88,0.0,99.44,2.05,166.25,3.5,181.06,0.78
2022,291,-999.0,21.43,15.33,18.38,20.4,10.99,69.56,0.0,99.49,1.91,138.12,3.21,138.06,0.77
2022,292,1.16,19.5,13.13,16.31,19.05,9.52,68.62,0.6,99.52,1.26,125.19,2.23,125.38,0.77
2022,293,0.48,17.19,15.28,16.23,17.51,10.93,88.62,16.2,99.64,1.52,252.31,2.27,252.25,0.82
2022,294,0.67,20.7,18.89,19.8,20.97,13.79,89.69,3.42,99.66,1.14,234.0,1.81,234.44,0.8
