-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  13.0882   Longitude 109.0929 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 68.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.53,10.16,0.27,1.38
2022,10,2,5.69,15.01,0.43,2.2
2022,10,3,4.15,12.09,0.37,1.86
2022,10,4,1.84,6.04,0.2,1.0
2022,10,5,4.88,13.59,0.39,1.99
2022,10,6,5.37,14.56,0.42,2.15
2022,10,7,5.35,14.45,0.41,2.12
2022,10,8,5.27,14.48,0.41,2.11
2022,10,9,4.43,12.7,0.36,1.83
2022,10,10,2.31,7.22,0.22,1.09
2022,10,11,3.25,9.86,0.29,1.45
2022,10,12,3.31,9.36,0.26,1.32
2022,10,13,0.53,1.85,0.05,0.24
2022,10,14,1.33,4.41,0.12,0.6
2022,10,15,5.25,14.42,0.41,2.08
2022,10,16,4.02,11.2,0.31,1.56
2022,10,17,5.27,12.8,0.34,1.75
2022,10,18,5.72,13.98,0.38,1.91
2022,10,19,5.63,13.98,0.38,1.94
2022,10,20,4.81,12.82,0.35,1.8
2022,10,21,5.07,13.27,0.37,1.87
2022,10,22,4.93,13.54,0.38,1.88
2022,10,23,2.48,7.82,0.23,1.13
2022,10,24,4.61,12.17,0.34,1.72
2022,10,25,3.64,10.53,0.3,1.52
2022,10,26,4.04,11.42,0.31,1.6
2022,10,27,1.06,3.7,0.09,0.48
2022,10,28,3.22,9.22,0.24,1.24
2022,10,29,2.75,8.32,0.23,1.2
2022,10,30,2.76,8.05,0.23,1.16
2022,10,31,4.64,11.77,0.32,1.66
2022,11,1,4.96,12.01,0.33,1.67
2022,11,2,5.22,12.97,0.35,1.82
2022,11,3,4.57,11.39,0.3,1.55
2022,11,4,2.58,7.67,0.22,1.11
2022,11,5,3.91,10.72,0.3,1.51
2022,11,6,4.44,11.67,0.32,1.66
2022,11,7,3.93,10.52,0.29,1.48
2022,11,8,4.21,11.25,0.3,1.55
2022,11,9,5.18,13.23,0.35,1.81
2022,11,10,4.14,11.2,0.31,1.6
2022,11,11,4.91,12.65,0.34,1.77
2022,11,12,2.74,8.45,0.24,1.27
2022,11,13,2.6,7.85,0.22,1.14
2022,11,14,4.69,12.41,0.35,1.82
2022,11,15,4.59,12.09,0.34,1.78
2022,11,16,4.77,12.55,0.36,1.88
2022,11,17,4.93,12.84,0.36,1.91
2022,11,18,4.65,12.27,0.35,1.88
2022,11,19,1.66,5.37,0.16,0.84
2022,11,20,0.55,1.98,0.05,0.29
2022,11,21,2.57,7.84,0.24,1.3
2022,11,22,1.91,6.12,0.19,1.01
2022,11,23,4.01,11.04,0.32,1.72
2022,11,24,5.26,13.34,0.38,1.99
2022,11,25,4.15,11.05,0.32,1.72
2022,11,26,2.49,7.52,0.23,1.24
2022,11,27,4.36,11.62,0.32,1.71
2022,11,28,5.34,13.55,0.37,1.91
2022,11,29,5.51,13.61,0.37,1.91
2022,11,30,4.44,11.61,0.32,1.7
2022,12,1,4.49,11.77,0.32,1.71
2022,12,2,3.86,10.54,0.3,1.59
2022,12,3,2.5,7.66,0.22,1.19
2022,12,4,1.26,4.24,0.12,0.68
2022,12,5,3.65,9.89,0.29,1.59
2022,12,6,2.8,8.14,0.25,1.34
2022,12,7,2.03,6.45,0.19,1.05
2022,12,8,3.25,8.88,0.27,1.46
2022,12,9,4.42,11.36,0.34,1.89
2022,12,10,3.21,8.84,0.27,1.54
2022,12,11,4.01,10.39,0.3,1.66
2022,12,12,2.35,6.7,0.2,1.1
2022,12,13,2.76,7.32,0.21,1.17
2022,12,14,1.27,4.09,0.12,0.68
2022,12,15,1.91,5.73,0.16,0.9
2022,12,16,2.09,6.4,0.2,1.05
2022,12,17,2.4,7.17,0.23,1.27
2022,12,18,2.16,6.34,0.2,1.12
2022,12,19,1.37,4.51,0.15,0.82
2022,12,20,3.11,8.61,0.26,1.44
2022,12,21,3.24,8.74,0.27,1.48
2022,12,22,3.05,8.3,0.24,1.34
2022,12,23,3.71,9.26,0.27,1.42
2022,12,24,4.15,10.05,0.28,1.55
2022,12,25,4.65,11.37,0.33,1.77
2022,12,26,3.89,10.07,0.29,1.61
2022,12,27,3.37,9.3,0.27,1.52
2022,12,28,4.59,11.55,0.34,1.91
2022,12,29,3.64,9.66,0.28,1.54
2022,12,30,3.05,8.41,0.25,1.41
2022,12,31,2.08,6.12,0.18,1.01
