-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  13.0882   Longitude 109.0929 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 68.89 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.38,27.9,25.24,26.57,28.41,20.2,85.56,20.63,100.08,2.3,176.25,2.72,176.5,0.97
2022,275,2.2,27.83,24.82,26.32,28.48,19.71,83.75,6.1,100.06,2.8,114.12,3.33,114.06,0.95
2022,276,1.86,27.63,25.01,26.32,28.19,19.9,85.56,5.58,100.09,3.49,52.19,4.19,52.56,0.95
2022,277,1.0,27.08,23.74,25.41,28.08,18.43,82.19,22.49,100.31,2.72,53.94,3.26,54.56,0.97
2022,278,1.99,27.0,24.69,25.85,27.83,19.53,87.19,19.07,100.3,3.43,24.5,4.1,25.25,0.97
2022,279,2.15,27.12,22.97,25.04,27.99,17.58,78.5,7.32,100.31,1.54,214.44,1.8,218.69,0.97
2022,280,2.12,27.22,24.86,26.04,27.79,19.71,87.0,6.38,100.26,4.18,114.88,5.01,115.19,0.96
2022,281,2.11,27.26,24.28,25.77,27.89,19.04,83.75,4.4,100.31,2.73,67.31,3.26,53.38,0.96
2022,282,1.83,26.92,24.75,25.83,27.55,19.53,87.88,19.41,100.38,2.97,121.19,3.52,106.69,0.97
2022,283,1.09,27.12,25.3,26.21,27.34,20.26,89.81,61.12,100.4,4.8,108.81,5.82,109.12,1.0
2022,284,1.45,27.46,25.33,26.4,27.52,20.26,88.06,45.67,100.31,5.97,29.19,7.31,29.38,0.99
2022,285,1.32,27.3,23.65,25.48,27.37,18.31,80.5,9.02,100.24,7.46,35.31,9.18,35.44,0.98
2022,286,0.24,25.78,23.05,24.42,26.49,17.7,84.88,32.83,99.99,8.09,340.69,9.88,340.75,0.98
2022,287,0.6,25.07,22.31,23.69,26.18,17.03,84.69,21.1,99.54,7.11,279.69,8.67,279.44,0.98
2022,288,2.08,26.39,22.64,24.51,27.51,17.33,80.0,1.68,99.78,2.13,121.56,2.56,122.12,0.97
2022,289,1.56,26.99,24.02,25.51,27.69,18.8,83.81,8.08,100.09,3.53,32.0,4.27,32.31,0.97
2022,290,1.75,26.66,22.45,24.56,26.87,17.03,77.81,0.17,100.17,5.48,235.06,6.61,235.31,0.95
2022,291,1.91,26.36,21.73,24.05,26.69,16.3,75.94,0.06,100.1,5.59,217.88,6.75,218.12,0.95
2022,292,1.94,26.01,21.84,23.92,27.02,16.42,78.06,0.23,100.12,3.61,172.81,4.27,172.81,0.94
2022,293,1.8,26.02,22.9,24.46,27.12,17.46,82.94,0.28,100.37,3.76,42.75,4.46,43.44,0.93
2022,294,1.87,26.5,23.69,25.1,27.14,18.31,84.62,0.14,100.44,4.11,14.0,4.91,14.62,0.93
2022,295,1.88,26.8,24.29,25.54,26.96,18.98,86.12,2.38,100.42,3.34,28.31,4.02,28.75,0.93
2022,296,1.13,26.51,24.01,25.26,26.65,18.74,86.12,5.95,100.38,4.87,46.5,5.92,46.88,0.94
2022,297,1.72,26.32,23.84,25.08,26.75,18.55,86.38,3.31,100.2,5.35,234.62,6.44,234.94,0.93
2022,298,1.52,26.33,24.75,25.55,26.5,19.59,90.94,8.61,100.24,5.01,172.56,6.08,172.69,0.94
2022,299,1.6,26.55,25.0,25.77,26.62,19.9,91.06,22.76,100.24,4.02,32.0,4.89,32.31,0.96
2022,300,0.48,26.33,24.47,25.4,26.38,19.29,89.44,73.66,100.21,4.99,27.62,6.09,27.88,0.98
2022,301,1.24,26.31,23.48,24.89,26.48,18.13,84.44,4.31,100.17,7.09,19.5,8.72,19.81,0.95
2022,302,1.2,26.15,23.96,25.06,26.29,18.74,87.69,8.45,100.05,7.28,82.06,8.95,82.38,0.95
2022,303,1.16,25.9,22.94,24.42,26.22,17.58,83.81,2.86,100.02,7.29,221.94,8.92,222.12,0.95
2022,304,1.66,25.52,22.1,23.81,25.99,16.72,81.69,0.39,100.06,6.9,261.44,8.37,261.62,0.93
2022,305,1.67,24.99,20.92,22.95,25.68,15.5,78.44,0.05,100.2,5.77,190.06,6.92,190.25,0.93
2022,306,1.82,24.98,20.56,22.77,25.65,15.14,76.56,0.26,100.26,4.84,165.81,5.81,166.25,0.92
2022,307,1.55,25.47,21.23,23.35,26.28,15.75,77.44,0.66,100.37,3.16,47.12,3.77,47.56,0.91
2022,308,1.11,25.58,21.46,23.51,26.23,15.99,78.0,0.87,100.56,4.37,34.25,5.24,34.5,0.91
2022,309,1.51,25.55,21.55,23.55,25.85,16.05,78.56,0.03,100.66,4.48,15.81,5.42,16.19,0.91
2022,310,1.66,25.61,22.3,23.95,26.2,16.85,82.0,0.43,100.59,5.85,23.69,7.1,9.0,0.9
2022,311,1.48,25.73,22.87,24.3,26.38,17.46,84.31,0.34,100.48,6.06,197.56,7.34,182.94,0.89
2022,312,1.55,25.67,23.18,24.42,26.2,17.76,86.19,0.79,100.42,5.98,164.12,7.23,164.56,0.89
2022,313,1.81,26.39,24.12,25.26,26.56,18.8,87.44,0.61,100.4,4.47,55.94,5.43,41.5,0.88
2022,314,1.6,26.46,24.72,25.58,26.63,19.53,90.19,2.18,100.37,4.6,53.38,5.59,53.94,0.89
2022,315,1.77,26.41,24.7,25.56,26.45,19.53,90.31,2.57,100.36,4.71,27.25,5.74,12.69,0.89
2022,316,1.27,26.61,24.76,25.69,26.59,19.59,89.56,6.88,100.24,4.99,28.38,6.12,28.69,0.9
2022,317,1.14,26.54,25.32,25.93,26.48,20.26,93.0,17.71,100.27,4.08,41.19,5.02,41.62,0.93
2022,318,1.82,26.51,25.03,25.77,26.56,19.9,91.56,8.1,100.29,3.53,35.25,4.33,35.75,0.92
2022,319,1.78,26.75,24.49,25.62,26.77,19.29,87.44,7.1,100.25,4.19,33.06,5.11,33.5,0.91
2022,320,1.88,26.48,23.95,25.22,27.05,18.68,86.06,2.68,100.19,4.04,99.62,4.85,85.25,0.91
2022,321,1.91,26.95,25.24,26.1,27.08,20.2,90.44,5.13,100.12,3.76,19.12,4.56,19.81,0.91
2022,322,1.88,26.84,25.06,25.95,26.79,19.96,90.0,6.4,100.2,4.65,26.88,5.69,27.19,0.92
2022,323,0.84,26.26,24.33,25.3,26.43,19.1,89.06,24.63,100.11,5.95,33.12,7.29,33.31,0.95
2022,324,0.29,26.33,24.93,25.63,26.36,19.9,91.88,58.06,99.9,5.12,45.5,6.29,45.5,0.98
2022,325,1.3,26.01,24.29,25.15,26.44,19.1,90.19,22.46,99.84,2.73,87.44,3.28,86.94,0.97
2022,326,1.01,26.44,24.64,25.54,26.44,19.53,89.75,17.38,99.95,3.07,101.94,3.77,101.19,0.97
2022,327,1.72,26.72,24.09,25.4,27.19,18.86,85.62,5.51,100.1,2.98,146.19,3.56,145.5,0.95
2022,328,1.99,26.65,23.69,25.17,26.96,18.37,83.88,2.16,100.27,2.51,142.38,3.02,141.69,0.95
