-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  17.6103   Longitude 106.3487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 330.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.54,10.37,0.31,1.58
2022,10,2,1.68,5.56,0.17,0.85
2022,10,3,4.33,12.05,0.36,1.84
2022,10,4,3.81,11.06,0.34,1.7
2022,10,5,4.83,13.02,0.38,1.91
2022,10,6,3.39,9.74,0.26,1.32
2022,10,7,3.5,10.11,0.28,1.43
2022,10,8,2.72,8.21,0.23,1.17
2022,10,9,2.99,9.09,0.27,1.34
2022,10,10,1.67,5.32,0.16,0.8
2022,10,11,3.74,10.16,0.29,1.48
2022,10,12,5.3,13.38,0.36,1.86
2022,10,13,4.45,11.62,0.32,1.65
2022,10,14,1.71,4.95,0.13,0.68
2022,10,15,1.02,3.38,0.09,0.47
2022,10,16,4.6,11.55,0.31,1.59
2022,10,17,5.42,12.91,0.34,1.73
2022,10,18,3.78,8.99,0.23,1.2
2022,10,19,1.17,3.89,0.11,0.56
2022,10,20,1.72,5.56,0.16,0.81
2022,10,21,2.42,7.05,0.2,1.05
2022,10,22,2.63,7.77,0.21,1.09
2022,10,23,5.45,13.0,0.34,1.73
2022,10,24,4.93,12.19,0.33,1.68
2022,10,25,0.89,2.99,0.07,0.38
2022,10,26,3.14,9.13,0.26,1.32
2022,10,27,3.43,9.48,0.27,1.37
2022,10,28,3.53,9.38,0.26,1.34
2022,10,29,3.16,8.32,0.23,1.17
2022,10,30,3.01,8.15,0.23,1.2
2022,10,31,3.39,8.87,0.25,1.3
2022,11,1,4.53,10.66,0.28,1.49
2022,11,2,5.36,12.28,0.32,1.66
2022,11,3,5.53,12.8,0.33,1.68
2022,11,4,2.29,6.23,0.16,0.86
2022,11,5,4.17,10.63,0.28,1.43
2022,11,6,4.78,11.73,0.3,1.56
2022,11,7,4.78,11.63,0.3,1.55
2022,11,8,4.18,10.53,0.27,1.42
2022,11,9,2.11,6.32,0.17,0.9
2022,11,10,1.92,5.9,0.16,0.85
2022,11,11,4.11,10.65,0.27,1.43
2022,11,12,3.71,9.95,0.27,1.44
2022,11,13,2.23,6.59,0.2,1.02
2022,11,14,3.0,8.37,0.23,1.27
2022,11,15,2.74,7.86,0.23,1.19
2022,11,16,3.77,9.9,0.28,1.48
2022,11,17,3.71,9.82,0.28,1.52
2022,11,18,4.23,10.85,0.3,1.66
2022,11,19,3.05,8.41,0.24,1.34
2022,11,20,2.12,6.41,0.19,1.0
2022,11,21,2.78,7.95,0.23,1.23
2022,11,22,1.02,3.36,0.09,0.46
2022,11,23,2.17,6.72,0.19,1.02
2022,11,24,2.63,7.73,0.22,1.19
2022,11,25,2.92,8.08,0.23,1.21
2022,11,26,3.21,8.91,0.25,1.36
2022,11,27,4.3,11.02,0.3,1.59
2022,11,28,5.07,12.52,0.34,1.75
2022,11,29,4.89,12.14,0.32,1.69
2022,11,30,4.4,11.08,0.3,1.55
2022,12,1,2.5,6.82,0.19,1.02
2022,12,2,1.58,4.65,0.13,0.74
2022,12,3,1.6,4.96,0.15,0.85
2022,12,4,1.64,4.97,0.14,0.79
2022,12,5,1.02,3.16,0.09,0.53
2022,12,6,1.22,3.69,0.11,0.6
2022,12,7,1.22,3.78,0.11,0.6
2022,12,8,1.03,3.34,0.1,0.55
2022,12,9,1.12,3.48,0.1,0.57
2022,12,10,2.95,7.85,0.23,1.25
2022,12,11,1.41,4.14,0.12,0.68
2022,12,12,0.75,2.28,0.07,0.37
2022,12,13,3.42,8.08,0.23,1.26
2022,12,14,2.82,7.03,0.2,1.12
2022,12,15,2.69,7.04,0.2,1.12
2022,12,16,1.86,5.37,0.16,0.86
2022,12,17,0.53,1.66,0.05,0.27
2022,12,18,1.15,3.14,0.09,0.52
2022,12,19,1.25,3.67,0.11,0.6
2022,12,20,3.06,8.1,0.23,1.24
2022,12,21,1.41,4.02,0.11,0.61
2022,12,22,3.79,8.77,0.23,1.18
2022,12,23,3.4,8.37,0.2,1.09
2022,12,24,1.06,3.26,0.09,0.48
2022,12,25,1.55,4.49,0.12,0.66
2022,12,26,2.3,6.18,0.17,0.95
2022,12,27,1.67,4.81,0.13,0.71
2022,12,28,2.45,6.68,0.19,1.04
2022,12,29,0.83,2.55,0.08,0.43
2022,12,30,1.0,3.07,0.09,0.51
2022,12,31,1.03,3.02,0.09,0.52
