-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  17.6103   Longitude 106.3487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 330.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.58,25.42,24.13,24.78,25.52,19.53,93.12,15.13,97.1,0.34,124.88,1.36,128.25,0.96
2022,275,0.85,24.59,23.87,24.23,24.7,19.17,95.81,35.07,97.2,0.38,106.31,1.71,94.62,0.98
2022,276,1.84,24.76,23.37,24.07,24.9,18.55,92.38,2.45,97.33,0.34,98.62,1.83,87.69,0.97
2022,277,1.7,24.57,23.14,23.85,24.71,18.25,92.12,5.47,97.48,0.28,50.25,1.69,52.56,0.97
2022,278,1.91,24.77,23.04,23.9,24.83,18.19,90.69,3.88,97.49,0.27,67.25,1.36,62.12,0.96
2022,279,1.32,25.04,23.57,24.3,25.15,18.74,92.06,10.49,97.47,0.3,60.75,1.73,56.19,0.96
2022,280,1.43,24.35,22.61,23.48,24.44,17.7,90.75,10.45,97.51,0.3,47.62,1.6,47.25,0.96
2022,281,1.17,24.8,23.26,24.03,24.83,18.43,91.69,23.32,97.49,0.38,72.88,1.81,66.75,0.96
2022,282,1.34,24.44,23.69,24.07,24.58,18.86,95.56,56.78,97.66,0.44,43.5,2.52,42.69,0.98
2022,283,0.8,22.12,20.9,21.51,22.32,15.93,92.88,52.36,97.89,0.73,23.75,4.06,26.38,0.98
2022,284,1.48,21.35,19.06,20.2,21.51,14.16,87.38,1.98,97.79,0.52,16.5,2.86,21.44,0.98
2022,285,1.86,21.31,18.37,19.84,21.45,13.55,84.25,0.08,97.66,0.46,22.5,2.45,25.25,0.96
2022,286,1.65,21.19,18.17,19.68,21.33,13.43,83.75,0.03,97.54,0.5,17.88,2.66,21.69,0.95
2022,287,0.68,20.81,19.12,19.97,20.98,14.28,90.38,54.12,97.29,0.62,6.62,3.3,9.5,0.96
2022,288,0.47,21.66,20.76,21.21,21.8,15.87,94.56,97.1,97.17,0.77,23.69,4.65,22.31,0.99
2022,289,1.59,21.97,19.31,20.64,22.01,14.47,85.81,7.64,97.51,0.55,44.19,3.01,33.88,0.98
2022,290,1.73,21.12,18.87,19.99,21.26,14.04,87.75,0.11,97.51,0.55,273.5,2.78,207.56,0.96
2022,291,1.2,21.61,18.53,20.07,21.71,13.73,83.25,0.48,97.51,0.66,8.06,3.62,13.81,0.95
2022,292,0.56,18.8,17.23,18.01,19.11,12.63,90.81,8.74,97.55,0.73,165.44,3.71,126.38,0.95
2022,293,0.81,18.02,16.56,17.3,18.44,12.15,91.81,6.04,97.62,0.67,323.12,2.95,336.69,0.95
2022,294,1.05,21.29,20.07,20.68,21.59,15.32,93.12,14.18,97.7,0.54,169.19,2.62,166.0,0.95
2022,295,1.09,22.45,21.26,21.85,22.57,16.24,93.19,20.19,97.75,0.46,16.81,2.73,22.81,0.96
2022,296,1.73,22.85,20.19,21.51,22.65,15.2,85.88,0.02,97.68,0.39,33.5,1.93,25.69,0.95
2022,297,1.68,22.83,20.52,21.68,22.77,15.62,87.88,12.22,97.55,0.39,137.06,1.96,130.44,0.95
2022,298,0.38,23.71,23.13,23.42,23.79,18.25,96.56,88.65,97.54,0.47,95.31,2.62,90.75,0.98
2022,299,1.32,23.8,22.41,23.11,23.87,17.46,92.31,16.81,97.57,0.42,72.75,2.57,65.12,0.98
2022,300,1.37,23.31,21.59,22.45,23.41,16.6,90.62,7.82,97.55,0.38,76.94,2.33,69.44,0.97
2022,301,1.34,22.43,20.6,21.51,22.56,15.62,90.06,1.46,97.58,0.4,45.94,2.55,44.62,0.96
2022,302,1.17,22.54,20.49,21.51,22.64,15.5,88.62,0.25,97.55,0.55,33.5,3.36,35.56,0.95
2022,303,1.2,22.0,19.81,20.9,22.1,14.89,87.75,0.04,97.49,0.55,13.0,3.28,20.5,0.95
2022,304,1.3,21.12,18.62,19.87,21.24,13.79,86.0,0.02,97.56,0.63,150.56,3.52,8.69,0.94
