-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  15.5394   Longitude 108.0191 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,3.64,10.61,0.3,1.54
2022,10,2,5.24,14.28,0.41,2.12
2022,10,3,3.92,11.38,0.34,1.76
2022,10,4,1.77,5.62,0.16,0.79
2022,10,5,4.79,13.2,0.38,1.91
2022,10,6,5.33,14.42,0.41,2.11
2022,10,7,5.24,13.88,0.39,2.01
2022,10,8,5.27,14.21,0.41,2.07
2022,10,9,3.67,10.85,0.32,1.63
2022,10,10,0.62,2.07,0.05,0.29
2022,10,11,2.2,6.95,0.21,1.05
2022,10,12,3.21,9.05,0.26,1.32
2022,10,13,2.02,6.1,0.17,0.85
2022,10,14,0.5,1.67,0.05,0.23
2022,10,15,3.53,10.34,0.3,1.51
2022,10,16,2.07,6.36,0.18,0.92
2022,10,17,5.33,12.88,0.34,1.74
2022,10,18,3.06,7.66,0.2,1.03
2022,10,19,2.45,7.48,0.22,1.09
2022,10,20,5.39,13.82,0.37,1.84
2022,10,21,5.17,13.34,0.35,1.79
2022,10,22,2.37,7.5,0.21,1.08
2022,10,23,3.9,10.4,0.29,1.48
2022,10,24,3.67,9.93,0.27,1.41
2022,10,25,1.93,6.16,0.17,0.9
2022,10,26,2.7,8.3,0.24,1.23
2022,10,27,3.19,9.27,0.27,1.34
2022,10,28,3.85,10.36,0.28,1.43
2022,10,29,2.2,6.47,0.18,0.92
2022,10,30,2.86,8.09,0.23,1.17
2022,10,31,4.53,11.23,0.3,1.59
2022,11,1,4.16,10.23,0.28,1.44
2022,11,2,5.62,13.38,0.36,1.85
2022,11,3,5.47,12.93,0.34,1.71
2022,11,4,5.31,12.74,0.33,1.7
2022,11,5,4.06,10.84,0.3,1.52
2022,11,6,3.04,8.64,0.24,1.23
2022,11,7,2.9,8.31,0.23,1.2
2022,11,8,3.83,10.48,0.28,1.45
2022,11,9,3.62,9.99,0.27,1.39
2022,11,10,3.27,9.2,0.25,1.29
2022,11,11,4.32,11.27,0.3,1.55
2022,11,12,2.45,7.36,0.21,1.09
2022,11,13,3.47,9.71,0.28,1.46
2022,11,14,4.13,11.12,0.32,1.7
2022,11,15,3.98,10.62,0.3,1.57
2022,11,16,3.78,10.29,0.3,1.56
2022,11,17,3.71,10.05,0.29,1.52
2022,11,18,4.33,11.24,0.32,1.72
2022,11,19,1.71,5.23,0.15,0.82
2022,11,20,2.22,6.76,0.2,1.08
2022,11,21,1.75,5.63,0.16,0.89
2022,11,22,3.09,9.05,0.26,1.41
2022,11,23,3.26,9.26,0.27,1.43
2022,11,24,4.34,11.49,0.33,1.74
2022,11,25,3.52,9.44,0.27,1.44
2022,11,26,2.31,6.92,0.2,1.04
2022,11,27,4.09,10.73,0.3,1.57
2022,11,28,5.29,13.23,0.36,1.85
2022,11,29,5.36,13.17,0.35,1.84
2022,11,30,4.91,12.39,0.34,1.79
2022,12,1,3.78,9.82,0.27,1.43
2022,12,2,2.09,6.29,0.18,0.98
2022,12,3,1.85,5.73,0.16,0.91
2022,12,4,2.6,7.58,0.23,1.3
2022,12,5,1.73,5.3,0.16,0.88
2022,12,6,1.69,5.06,0.16,0.84
2022,12,7,2.39,6.76,0.2,1.11
2022,12,8,2.18,6.41,0.2,1.07
2022,12,9,2.03,6.11,0.19,1.04
2022,12,10,1.75,5.28,0.16,0.9
2022,12,11,1.46,4.46,0.13,0.75
2022,12,12,2.1,5.77,0.17,0.96
2022,12,13,1.89,5.14,0.15,0.83
2022,12,14,1.0,3.12,0.09,0.51
2022,12,15,2.73,7.13,0.2,1.11
2022,12,16,1.75,5.35,0.16,0.94
2022,12,17,1.14,3.58,0.11,0.62
2022,12,18,0.8,2.57,0.08,0.45
2022,12,19,1.6,4.79,0.15,0.84
2022,12,20,2.02,6.12,0.19,1.05
2022,12,21,1.54,4.73,0.14,0.8
2022,12,22,2.52,6.76,0.19,1.02
2022,12,23,3.87,9.77,0.26,1.39
2022,12,24,3.65,9.05,0.24,1.3
2022,12,25,3.68,9.26,0.26,1.38
2022,12,26,2.56,6.91,0.2,1.06
2022,12,27,3.34,8.76,0.25,1.35
2022,12,28,2.16,6.29,0.19,1.02
2022,12,29,1.66,5.0,0.15,0.84
2022,12,30,2.13,5.95,0.18,0.98
2022,12,31,2.76,7.04,0.2,1.11
