-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  15.5394   Longitude 108.0191 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 405.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.54,25.94,23.51,24.73,25.92,18.98,87.88,11.11,96.33,0.56,133.75,1.3,137.62,0.9
2022,275,2.12,24.74,23.44,24.09,24.8,18.86,92.81,12.62,96.37,0.78,101.0,2.03,95.12,0.91
2022,276,1.76,24.31,22.5,23.4,24.34,17.76,90.25,3.24,96.49,0.63,80.19,1.63,80.38,0.88
2022,277,0.79,24.34,22.05,23.2,24.0,17.27,87.56,13.08,96.65,0.55,62.88,1.21,62.62,0.91
2022,278,1.91,24.03,21.76,22.9,23.64,16.97,87.75,4.75,96.67,0.45,118.62,1.06,120.88,0.89
2022,279,2.11,24.97,21.78,23.37,24.45,17.03,83.75,10.67,96.64,0.48,113.19,1.05,132.31,0.91
2022,280,2.01,24.62,22.07,23.34,24.53,17.27,86.81,4.78,96.64,0.68,162.69,1.68,163.12,0.89
2022,281,2.07,25.13,22.07,23.6,24.95,17.33,84.56,13.82,96.66,0.56,63.62,1.41,65.19,0.91
2022,282,1.63,24.37,23.72,24.05,24.33,19.1,96.19,57.34,96.75,0.75,41.31,1.97,39.12,0.96
2022,283,0.29,23.69,23.09,23.4,23.69,18.37,96.44,140.31,96.85,1.33,35.0,3.53,34.81,1.0
2022,284,1.05,22.74,21.3,22.02,22.85,16.48,91.94,64.24,96.82,1.31,17.25,3.45,17.88,0.98
2022,285,1.32,22.43,20.38,21.4,22.56,15.56,88.88,6.55,96.73,0.98,71.25,2.55,70.75,0.95
2022,286,0.85,21.41,19.51,20.46,21.49,14.77,89.38,5.58,96.57,1.02,259.38,2.62,241.5,0.95
2022,287,0.23,21.93,21.36,21.64,21.98,16.78,96.69,301.23,96.1,1.51,206.38,3.95,202.94,1.0
2022,288,1.51,24.17,23.33,23.75,24.14,18.8,95.25,78.5,96.04,1.09,78.06,2.75,73.62,0.98
2022,289,0.92,23.1,21.67,22.38,23.05,16.91,92.0,34.14,96.52,1.12,133.81,3.03,119.88,0.98
2022,290,1.74,21.53,18.72,20.12,21.51,14.04,85.25,0.06,96.56,1.05,323.44,2.83,322.94,0.96
2022,291,1.03,21.75,18.89,20.32,21.79,14.22,84.94,1.27,96.51,1.16,329.81,3.09,329.38,0.95
2022,292,1.09,20.73,19.16,19.95,20.92,14.47,91.06,11.67,96.47,1.29,319.75,3.29,322.25,0.95
2022,293,1.84,22.55,19.9,21.23,22.74,15.14,86.25,0.62,96.64,0.66,203.88,1.73,195.38,0.95
2022,294,1.79,23.36,20.99,22.17,23.46,16.17,87.75,2.78,96.77,0.69,249.25,1.69,220.44,0.94
2022,295,1.08,23.98,22.68,23.33,24.01,17.94,92.88,22.01,96.74,1.09,107.25,2.94,119.44,0.95
2022,296,1.48,23.26,20.94,22.11,23.3,16.11,87.81,0.87,96.78,0.82,70.44,2.11,70.5,0.94
2022,297,1.41,22.91,21.01,21.96,22.94,16.17,89.62,11.08,96.64,0.85,285.75,2.16,240.62,0.94
2022,298,0.9,23.37,22.9,23.13,23.3,18.19,97.31,65.52,96.66,0.88,120.94,2.26,118.81,0.98
2022,299,1.23,23.47,22.69,23.08,23.44,17.94,95.56,23.95,96.67,1.03,61.69,2.69,61.44,0.97
2022,300,1.34,23.1,21.42,22.26,23.19,16.6,90.88,6.57,96.67,0.96,48.44,2.53,47.38,0.96
2022,301,1.43,22.42,20.55,21.49,22.48,15.75,89.88,2.96,96.67,1.13,33.44,3.05,33.31,0.95
2022,302,0.92,22.37,20.98,21.68,22.41,16.17,92.19,4.21,96.58,1.32,26.94,3.56,27.06,0.95
2022,303,1.17,22.12,20.12,21.12,22.19,15.32,89.19,0.76,96.52,1.12,120.38,2.97,106.94,0.94
2022,304,1.59,21.63,19.3,20.47,21.69,14.59,87.31,0.14,96.53,1.41,336.38,3.73,337.12,0.93
2022,305,1.44,20.31,17.9,19.1,20.32,13.31,86.81,0.08,96.58,1.12,329.75,2.9,329.94,0.92
2022,306,1.85,19.96,16.52,18.24,19.74,12.21,82.44,0.02,96.56,0.87,323.62,2.14,324.19,0.91
2022,307,1.71,20.32,16.56,18.44,20.13,12.27,81.12,0.02,96.64,0.73,227.19,1.75,188.38,0.91
2022,308,1.7,21.2,18.62,19.91,21.08,13.92,86.12,0.04,96.86,0.73,147.38,1.79,149.12,0.91
2022,309,1.52,21.92,19.87,20.89,21.93,15.01,88.94,0.24,96.98,0.74,37.88,1.88,39.38,0.91
2022,310,1.23,21.86,19.83,20.84,22.0,14.95,89.06,0.35,96.95,0.85,62.0,2.23,65.31,0.9
2022,311,1.2,21.58,19.37,20.48,21.7,14.59,88.25,0.18,96.86,0.84,218.0,2.12,205.56,0.9
2022,312,1.45,21.89,19.82,20.85,22.05,15.01,89.06,0.39,96.81,0.86,202.38,2.2,189.25,0.89
