-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  15.1214   Longitude 108.8044 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 248.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.54,26.57,24.81,25.69,26.77,20.14,90.75,14.66,98.07,1.34,136.0,2.33,135.81,0.97
2022,275,2.12,25.87,24.28,25.08,26.17,19.47,91.25,9.62,98.1,1.35,118.5,2.59,114.69,0.97
2022,276,1.76,25.61,23.53,24.57,25.9,18.62,88.69,5.78,98.2,0.91,55.88,1.78,57.94,0.96
2022,277,0.79,25.33,22.86,24.09,25.52,17.82,86.69,22.46,98.37,0.82,73.12,1.51,70.81,0.98
2022,278,1.91,24.72,23.14,23.93,25.01,18.19,91.38,7.64,98.38,0.97,336.88,1.69,265.5,0.97
2022,279,2.11,25.97,22.72,24.34,26.08,17.7,83.62,7.07,98.35,0.78,173.25,1.39,169.81,0.97
2022,280,2.01,25.48,23.37,24.43,25.84,18.43,88.75,8.35,98.36,1.23,172.31,2.34,160.25,0.96
2022,281,2.07,26.19,23.26,24.73,26.4,18.31,84.94,14.35,98.38,1.01,80.81,1.91,85.38,0.96
2022,282,1.63,25.58,24.63,25.11,25.83,19.84,94.62,74.97,98.46,1.1,28.75,2.11,27.94,0.99
2022,283,0.29,25.18,24.29,24.73,25.49,19.41,94.81,180.83,98.54,1.88,31.44,3.85,32.38,1.0
2022,284,1.05,24.76,23.38,24.07,25.13,18.37,92.25,124.37,98.48,2.16,15.38,4.52,16.19,1.0
2022,285,1.32,24.27,22.05,23.16,24.66,16.97,87.75,25.24,98.42,2.06,194.19,4.13,165.69,0.99
2022,286,0.85,22.89,21.3,22.1,23.48,16.24,91.06,19.5,98.23,2.28,336.44,4.51,337.44,0.98
2022,287,0.23,23.91,23.15,23.53,24.34,18.43,95.75,298.19,97.64,3.0,175.12,6.2,217.5,1.0
2022,288,1.51,25.44,23.68,24.56,25.68,18.86,90.56,22.09,97.76,1.37,91.56,2.57,87.69,0.98
2022,289,0.92,24.52,23.02,23.77,24.74,18.07,91.5,30.71,98.2,1.84,130.94,3.66,132.81,0.99
2022,290,1.74,23.52,20.55,22.04,23.94,15.5,84.56,0.23,98.24,2.09,317.38,4.11,319.75,0.97
2022,291,1.03,23.4,20.19,21.8,23.89,15.2,83.25,0.2,98.18,2.24,320.12,4.49,322.0,0.95
2022,292,1.09,22.83,20.46,21.65,23.58,15.44,87.12,2.11,98.14,2.45,312.56,4.66,315.25,0.95
2022,293,1.84,23.95,20.76,22.35,24.44,15.69,83.5,0.3,98.39,1.08,220.56,1.88,182.94,0.94
2022,294,1.79,24.38,21.98,23.18,24.82,16.91,87.5,1.22,98.5,1.49,326.69,2.67,330.44,0.94
2022,295,1.08,25.3,23.53,24.41,25.46,18.55,90.44,10.39,98.46,1.24,96.94,2.52,96.19,0.95
2022,296,1.48,24.46,22.15,23.31,24.69,17.03,87.69,2.8,98.48,1.66,250.44,3.27,237.19,0.93
2022,297,1.41,24.23,22.42,23.33,24.54,17.4,90.19,7.81,98.33,1.78,330.25,3.46,332.62,0.94
2022,298,0.9,24.57,23.99,24.28,24.69,19.1,96.69,49.77,98.37,1.27,121.38,2.52,135.56,0.97
2022,299,1.23,24.62,23.82,24.22,24.74,18.86,95.38,44.37,98.38,1.48,48.81,2.97,49.12,0.98
2022,300,1.34,24.4,22.59,23.5,24.62,17.52,90.06,21.09,98.38,1.55,29.31,3.2,30.06,0.97
2022,301,1.43,23.94,21.98,22.95,24.16,16.91,89.25,9.48,98.36,1.91,16.5,4.03,18.12,0.96
2022,302,0.92,23.95,22.16,23.05,24.12,17.09,90.0,6.41,98.26,2.16,11.25,4.61,13.06,0.95
2022,303,1.17,23.44,21.23,22.33,23.69,16.11,87.81,1.78,98.2,2.16,331.88,4.41,259.25,0.95
