-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.9599   Longitude 107.0425 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,0.8,2.85,0.08,0.41
2022,10,2,3.19,9.69,0.28,1.42
2022,10,3,6.13,15.86,0.45,2.31
2022,10,4,5.29,14.45,0.41,2.13
2022,10,5,5.97,15.39,0.42,2.15
2022,10,6,5.98,15.34,0.41,2.09
2022,10,7,3.52,10.3,0.27,1.4
2022,10,8,2.55,7.98,0.23,1.14
2022,10,9,1.24,4.23,0.12,0.57
2022,10,10,4.66,12.1,0.34,1.73
2022,10,11,6.35,15.79,0.43,2.23
2022,10,12,6.27,15.49,0.41,2.12
2022,10,13,6.16,14.93,0.4,2.04
2022,10,14,5.38,13.62,0.37,1.9
2022,10,15,5.38,13.52,0.36,1.84
2022,10,16,6.04,14.22,0.36,1.85
2022,10,17,5.8,13.66,0.34,1.78
2022,10,18,5.58,12.98,0.34,1.72
2022,10,19,0.97,3.41,0.09,0.47
2022,10,20,1.94,5.95,0.16,0.83
2022,10,21,3.77,10.31,0.28,1.43
2022,10,22,4.61,11.54,0.3,1.54
2022,10,23,5.28,12.12,0.3,1.53
2022,10,24,5.17,12.44,0.32,1.65
2022,10,25,3.8,10.02,0.27,1.41
2022,10,26,4.63,12.16,0.32,1.67
2022,10,27,5.41,13.49,0.34,1.74
2022,10,28,4.75,11.77,0.3,1.55
2022,10,29,4.8,11.13,0.28,1.48
2022,10,30,5.11,12.48,0.34,1.76
2022,10,31,5.47,13.18,0.35,1.86
2022,11,1,5.27,12.25,0.32,1.66
2022,11,2,5.12,12.25,0.32,1.7
2022,11,3,4.38,11.05,0.28,1.49
2022,11,4,4.74,11.75,0.3,1.55
2022,11,5,4.37,10.66,0.27,1.36
2022,11,6,4.55,11.2,0.28,1.47
2022,11,7,4.88,11.63,0.28,1.44
2022,11,8,5.12,12.17,0.3,1.51
2022,11,9,3.35,9.12,0.23,1.22
2022,11,10,4.08,10.99,0.28,1.51
2022,11,11,4.25,11.22,0.29,1.52
2022,11,12,5.27,12.87,0.34,1.73
2022,11,13,3.07,8.77,0.23,1.27
2022,11,14,4.08,10.77,0.28,1.52
2022,11,15,3.37,9.42,0.26,1.38
2022,11,16,4.74,12.02,0.32,1.68
2022,11,17,4.49,11.62,0.31,1.69
2022,11,18,4.33,11.2,0.3,1.66
2022,11,19,4.24,10.88,0.3,1.61
2022,11,20,4.48,10.91,0.28,1.45
2022,11,21,2.41,7.08,0.19,1.01
2022,11,22,1.58,5.17,0.13,0.73
2022,11,23,2.44,7.37,0.2,1.08
2022,11,24,1.96,6.13,0.17,0.96
2022,11,25,1.77,5.59,0.16,0.88
2022,11,26,2.13,6.4,0.18,0.95
2022,11,27,4.23,10.77,0.27,1.4
2022,11,28,3.77,9.95,0.25,1.33
2022,11,29,3.49,9.37,0.24,1.27
2022,11,30,2.24,6.69,0.18,0.96
2022,12,1,0.86,2.82,0.08,0.43
2022,12,2,1.35,4.16,0.12,0.65
2022,12,3,1.73,5.37,0.15,0.8
2022,12,4,1.0,3.23,0.09,0.45
2022,12,5,1.55,4.69,0.12,0.67
2022,12,6,3.17,7.98,0.21,1.11
2022,12,7,1.28,4.07,0.11,0.61
2022,12,8,1.95,5.79,0.16,0.89
2022,12,9,2.56,6.98,0.2,1.05
2022,12,10,2.71,7.12,0.19,1.04
2022,12,11,3.61,8.54,0.23,1.23
2022,12,12,4.0,8.5,0.21,1.11
2022,12,13,4.62,10.01,0.25,1.31
2022,12,14,4.28,9.3,0.23,1.24
2022,12,15,4.64,10.43,0.27,1.36
2022,12,16,2.43,6.52,0.18,0.97
2022,12,17,1.8,4.91,0.13,0.73
2022,12,18,4.19,9.52,0.23,1.23
2022,12,19,4.65,10.34,0.25,1.27
2022,12,20,2.3,6.43,0.16,0.87
2022,12,21,4.25,9.16,0.21,1.08
2022,12,22,4.39,9.41,0.2,1.03
2022,12,23,4.47,9.82,0.21,1.07
2022,12,24,4.58,10.08,0.23,1.16
2022,12,25,4.56,10.16,0.23,1.2
2022,12,26,4.06,9.73,0.23,1.21
2022,12,27,4.43,10.2,0.24,1.23
2022,12,28,2.89,7.23,0.19,1.0
2022,12,29,2.0,5.2,0.13,0.73
2022,12,30,3.17,7.7,0.19,0.98
2022,12,31,3.95,8.91,0.2,1.05
