-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.9599   Longitude 107.0425 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.24 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,0.41,26.05,24.92,25.49,26.32,19.9,93.44,14.19,99.78,2.2,125.88,3.15,125.38,0.92
2022,275,1.42,26.44,24.62,25.53,26.7,19.47,89.88,2.13,99.88,1.89,111.5,2.72,111.75,0.9
2022,276,2.31,26.43,24.35,25.39,26.58,19.17,88.56,4.19,100.02,2.01,89.25,2.92,89.44,0.88
2022,277,2.13,26.33,24.48,25.4,26.49,19.29,89.62,7.96,100.15,1.7,75.19,2.45,75.0,0.89
2022,278,2.15,26.67,24.18,25.42,26.89,18.92,86.62,1.09,100.14,1.98,84.75,2.88,84.69,0.88
2022,279,2.09,26.7,24.12,25.41,26.9,18.86,86.12,2.29,100.15,2.19,95.56,3.2,96.44,0.85
2022,280,1.4,25.83,23.67,24.76,26.12,18.37,88.06,19.1,100.23,2.82,69.06,4.03,68.62,0.88
2022,281,1.14,24.37,21.99,23.18,25.09,16.6,87.06,13.5,100.29,3.0,61.06,4.22,61.31,0.9
2022,282,0.57,24.36,21.94,23.15,24.78,16.6,86.62,9.05,100.55,3.96,49.25,5.69,48.75,0.9
2022,283,1.73,20.33,14.98,17.65,21.34,10.62,72.19,0.05,100.86,3.86,33.81,5.55,33.81,0.85
2022,284,2.23,21.13,14.23,17.68,21.54,10.13,65.44,0.0,100.57,2.63,40.56,3.8,40.25,0.83
2022,285,2.12,22.2,15.93,19.06,22.4,11.29,68.31,0.0,100.39,2.25,53.69,3.32,53.75,0.81
2022,286,2.04,22.65,15.35,19.0,22.47,10.86,64.44,0.0,100.27,2.31,35.19,3.38,34.5,0.8
2022,287,1.9,22.44,16.82,19.62,22.58,12.02,71.31,0.0,100.07,2.93,26.31,4.32,25.62,0.79
2022,288,1.84,22.44,16.8,19.62,22.49,12.02,71.44,0.0,100.07,3.13,31.81,4.59,31.19,0.78
2022,289,1.85,22.18,16.87,19.53,22.42,12.15,73.38,0.0,100.21,2.98,29.31,4.43,29.38,0.77
2022,290,1.78,22.99,17.76,20.38,23.08,12.76,73.44,0.0,100.2,3.54,15.25,5.2,15.19,0.77
2022,291,1.72,21.65,15.7,18.68,21.91,11.17,69.62,0.0,100.29,3.73,22.94,5.45,22.62,0.76
2022,292,0.47,18.4,14.15,16.28,19.74,10.07,76.75,19.96,100.43,3.23,29.81,4.52,29.62,0.82
2022,293,0.83,19.28,17.44,18.37,20.62,12.57,89.62,39.08,100.41,3.56,19.38,5.02,19.31,0.92
2022,294,1.43,22.62,19.96,21.3,23.12,14.59,85.62,4.82,100.53,2.87,73.94,4.08,73.19,0.89
2022,295,1.54,24.05,20.01,22.03,23.63,14.65,78.75,0.01,100.44,1.88,81.94,2.8,66.62,0.85
2022,296,1.53,25.13,20.74,22.94,24.41,15.38,77.19,0.0,100.29,1.64,145.0,2.48,131.62,0.83
2022,297,1.65,24.37,20.69,22.52,24.35,15.32,80.88,0.01,100.23,2.11,114.69,3.12,101.69,0.81
2022,298,1.41,24.15,21.96,23.06,24.4,16.48,87.69,0.51,100.4,2.26,83.88,3.22,84.88,0.8
2022,299,1.67,24.3,21.87,23.08,24.69,16.42,86.69,0.11,100.31,2.11,97.5,3.05,98.12,0.8
2022,300,1.74,24.08,21.06,22.57,24.46,15.62,84.0,0.01,100.27,2.08,95.88,3.01,96.75,0.78
2022,301,1.55,23.44,19.98,21.71,23.75,14.59,81.62,0.02,100.36,2.24,67.38,3.28,67.44,0.77
2022,302,1.48,23.23,19.17,21.19,23.33,13.92,78.69,0.0,100.33,2.4,40.88,3.48,39.81,0.77
2022,303,1.76,22.58,18.32,20.45,22.89,13.18,77.56,0.01,100.2,2.9,25.69,4.27,25.56,0.76
2022,304,1.86,21.55,16.65,19.1,21.93,11.84,74.44,0.01,100.28,3.73,16.5,5.46,16.31,0.75
2022,305,1.66,20.58,15.08,17.83,20.87,10.74,71.81,0.0,100.21,3.16,66.94,4.7,67.0,0.74
2022,306,1.7,21.62,14.34,17.98,20.89,10.25,64.75,0.0,100.03,1.97,95.44,2.86,95.19,0.73
2022,307,1.49,22.25,15.96,19.1,21.8,11.41,67.94,0.0,100.14,1.52,60.12,2.23,61.5,0.73
2022,308,1.55,22.51,17.96,20.24,22.38,12.88,76.5,0.0,100.46,2.27,46.81,3.35,46.25,0.73
2022,309,1.36,20.73,17.33,19.04,21.3,12.33,81.44,0.17,100.68,2.77,51.06,4.01,51.56,0.73
2022,310,1.47,21.47,18.11,19.79,22.14,12.94,82.0,0.08,100.59,1.84,75.38,2.66,76.88,0.73
2022,311,1.44,21.75,18.69,20.22,22.24,13.43,83.75,0.03,100.46,1.65,82.25,2.41,83.62,0.73
2022,312,1.51,22.18,18.72,20.44,22.49,13.49,82.31,0.01,100.45,1.42,75.44,2.09,77.38,0.72
2022,313,1.22,22.58,20.2,21.39,22.88,14.83,87.44,0.08,100.45,1.63,72.94,2.35,75.06,0.72
2022,314,1.51,23.27,21.29,22.28,23.62,15.87,89.12,1.13,100.37,1.88,90.38,2.73,91.0,0.73
2022,315,1.52,23.87,21.84,22.85,24.14,16.42,89.0,0.29,100.31,1.95,111.69,2.84,112.94,0.73
2022,316,1.73,24.15,21.85,23.01,24.55,16.42,87.69,0.09,100.21,1.53,113.62,2.22,115.38,0.73
2022,317,1.27,24.02,21.94,22.98,24.35,16.48,88.62,0.38,100.27,1.9,91.5,2.78,92.69,0.72
2022,318,1.52,24.18,21.94,23.06,24.5,16.48,87.81,0.04,100.28,2.09,80.0,3.07,80.56,0.72
2022,319,1.38,24.31,22.43,23.37,24.71,17.03,89.69,0.89,100.2,2.34,96.12,3.37,96.69,0.73
2022,320,1.68,24.73,22.94,23.83,25.12,17.58,90.19,1.42,100.02,2.08,120.12,3.02,120.88,0.73
2022,321,1.69,24.97,23.12,24.04,25.28,17.76,89.88,5.91,100.01,1.86,122.62,2.77,123.56,0.74
2022,322,1.66,24.86,22.98,23.91,25.16,17.58,89.69,1.54,100.15,2.2,109.88,3.19,111.0,0.74
