-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  16.7403   Longitude 107.1855 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 504.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.74,24.58,22.6,23.59,24.56,18.13,89.5,14.83,95.19,0.48,146.69,1.16,150.19,0.9
2022,275,1.89,23.26,22.65,22.95,23.21,18.19,96.44,24.61,95.26,0.75,97.19,1.8,93.5,0.93
2022,276,2.04,23.65,22.19,22.92,23.71,17.64,91.88,1.78,95.38,0.82,88.94,2.05,84.94,0.89
2022,277,1.82,23.31,22.33,22.82,23.32,17.76,94.38,5.02,95.54,0.73,66.38,1.91,66.0,0.89
2022,278,1.84,23.62,22.01,22.81,23.67,17.4,91.25,5.99,95.56,0.64,82.88,1.67,80.62,0.88
2022,279,1.06,23.77,22.67,23.23,23.8,18.13,93.88,18.64,95.54,0.66,67.62,1.7,66.56,0.92
2022,280,1.86,23.51,21.87,22.69,23.65,17.27,91.19,6.32,95.57,0.66,54.69,1.81,55.56,0.9
2022,281,1.63,23.65,21.85,22.75,23.81,17.27,90.44,19.52,95.56,0.69,80.81,1.78,77.56,0.92
2022,282,0.97,23.54,23.0,23.26,23.49,18.49,96.75,74.75,95.69,1.06,54.0,2.61,53.56,0.98
2022,283,0.88,21.98,21.23,21.6,21.91,16.54,95.38,88.81,95.85,1.85,33.25,4.3,34.75,0.99
2022,284,0.9,21.28,19.76,20.52,21.28,15.08,91.25,13.36,95.79,1.34,28.25,3.3,31.12,0.95
2022,285,0.73,21.01,19.07,20.05,21.05,14.47,89.06,1.59,95.68,1.06,23.0,2.73,26.5,0.94
