-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.6025   Longitude 105.9739 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,4.97,13.62,0.4,2.06
2022,10,2,3.58,9.96,0.27,1.36
2022,10,3,4.62,12.8,0.38,1.91
2022,10,4,3.29,9.93,0.3,1.54
2022,10,5,2.9,8.5,0.23,1.2
2022,10,6,3.21,9.62,0.3,1.48
2022,10,7,5.26,14.05,0.41,2.06
2022,10,8,1.72,5.57,0.17,0.88
2022,10,9,3.78,11.04,0.33,1.65
2022,10,10,4.68,12.68,0.36,1.84
2022,10,11,4.19,11.73,0.34,1.7
2022,10,12,4.1,11.77,0.34,1.68
2022,10,13,4.32,12.07,0.34,1.7
2022,10,14,4.25,11.88,0.34,1.7
2022,10,15,5.78,14.55,0.39,1.97
2022,10,16,6.02,15.09,0.41,2.12
2022,10,17,5.49,14.29,0.41,2.05
2022,10,18,4.31,12.17,0.36,1.82
2022,10,19,4.37,12.37,0.36,1.81
2022,10,20,2.76,8.41,0.23,1.2
2022,10,21,3.26,9.73,0.28,1.41
2022,10,22,4.82,12.98,0.37,1.86
2022,10,23,4.83,13.13,0.38,1.89
2022,10,24,4.33,11.98,0.34,1.74
2022,10,25,4.12,11.55,0.34,1.69
2022,10,26,3.79,10.68,0.31,1.58
2022,10,27,3.53,10.05,0.29,1.46
2022,10,28,4.03,11.39,0.33,1.66
2022,10,29,4.69,12.58,0.35,1.8
2022,10,30,5.02,13.2,0.38,1.91
2022,10,31,5.84,14.55,0.41,2.09
2022,11,1,4.88,12.2,0.34,1.75
2022,11,2,4.94,12.42,0.35,1.81
2022,11,3,2.8,7.66,0.21,1.08
2022,11,4,1.15,3.8,0.11,0.55
2022,11,5,4.32,11.87,0.34,1.7
2022,11,6,5.15,13.21,0.37,1.89
2022,11,7,4.96,12.98,0.36,1.84
2022,11,8,4.21,11.45,0.33,1.67
2022,11,9,4.55,12.04,0.34,1.73
2022,11,10,4.57,12.54,0.36,1.85
2022,11,11,3.81,10.38,0.29,1.48
2022,11,12,3.5,10.05,0.29,1.47
2022,11,13,4.44,12.09,0.34,1.73
2022,11,14,3.3,9.55,0.27,1.35
2022,11,15,5.28,13.65,0.38,1.98
2022,11,16,5.06,13.15,0.38,1.98
2022,11,17,4.89,13.16,0.38,2.01
2022,11,18,3.26,9.2,0.27,1.4
2022,11,19,3.32,9.66,0.29,1.5
2022,11,20,1.8,5.72,0.17,0.91
2022,11,21,3.04,9.01,0.28,1.45
2022,11,22,2.95,8.61,0.27,1.36
2022,11,23,3.28,9.28,0.27,1.38
2022,11,24,4.61,12.34,0.35,1.85
2022,11,25,4.96,12.83,0.36,1.86
2022,11,26,3.84,10.81,0.31,1.65
2022,11,27,4.33,11.74,0.34,1.75
2022,11,28,5.28,13.73,0.38,2.01
2022,11,29,5.32,13.73,0.39,2.03
2022,11,30,4.78,12.51,0.35,1.84
2022,12,1,4.15,11.39,0.32,1.69
2022,12,2,4.54,12.15,0.34,1.8
2022,12,3,0.73,2.43,0.07,0.36
2022,12,4,4.47,11.91,0.34,1.84
2022,12,5,4.78,12.48,0.36,1.89
2022,12,6,5.19,13.16,0.38,1.96
2022,12,7,4.33,11.58,0.34,1.82
2022,12,8,4.79,12.74,0.38,2.02
2022,12,9,3.91,10.65,0.32,1.7
2022,12,10,4.4,11.79,0.36,1.96
2022,12,11,4.75,12.04,0.34,1.84
2022,12,12,4.57,11.46,0.32,1.69
2022,12,13,5.49,13.38,0.38,1.97
2022,12,14,5.03,12.34,0.34,1.77
2022,12,15,5.03,12.66,0.35,1.87
2022,12,16,4.49,12.0,0.36,1.91
2022,12,17,3.89,10.66,0.33,1.77
2022,12,18,4.6,11.73,0.36,1.95
2022,12,19,5.2,12.92,0.39,2.13
2022,12,20,5.43,13.64,0.41,2.17
2022,12,21,5.03,12.48,0.38,2.02
2022,12,22,4.51,11.54,0.34,1.8
2022,12,23,5.11,12.46,0.37,1.98
2022,12,24,4.65,11.8,0.36,1.98
2022,12,25,5.29,12.43,0.37,1.98
2022,12,26,4.57,11.41,0.34,1.84
2022,12,27,4.57,11.02,0.33,1.82
2022,12,28,5.39,12.55,0.37,1.96
2022,12,29,5.0,11.76,0.34,1.88
2022,12,30,3.93,10.41,0.31,1.71
2022,12,31,4.96,12.38,0.38,2.05
