-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  9.6025   Longitude 105.9739 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.71 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,2.06,27.46,25.12,26.29,27.75,19.9,87.06,3.75,100.86,3.39,234.88,4.17,234.94,0.93
2022,275,1.36,27.26,24.68,25.97,27.94,19.41,85.94,5.24,100.76,2.26,209.25,2.74,209.31,0.93
2022,276,1.91,27.71,25.18,26.44,27.79,20.02,86.12,8.37,100.73,3.98,77.94,4.93,77.81,0.94
2022,277,1.54,27.52,24.8,26.16,27.62,19.53,85.06,14.33,100.91,4.52,79.38,5.59,79.44,0.95
2022,278,1.2,27.81,24.81,26.31,27.9,19.53,83.69,6.17,100.94,4.84,104.12,6.0,104.12,0.94
2022,279,1.48,26.94,24.18,25.56,27.33,18.8,84.81,15.48,101.01,2.79,94.94,3.45,95.0,0.95
2022,280,2.06,27.26,24.46,25.86,27.55,19.1,84.75,10.64,100.96,2.64,70.12,3.25,70.69,0.95
2022,281,0.88,27.18,24.91,26.05,27.37,19.65,87.38,11.84,100.94,3.32,44.25,4.05,44.44,0.95
2022,282,1.65,26.82,24.58,25.7,27.44,19.23,87.5,0.92,101.05,2.78,88.69,3.41,88.56,0.95
2022,283,1.84,26.77,24.42,25.6,27.65,19.04,86.94,1.78,101.11,2.45,81.31,2.98,81.62,0.94
2022,284,1.7,27.51,23.23,25.37,28.49,17.7,77.94,2.19,101.05,1.16,116.31,1.39,116.56,0.94
2022,285,1.68,27.01,23.89,25.45,27.55,18.43,83.0,13.74,100.96,1.32,171.56,1.61,172.0,0.95
2022,286,1.7,26.15,24.14,25.15,27.01,18.74,88.62,18.51,100.83,3.34,258.69,4.08,259.88,0.96
2022,287,1.7,27.05,24.8,25.92,27.33,19.59,87.62,3.55,100.62,3.97,285.31,4.87,285.62,0.95
2022,288,1.97,26.31,23.04,24.67,27.31,17.58,82.5,0.27,100.65,3.52,295.88,4.27,295.94,0.94
2022,289,2.12,26.98,23.48,25.23,28.16,18.01,81.56,0.15,100.87,2.16,274.25,2.65,275.0,0.93
2022,290,2.05,27.74,24.0,25.87,28.56,18.62,80.5,1.92,100.89,2.02,208.94,2.45,210.06,0.93
2022,291,1.82,27.57,24.53,26.05,28.37,19.23,83.69,13.18,100.85,2.02,234.44,2.37,235.69,0.95
2022,292,1.81,26.98,24.88,25.93,27.55,19.59,88.25,10.23,100.84,1.95,147.25,2.34,148.56,0.94
2022,293,1.2,26.89,24.73,25.8,27.48,19.41,87.88,7.92,100.99,3.07,147.06,3.74,147.56,0.94
2022,294,1.41,27.39,25.28,26.33,27.61,20.08,88.25,7.22,101.07,3.58,101.5,4.42,101.88,0.95
2022,295,1.86,27.58,24.77,26.18,27.79,19.41,84.69,2.26,101.11,3.56,82.94,4.4,83.56,0.94
2022,296,1.89,27.77,24.68,26.23,28.08,19.35,83.38,6.39,101.06,2.66,72.5,3.27,72.88,0.94
2022,297,1.74,26.91,24.56,25.74,27.53,19.23,86.88,40.99,100.97,2.82,132.12,3.4,133.38,0.96
2022,298,1.69,26.36,23.5,24.93,27.19,18.01,84.31,16.81,100.96,2.68,142.5,3.25,142.88,0.96
2022,299,1.58,27.01,24.9,25.96,27.22,19.65,88.25,21.14,100.87,3.71,86.75,4.56,72.31,0.96
2022,300,1.46,26.94,25.12,26.03,27.29,19.9,89.69,7.28,100.84,3.2,76.69,3.91,76.75,0.96
2022,301,1.66,26.96,24.79,25.87,27.08,19.53,87.88,9.13,100.76,4.02,76.06,4.95,76.44,0.97
2022,302,1.8,27.45,24.28,25.87,27.95,18.98,83.12,0.25,100.68,2.46,98.38,3.0,98.0,0.95
2022,303,1.91,26.68,24.57,25.62,27.45,19.29,88.19,1.39,100.71,1.73,248.31,2.09,248.5,0.95
2022,304,2.09,27.3,24.26,25.78,27.82,18.92,83.81,0.13,100.79,2.98,168.38,3.65,168.12,0.95
2022,305,1.75,27.33,23.94,25.63,28.24,18.49,81.88,0.15,100.9,1.95,113.31,2.37,111.81,0.94
2022,306,1.81,26.9,24.18,25.54,27.69,18.8,85.0,9.31,100.91,3.41,136.12,4.13,136.81,0.94
2022,307,1.08,27.08,24.57,25.83,27.55,19.23,86.06,36.8,100.98,3.98,114.12,4.88,114.31,0.98
2022,308,0.55,26.81,24.74,25.78,27.13,19.41,88.31,15.59,101.15,4.27,105.31,5.23,105.5,0.96
2022,309,1.7,26.55,24.42,25.48,26.89,18.98,88.0,23.57,101.26,4.81,92.19,5.94,92.38,0.97
2022,310,1.89,27.37,23.87,25.62,27.67,18.37,81.31,0.89,101.18,3.91,73.62,4.78,73.88,0.96
2022,311,1.84,27.3,24.05,25.68,27.62,18.62,82.5,2.36,101.09,3.58,71.56,4.4,72.06,0.95
2022,312,1.67,27.3,24.49,25.89,27.76,19.1,84.75,0.68,101.03,2.84,68.19,3.48,68.69,0.95
2022,313,1.73,27.02,24.51,25.77,27.01,19.17,86.25,16.7,101.04,3.61,58.38,4.46,58.44,0.95
2022,314,1.85,27.15,24.64,25.9,27.5,19.29,86.31,6.12,100.98,3.8,51.94,4.68,51.56,0.95
2022,315,1.48,27.4,24.87,26.14,27.4,19.59,86.19,4.61,100.94,4.59,58.81,5.7,58.44,0.95
2022,316,1.47,26.91,25.02,25.97,27.15,19.78,89.31,11.26,100.87,4.15,71.44,5.09,71.44,0.95
2022,317,1.73,26.97,25.13,26.05,27.22,19.9,89.62,9.22,100.87,4.38,82.56,5.39,82.62,0.95
2022,318,1.35,27.27,25.45,26.36,27.19,20.32,89.75,3.83,100.89,4.66,78.06,5.81,78.31,0.95
2022,319,1.98,27.09,25.16,26.12,27.24,19.96,89.12,3.48,100.9,3.58,75.75,4.43,76.31,0.95
2022,320,1.98,27.04,24.93,25.98,27.21,19.65,88.25,3.27,100.83,4.27,81.06,5.27,81.44,0.95
2022,321,2.01,27.16,25.13,26.15,27.24,19.96,88.69,4.42,100.79,3.99,86.5,4.94,87.06,0.95
2022,322,1.4,26.96,24.9,25.93,27.13,19.65,88.5,11.49,100.85,3.66,85.81,4.52,86.25,0.95
2022,323,1.5,26.62,24.58,25.6,26.94,19.29,88.56,9.93,100.71,2.95,141.69,3.63,141.25,0.95
2022,324,0.91,26.25,24.48,25.36,26.74,19.23,89.94,40.93,100.49,4.41,240.38,5.41,240.44,0.98
2022,325,1.45,26.11,24.65,25.37,26.68,19.41,91.62,38.23,100.47,3.83,327.44,4.68,327.62,0.98
2022,326,1.36,26.64,25.01,25.82,27.15,19.84,90.69,6.6,100.63,3.27,228.38,3.97,228.25,0.98
2022,327,1.38,27.07,25.08,26.08,27.24,19.84,88.81,5.52,100.76,4.04,157.06,4.98,157.12,0.98
2022,328,1.85,26.71,24.69,25.7,26.96,19.35,88.62,12.0,100.94,4.12,137.62,5.12,137.62,0.98
2022,329,1.86,26.69,24.32,25.51,27.23,18.92,86.81,3.3,101.05,2.79,111.81,3.45,112.19,0.97
2022,330,1.65,26.7,24.55,25.62,27.29,19.23,87.94,3.43,100.96,2.18,101.94,2.7,103.06,0.97
2022,331,1.75,26.71,24.47,25.58,27.28,19.1,87.44,3.06,100.88,1.96,88.19,2.38,88.31,0.96
2022,332,2.01,27.1,24.45,25.77,27.59,19.1,85.44,1.83,100.92,2.99,99.5,3.7,99.88,0.96
2022,333,2.03,27.26,24.92,26.09,27.62,19.65,87.0,1.12,100.93,3.54,83.31,4.39,83.81,0.95
2022,334,1.84,27.4,25.19,26.3,27.33,19.96,87.75,3.43,100.9,2.98,53.31,3.74,53.5,0.95
2022,335,1.69,27.24,25.25,26.25,27.21,20.08,88.81,1.82,100.86,5.2,65.12,6.45,65.25,0.95
2022,336,1.8,27.01,24.79,25.9,26.93,19.53,87.62,9.08,100.75,6.02,62.56,7.49,62.5,0.95
2022,337,0.36,26.62,24.73,25.68,26.76,19.47,89.31,15.3,100.8,5.68,68.19,7.03,67.94,0.96
2022,338,1.84,26.87,24.48,25.68,26.82,19.17,86.75,3.88,100.86,6.48,72.81,8.09,72.75,0.95
2022,339,1.89,26.91,25.04,25.98,26.76,19.78,89.44,2.59,100.93,4.79,71.94,5.96,72.12,0.95
2022,340,1.96,27.22,24.71,25.97,27.14,19.41,86.31,1.06,100.84,4.73,65.38,5.87,65.5,0.95
2022,341,1.82,26.81,25.17,25.99,26.81,19.96,90.69,4.91,100.82,4.64,58.25,5.74,57.88,0.95
2022,342,2.02,26.93,24.98,25.95,26.93,19.71,89.12,5.75,100.84,4.59,67.31,5.72,67.31,0.95
2022,343,1.7,27.1,24.94,26.01,27.0,19.71,88.0,5.75,100.79,4.59,68.44,5.7,68.56,0.95
2022,344,1.96,26.6,23.81,25.21,26.68,18.37,84.75,0.52,100.87,5.16,73.25,6.39,73.38,0.94
2022,345,1.84,26.44,23.24,24.84,26.63,17.76,82.56,0.25,100.98,5.71,78.62,7.09,78.88,0.93
2022,346,1.69,26.11,22.77,24.44,26.33,17.21,81.88,0.12,101.04,5.69,78.38,7.05,78.56,0.92
2022,347,1.97,25.61,21.73,23.67,26.08,16.17,79.31,0.0,101.05,4.92,68.5,6.09,68.75,0.91
2022,348,1.77,25.94,22.43,24.19,26.49,16.85,81.12,0.17,101.08,4.09,64.25,5.05,63.88,0.91
2022,349,1.87,26.1,22.79,24.44,26.81,17.27,82.12,0.16,100.92,3.38,51.44,4.16,51.19,0.91
2022,350,1.91,26.14,23.26,24.7,26.58,17.76,84.25,0.46,100.85,3.09,46.38,3.81,46.12,0.9
2022,351,1.77,26.61,24.26,25.44,26.39,18.92,86.94,0.34,100.86,6.54,63.19,8.18,63.19,0.9
2022,352,1.95,25.73,22.16,23.94,25.76,16.6,80.75,0.0,100.92,8.23,52.56,10.31,52.31,0.89
2022,353,2.13,25.07,21.55,23.3,25.68,16.05,81.0,0.14,100.93,6.01,49.69,7.43,49.31,0.88
2022,354,2.17,25.89,22.9,24.39,26.47,17.4,83.75,0.03,100.81,4.59,52.5,5.65,52.12,0.88
2022,355,2.02,26.18,23.48,24.83,26.84,18.07,85.44,0.13,100.81,3.23,123.31,3.96,123.25,0.88
2022,356,1.8,26.3,23.17,24.73,26.73,17.7,83.12,4.85,100.83,3.86,63.56,4.69,63.38,0.88
2022,357,1.98,24.97,21.4,23.19,25.81,15.87,80.88,2.45,101.03,3.46,62.0,4.26,61.88,0.88
2022,358,1.98,24.73,20.48,22.61,25.22,14.95,77.44,0.5,101.16,4.05,57.12,5.03,57.0,0.87
2022,359,1.98,24.23,19.77,22.0,24.53,14.28,76.38,0.07,101.29,3.54,40.56,4.38,40.12,0.86
2022,360,1.84,24.56,19.99,22.27,25.18,14.47,76.12,0.0,101.38,2.86,87.81,3.52,88.06,0.85
2022,361,1.82,24.84,20.73,22.78,25.38,15.14,78.19,0.25,101.4,3.31,76.5,4.1,77.0,0.85
2022,362,1.96,25.65,20.79,23.22,25.93,15.2,75.0,0.04,101.36,2.63,58.12,3.26,58.19,0.84
2022,363,1.88,26.26,21.44,23.85,26.15,15.81,75.06,0.11,101.37,1.66,136.25,2.02,135.44,0.84
2022,364,1.71,25.73,22.29,24.01,26.15,16.66,81.62,1.5,101.41,3.36,68.44,4.1,68.44,0.84
