-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  21.3269   Longitude 103.9144 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 850.94 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.54,22.27,20.69,21.48,22.37,16.78,91.38,4.29,91.44,0.34,89.88,1.33,88.44,0.91
2022,275,1.3,22.95,20.89,21.92,23.01,16.97,89.12,7.03,91.56,0.39,114.38,1.45,115.62,0.91
2022,276,1.69,23.22,20.39,21.8,23.38,16.42,85.81,1.76,91.72,0.38,102.0,1.45,103.31,0.9
2022,277,2.34,22.87,19.25,21.06,22.88,15.26,82.31,0.03,91.88,0.41,103.19,1.44,105.38,0.89
2022,278,1.98,23.28,19.5,21.39,23.24,15.5,81.56,0.82,91.88,0.44,96.88,1.26,97.81,0.88
2022,279,1.85,23.19,19.9,21.55,23.15,15.87,83.69,1.86,91.86,0.45,97.31,1.46,99.38,0.88
2022,280,1.93,22.8,19.43,21.12,22.93,15.44,83.56,0.82,91.89,0.43,103.56,1.52,105.94,0.88
2022,281,1.88,22.29,18.84,20.56,22.48,14.89,83.31,0.7,91.93,0.35,103.62,1.38,106.44,0.88
2022,282,1.62,21.33,18.94,20.14,21.36,14.95,87.31,6.61,92.15,0.57,84.81,2.02,86.06,0.88
2022,283,1.59,17.45,13.48,15.47,17.65,10.5,79.56,0.33,92.42,0.55,74.81,2.08,75.88,0.88
2022,284,1.88,18.44,13.36,15.9,18.58,10.5,75.31,0.0,92.13,0.39,94.25,1.42,96.88,0.87
2022,285,1.73,19.3,14.67,16.98,19.39,11.41,77.25,0.05,91.98,0.38,100.88,1.33,102.75,0.86
2022,286,1.47,19.3,15.1,17.2,19.19,11.72,78.94,0.32,91.94,0.47,83.06,1.48,85.06,0.86
2022,287,1.94,19.03,13.87,16.44,18.46,10.8,74.31,0.02,91.84,0.6,77.5,1.75,78.31,0.85
2022,288,2.05,18.98,13.52,16.25,18.37,10.62,72.69,0.0,91.83,0.68,65.75,1.95,66.44,0.85
2022,289,1.91,19.38,14.54,16.96,18.83,11.29,75.44,0.0,92.01,0.66,63.44,1.94,63.06,0.84
2022,290,1.92,18.61,14.53,16.57,18.03,11.23,78.5,0.0,92.07,0.73,47.12,2.19,47.38,0.84
2022,291,-999.0,17.26,11.43,14.34,16.59,9.22,71.12,0.0,92.06,0.7,58.12,2.27,57.75,0.84
2022,292,1.81,16.22,9.89,13.05,15.54,8.36,69.25,0.09,92.0,0.63,68.94,1.84,68.19,0.84
2022,293,1.24,15.72,13.76,14.74,15.86,10.8,88.62,6.31,92.05,0.38,68.06,1.25,68.88,0.85
2022,294,1.33,18.94,16.67,17.8,19.07,12.94,87.88,1.63,92.17,0.39,70.94,1.3,71.31,0.84
2022,295,1.66,20.57,16.66,18.62,20.05,12.88,80.25,0.03,92.21,0.57,70.5,1.6,70.88,0.84
2022,296,1.74,21.62,17.4,19.51,20.75,13.55,78.44,0.0,92.07,0.65,75.06,1.68,76.5,0.83
2022,297,1.58,21.18,17.81,19.49,20.76,13.92,83.0,0.0,91.94,0.54,92.12,1.57,94.0,0.83
2022,298,1.24,20.67,17.42,19.05,20.52,13.61,83.5,0.08,92.01,0.5,105.75,1.48,107.38,0.82
2022,299,1.21,21.44,18.22,19.83,21.33,14.28,83.62,0.2,91.94,0.46,113.62,1.32,113.75,0.82
2022,300,1.64,22.3,19.14,20.72,22.26,15.14,84.25,0.28,91.86,0.44,114.94,1.32,116.06,0.82
2022,301,1.43,20.63,17.64,19.13,20.65,13.79,84.88,0.58,91.95,0.5,102.88,1.79,105.12,0.81
2022,302,1.36,19.8,17.12,18.46,19.7,13.31,86.19,0.19,91.96,0.52,91.25,1.66,92.94,0.81
2022,303,1.35,19.48,16.37,17.93,19.24,12.7,84.06,0.0,91.91,0.55,80.12,1.59,81.06,0.81
2022,304,1.46,18.99,15.21,17.1,18.43,11.78,80.5,0.0,92.02,0.61,63.12,1.74,62.75,0.8
2022,305,1.86,18.15,11.58,14.87,16.19,9.28,67.94,0.0,91.99,0.58,43.81,1.42,43.56,0.8
2022,306,1.9,19.37,11.26,15.31,16.79,9.16,60.81,0.0,91.74,0.35,145.5,0.68,144.94,0.8
2022,307,1.76,18.65,12.37,15.51,17.11,9.83,68.62,0.0,91.82,0.59,95.88,1.22,96.75,0.8
2022,308,1.68,18.01,13.1,15.55,16.79,10.25,74.81,0.0,92.1,0.62,83.06,1.54,83.62,0.8
2022,309,1.5,17.46,13.85,15.65,16.75,10.74,81.19,0.0,92.24,0.61,102.25,1.55,103.56,0.8
2022,310,1.26,18.26,14.34,16.3,17.8,11.11,79.88,0.0,92.11,0.43,118.06,1.02,120.0,0.8
2022,311,1.36,18.73,14.66,16.69,18.3,11.35,79.44,0.0,92.02,0.43,126.44,1.05,131.44,0.8
2022,312,1.03,18.9,14.67,16.78,18.27,11.35,78.75,0.0,92.02,0.45,127.75,1.12,129.0,0.79
2022,313,1.27,18.55,14.08,16.31,17.73,10.93,77.56,0.0,92.05,0.54,120.88,1.2,122.06,0.79
2022,314,1.53,18.83,13.47,16.15,17.12,10.5,73.06,0.0,92.01,0.53,128.62,1.02,129.19,0.79
2022,315,1.62,20.15,14.86,17.51,18.17,11.54,73.31,0.02,91.95,0.38,146.81,0.72,149.0,0.79
2022,316,1.59,20.75,15.8,18.27,19.0,12.27,75.06,0.0,91.86,0.26,143.31,0.49,150.62,0.78
2022,317,1.52,20.55,16.98,18.76,19.84,13.24,81.69,0.01,91.89,0.54,102.12,1.33,102.06,0.78
2022,318,1.2,20.96,17.57,19.26,20.67,13.73,82.75,0.05,91.91,0.48,107.06,1.23,107.56,0.78
2022,319,1.04,21.51,18.94,20.23,21.33,14.95,86.62,1.19,91.79,0.45,127.62,1.29,129.06,0.78
2022,320,1.2,22.3,19.22,20.76,21.79,15.32,84.0,6.94,91.64,0.44,168.5,1.17,170.25,0.8
2022,321,1.45,23.17,19.05,21.11,22.39,15.2,79.81,3.16,91.61,0.41,177.5,0.95,175.81,0.79
2022,322,1.27,23.15,18.35,20.75,22.39,14.53,76.81,3.12,91.77,0.38,166.88,0.86,157.38,0.8
2022,323,1.27,22.48,19.33,20.9,21.94,15.5,84.25,3.62,91.84,0.39,80.69,0.98,80.12,0.8
2022,324,1.34,20.34,17.66,19.0,20.37,13.79,86.0,0.22,91.76,0.38,101.06,1.41,103.44,0.78
2022,325,1.21,20.27,17.16,18.72,20.1,13.43,84.19,0.01,91.63,0.46,116.94,1.36,117.88,0.78
2022,326,1.34,20.81,17.33,19.07,20.48,13.55,82.75,0.01,91.66,0.46,92.44,1.21,93.31,0.77
2022,327,1.22,20.8,17.9,19.35,20.52,14.04,85.38,0.14,91.7,0.48,83.38,1.31,81.69,0.77
2022,328,0.91,19.7,18.24,18.97,19.75,14.34,91.94,13.15,91.78,0.33,89.25,1.23,92.38,0.81
2022,329,0.98,21.72,18.97,20.34,21.52,15.08,86.25,24.82,91.85,0.28,135.88,0.94,135.06,0.88
2022,330,1.11,21.83,19.69,20.76,21.83,15.81,88.94,25.59,91.67,0.31,116.38,1.09,121.5,0.88
2022,331,0.86,21.92,19.86,20.89,21.68,15.93,88.94,2.2,91.39,0.48,209.56,1.54,209.12,0.82
2022,332,1.09,22.4,19.28,20.84,21.78,15.38,84.06,0.05,91.47,0.54,244.25,1.55,243.56,0.8
2022,333,1.45,22.24,18.25,20.24,20.99,14.34,79.94,0.0,91.66,0.48,266.0,1.14,264.81,0.8
2022,334,1.39,20.55,16.95,18.75,19.71,13.24,81.62,1.34,91.86,0.48,90.5,1.31,87.69,0.8
2022,335,1.09,13.78,11.4,12.59,13.98,9.16,86.56,2.97,92.12,0.55,91.62,1.99,94.12,0.8
2022,336,0.69,12.51,9.79,11.15,12.67,8.3,84.94,6.97,92.05,0.48,104.44,1.65,106.5,0.83
2022,337,0.99,16.34,13.14,14.74,16.27,10.5,83.06,0.04,91.87,0.3,118.06,0.95,124.31,0.8
2022,338,0.92,15.98,13.44,14.7,16.15,10.5,86.12,0.27,92.04,0.41,87.56,1.62,90.5,0.8
2022,339,1.02,12.51,10.05,11.27,12.68,8.36,86.38,1.12,92.28,0.47,87.44,1.76,90.38,0.8
2022,340,0.72,13.33,10.15,11.73,13.38,8.48,83.25,0.44,92.01,0.39,112.81,1.41,114.06,0.8
2022,341,0.52,12.96,11.27,12.12,13.12,9.09,90.12,0.7,91.97,0.34,97.44,1.46,99.5,0.8
2022,342,0.79,14.68,12.67,13.67,14.88,10.07,88.88,0.3,91.96,0.29,93.0,1.26,93.88,0.8
2022,343,0.84,14.23,12.41,13.32,14.23,9.83,89.62,0.53,91.85,0.36,90.44,1.28,91.5,0.8
2022,344,1.06,14.34,12.42,13.38,14.48,9.89,89.38,0.62,91.84,0.34,86.06,1.38,87.94,0.8
2022,345,0.71,13.41,11.21,12.31,13.49,9.09,87.75,0.44,91.95,0.39,95.75,1.6,98.06,0.79
2022,346,0.66,12.17,9.12,10.65,12.24,7.87,83.5,0.51,92.15,0.46,89.75,1.84,92.0,0.79
2022,347,0.89,12.01,7.3,9.66,12.0,7.02,76.0,0.28,92.14,0.38,109.88,1.48,112.12,0.79
2022,348,0.93,11.55,6.3,8.92,11.13,6.47,72.5,0.26,92.28,0.55,95.19,1.79,97.94,0.79
2022,349,1.34,12.92,8.01,10.47,12.07,7.45,74.12,0.0,91.83,0.6,127.0,1.44,127.44,0.78
2022,350,1.23,14.55,11.08,12.82,14.11,9.09,81.25,0.63,91.9,0.52,81.94,1.54,83.62,0.78
2022,351,0.91,10.9,6.83,8.87,10.97,6.71,78.19,1.08,92.64,0.61,73.31,2.63,75.19,0.78
2022,352,1.26,7.8,1.02,4.41,7.57,4.46,64.62,0.0,92.6,0.66,86.56,2.39,87.75,0.78
2022,353,1.22,9.76,2.83,6.3,9.07,5.13,65.06,0.0,92.07,0.55,108.81,1.51,108.75,0.78
2022,354,1.17,12.86,7.51,10.19,11.85,7.26,72.0,0.0,91.86,0.47,118.94,1.12,123.62,0.78
2022,355,0.62,11.99,7.78,9.88,11.43,7.2,76.62,0.0,92.03,0.46,92.69,1.37,94.25,0.77
2022,356,0.65,13.27,9.8,11.54,13.22,8.3,81.06,0.0,91.85,0.38,95.94,1.26,94.81,0.77
2022,357,0.5,13.19,9.05,11.12,13.3,7.87,78.44,0.0,91.93,0.37,100.5,1.58,101.88,0.77
2022,358,0.77,12.21,8.8,10.51,12.25,7.69,81.31,0.0,92.19,0.4,107.75,1.59,107.5,0.77
2022,359,0.62,12.98,8.3,10.64,12.6,7.45,75.62,0.0,92.15,0.51,121.94,1.54,122.38,0.77
2022,360,0.95,14.73,11.42,13.08,14.56,9.22,82.31,0.04,92.18,0.39,115.38,1.21,119.31,0.77
2022,361,0.82,15.01,13.01,14.01,15.01,10.19,88.75,2.24,92.08,0.4,121.44,1.44,124.38,0.77
2022,362,0.69,11.39,9.94,10.66,11.43,8.42,91.19,16.69,92.26,0.52,86.88,1.99,89.12,0.84
2022,363,0.31,9.28,7.0,8.14,9.55,6.77,86.94,5.23,92.53,0.49,89.88,1.73,92.0,0.81
2022,364,0.45,8.15,6.26,7.2,8.21,6.41,88.5,0.7,92.6,0.45,92.31,1.57,93.0,0.79
2022,365,0.59,9.8,7.83,8.82,9.92,7.14,88.44,1.0,92.51,0.36,91.81,1.45,93.31,0.79
