-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  11.375   Longitude 106.1314 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 41.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.7,26.73,25.09,25.91,26.82,19.96,91.06,4.32,100.34,1.41,216.12,2.19,215.81,0.91
2022,275,1.75,26.83,24.56,25.69,27.0,19.35,87.94,5.82,100.3,1.03,237.38,1.59,236.75,0.91
2022,276,1.84,26.43,24.45,25.44,26.37,19.23,89.31,17.17,100.3,1.41,105.38,2.25,105.94,0.91
2022,277,2.19,26.11,24.17,25.14,26.02,18.86,89.44,13.16,100.47,0.98,149.0,1.66,148.75,0.91
2022,278,2.19,26.77,24.16,25.47,26.8,18.86,86.38,15.75,100.49,1.33,117.69,2.02,118.12,0.91
2022,279,1.89,26.47,24.12,25.3,26.37,18.8,87.31,11.27,100.56,1.02,131.06,1.58,131.12,0.92
2022,280,2.27,27.33,24.24,25.78,27.46,18.98,84.44,18.05,100.48,0.93,146.38,1.47,146.75,0.92
2022,281,1.52,27.23,24.55,25.89,27.3,19.29,86.0,3.27,100.5,0.84,193.81,1.39,194.31,0.91
2022,282,1.98,26.69,24.22,25.46,26.91,18.92,87.0,1.81,100.59,0.78,185.0,1.28,184.81,0.91
2022,283,1.83,26.98,24.11,25.55,27.09,18.8,85.31,14.1,100.63,0.87,68.12,1.38,67.94,0.91
2022,284,1.61,26.08,24.31,25.19,26.01,19.04,90.38,13.84,100.57,0.98,231.31,1.5,229.5,0.92
2022,285,2.07,26.76,24.58,25.67,26.63,19.35,88.38,2.59,100.45,1.83,163.25,2.85,163.06,0.91
2022,286,1.8,26.35,23.8,25.08,26.42,18.49,86.69,2.26,100.34,1.55,232.25,2.45,232.44,0.91
2022,287,1.5,24.95,23.26,24.11,24.94,17.88,90.69,5.87,100.15,2.05,307.88,3.15,307.88,0.91
2022,288,1.66,24.73,22.74,23.74,25.13,17.4,89.19,0.12,100.13,1.46,300.56,2.24,300.25,0.89
2022,289,2.01,25.94,23.38,24.66,26.4,18.07,86.62,0.27,100.37,1.1,285.0,1.86,285.06,0.88
2022,290,1.91,25.95,23.69,24.83,26.07,18.37,87.94,5.27,100.43,1.58,121.44,2.53,121.5,0.89
2022,291,2.01,26.32,23.25,24.78,26.05,17.88,84.0,1.48,100.38,1.01,69.0,1.55,69.44,0.88
2022,292,1.42,26.36,24.09,25.23,26.39,18.86,88.0,11.05,100.36,0.59,131.81,0.93,131.38,0.89
2022,293,1.45,26.17,24.59,25.38,26.08,19.35,91.31,11.09,100.52,1.77,116.62,2.75,116.88,0.9
2022,294,1.92,26.56,23.81,25.19,26.47,18.43,85.5,1.9,100.63,1.19,77.44,1.82,79.19,0.88
2022,295,1.98,27.24,24.23,25.73,27.26,18.92,84.38,0.22,100.63,1.19,159.31,1.88,159.56,0.88
2022,296,1.89,27.08,24.71,25.89,26.98,19.47,87.31,4.14,100.6,0.91,190.31,1.44,190.56,0.88
2022,297,2.12,26.88,24.77,25.83,26.76,19.59,88.62,10.79,100.46,1.22,137.5,1.91,138.44,0.89
2022,298,1.7,26.37,24.37,25.37,26.58,19.1,89.25,8.99,100.47,1.03,214.12,1.67,214.44,0.89
2022,299,1.78,26.88,24.4,25.64,26.89,19.17,87.06,2.68,100.42,0.97,53.0,1.54,52.75,0.88
2022,300,1.58,26.65,24.83,25.74,26.79,19.65,90.19,11.07,100.38,0.8,125.94,1.27,126.38,0.89
2022,301,1.79,26.73,24.04,25.38,26.7,18.74,85.94,1.13,100.29,1.24,69.31,1.97,54.44,0.88
2022,302,1.88,26.01,23.45,24.73,26.02,18.19,86.38,0.12,100.23,1.99,73.12,3.09,73.12,0.87
2022,303,2.01,26.35,23.55,24.95,26.33,18.25,85.31,0.0,100.23,2.05,128.88,3.2,128.88,0.86
2022,304,2.02,25.75,22.83,24.29,25.75,17.4,84.88,0.0,100.32,1.86,151.12,2.95,151.12,0.86
2022,305,1.88,25.51,22.55,24.04,25.61,17.09,84.81,0.01,100.44,1.49,155.0,2.39,170.06,0.85
2022,306,1.77,25.7,22.65,24.17,25.98,17.21,84.31,0.71,100.45,0.86,133.56,1.42,133.38,0.84
2022,307,0.98,25.24,23.16,24.2,25.34,17.76,88.75,1.51,100.55,1.48,101.31,2.3,101.38,0.84
2022,308,1.48,25.53,23.78,24.65,25.55,18.37,90.5,2.84,100.69,1.46,126.69,2.3,126.81,0.84
2022,309,1.91,25.44,23.33,24.39,25.52,17.88,88.62,8.46,100.84,1.08,96.06,1.68,96.44,0.85
2022,310,1.88,26.07,23.08,24.57,26.06,17.64,84.56,3.08,100.72,1.5,107.06,2.4,92.38,0.85
2022,311,1.92,26.4,22.45,24.43,26.12,16.97,80.06,0.47,100.63,1.08,68.12,1.67,68.12,0.84
2022,312,2.01,26.73,23.26,25.0,26.52,17.88,82.25,0.12,100.56,1.25,94.88,2.05,94.62,0.84
2022,313,1.98,25.7,23.59,24.65,25.64,18.19,88.5,4.34,100.59,1.24,123.75,1.96,123.38,0.84
2022,314,2.02,27.53,23.84,25.69,27.24,18.49,81.5,1.19,100.5,1.12,179.56,1.75,179.56,0.83
2022,315,1.92,26.91,24.34,25.62,26.85,19.1,86.56,13.69,100.48,1.33,78.44,2.16,78.12,0.85
2022,316,1.71,26.36,23.98,25.16,26.3,18.68,87.25,3.33,100.41,0.84,51.75,1.4,51.44,0.84
2022,317,1.83,26.66,24.52,25.59,26.33,19.29,88.31,5.98,100.43,1.1,105.19,1.71,104.75,0.84
2022,318,1.98,27.06,24.05,25.55,26.88,18.74,84.69,3.6,100.44,1.05,64.75,1.76,65.25,0.84
2022,319,2.02,26.94,24.21,25.58,27.12,18.92,86.12,6.28,100.41,0.99,105.44,1.71,105.75,0.84
2022,320,2.08,26.83,24.79,25.81,26.65,19.59,88.88,1.29,100.36,0.87,254.5,1.4,254.06,0.84
2022,321,2.1,27.17,24.9,26.04,27.15,19.78,87.88,1.27,100.31,0.72,207.12,1.23,206.88,0.83
2022,322,2.08,26.88,24.67,25.77,26.95,19.47,88.44,4.58,100.35,1.12,227.62,1.77,227.69,0.83
2022,323,1.15,25.84,24.13,24.99,25.69,18.86,90.62,8.05,100.25,2.01,138.69,3.12,138.75,0.84
2022,324,0.9,24.3,23.28,23.79,24.17,17.94,94.0,5.63,100.1,2.36,173.19,3.59,158.19,0.84
2022,325,1.46,25.52,24.15,24.83,25.37,18.92,92.25,8.4,100.02,1.45,235.06,2.33,235.12,0.84
2022,326,1.36,25.3,24.33,24.82,25.1,19.1,94.38,14.23,100.12,1.77,292.5,2.76,292.62,0.87
2022,327,1.63,25.96,24.38,25.17,25.88,19.17,91.31,2.19,100.29,2.41,136.81,3.69,136.81,0.84
2022,328,1.66,25.29,23.77,24.53,25.19,18.43,91.62,3.22,100.49,2.48,128.38,3.85,128.38,0.84
2022,329,1.8,25.93,23.96,24.94,26.02,18.62,89.5,3.79,100.58,1.59,136.25,2.52,136.31,0.84
2022,330,1.83,26.24,24.09,25.16,26.33,18.8,88.62,0.37,100.49,1.22,143.38,1.97,143.69,0.83
2022,331,2.02,26.07,24.05,25.06,26.12,18.74,89.12,0.98,100.41,1.12,153.06,1.81,153.12,0.83
2022,332,2.0,26.63,24.56,25.59,26.74,19.35,89.0,2.83,100.45,1.29,146.0,2.11,146.19,0.83
2022,333,1.91,27.27,24.37,25.83,26.93,19.1,84.81,13.95,100.47,0.95,132.25,1.47,132.69,0.86
2022,334,1.9,27.26,23.72,25.49,26.87,18.37,81.88,0.74,100.45,0.66,202.81,1.05,202.56,0.83
2022,335,1.98,26.9,24.26,25.58,26.73,18.98,86.12,1.53,100.39,1.3,34.06,2.18,33.69,0.83
2022,336,1.73,25.46,23.59,24.52,25.27,18.25,89.81,10.23,100.34,1.51,44.19,2.49,44.06,0.84
2022,337,1.62,24.7,22.55,23.62,24.67,17.09,88.38,4.68,100.43,1.29,35.06,2.07,35.25,0.84
2022,338,1.95,25.18,23.17,24.17,25.08,17.76,89.12,8.48,100.48,1.41,46.0,2.29,46.19,0.84
2022,339,1.94,25.9,23.74,24.82,25.86,18.43,88.44,1.51,100.5,1.36,36.12,2.24,36.12,0.83
2022,340,1.93,26.13,23.87,25.0,26.22,18.62,87.94,3.17,100.4,1.36,34.69,2.15,34.69,0.83
2022,341,1.8,25.3,23.6,24.45,25.26,18.25,90.56,1.03,100.4,1.88,103.44,2.9,103.44,0.83
2022,342,2.12,27.01,24.36,25.69,27.05,19.1,86.19,2.92,100.37,1.45,110.75,2.25,110.81,0.82
2022,343,2.16,25.91,23.47,24.69,25.94,18.13,87.06,3.38,100.35,1.52,117.0,2.44,116.81,0.83
2022,344,2.27,25.43,22.12,23.77,25.37,16.72,82.75,0.14,100.41,1.15,94.12,1.77,92.25,0.81
2022,345,2.15,25.74,22.71,24.23,25.87,17.27,84.31,2.6,100.51,0.84,74.19,1.38,74.0,0.81
2022,346,2.04,24.37,21.81,23.08,24.37,16.3,86.62,5.76,100.6,1.38,28.38,2.21,29.12,0.82
2022,347,2.01,22.3,19.12,20.71,22.2,13.85,83.19,0.0,100.64,2.15,23.88,3.45,23.81,0.8
2022,348,1.73,22.82,19.73,21.27,22.83,14.47,83.69,0.0,100.66,2.03,52.75,3.19,52.69,0.8
2022,349,2.03,23.23,20.19,21.71,23.36,14.83,83.81,0.0,100.51,1.93,128.81,3.03,128.69,0.8
2022,350,2.02,25.16,22.08,23.62,25.04,16.72,83.75,0.0,100.39,1.56,25.5,2.43,25.5,0.79
2022,351,1.95,25.62,22.86,24.23,25.18,17.46,85.31,3.28,100.47,2.79,39.44,4.35,39.56,0.8
2022,352,1.9,22.12,18.6,20.36,21.69,13.37,80.81,3.45,100.62,4.34,28.12,6.61,28.12,0.79
2022,353,2.27,22.25,19.16,20.7,22.35,13.98,83.38,0.0,100.53,2.57,55.69,3.92,55.62,0.78
2022,354,2.2,23.71,20.82,22.26,23.95,15.5,84.75,0.0,100.39,1.81,124.56,2.84,124.5,0.77
2022,355,2.22,25.05,22.2,23.63,24.99,16.78,85.0,0.01,100.36,2.01,14.12,3.18,14.25,0.77
2022,356,2.12,23.7,20.96,22.33,23.63,15.5,85.44,0.07,100.41,2.06,99.94,3.31,100.0,0.76
2022,357,2.1,22.3,18.7,20.5,22.12,13.43,81.19,0.0,100.6,2.16,28.25,3.51,28.19,0.75
2022,358,1.88,21.3,17.69,19.5,21.09,12.63,80.75,0.0,100.75,2.05,35.19,3.34,35.06,0.75
2022,359,1.92,21.5,17.87,19.69,21.58,12.76,80.94,0.0,100.87,1.7,62.94,2.76,62.88,0.74
2022,360,2.02,21.47,17.76,19.62,21.24,12.7,80.81,0.0,100.95,1.84,22.81,3.04,22.81,0.74
2022,361,2.04,22.3,18.65,20.48,22.19,13.37,81.12,0.0,100.93,1.24,79.69,2.1,80.38,0.73
2022,362,2.18,22.71,18.83,20.76,22.52,13.49,80.19,0.0,100.93,1.54,96.88,2.56,82.06,0.73
2022,363,2.18,23.93,20.45,22.19,23.85,14.95,82.0,0.02,100.92,1.83,23.88,3.0,23.88,0.72
2022,364,2.01,23.7,20.33,22.01,23.63,14.83,82.12,0.02,100.98,2.06,26.38,3.29,26.38,0.72
2022,365,1.9,21.74,18.96,20.35,21.55,13.61,84.62,0.0,100.94,2.42,15.94,3.8,15.94,0.71
