-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.3514   Longitude 105.2212 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 495.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,2.83,8.5,0.25,1.27
2022,10,2,2.91,8.65,0.25,1.28
2022,10,3,4.09,11.18,0.33,1.66
2022,10,4,5.0,13.36,0.39,1.99
2022,10,5,4.88,13.05,0.37,1.89
2022,10,6,4.0,10.88,0.3,1.49
2022,10,7,4.23,11.58,0.32,1.62
2022,10,8,2.49,7.46,0.21,1.06
2022,10,9,1.69,5.3,0.14,0.7
2022,10,10,2.97,8.22,0.23,1.16
2022,10,11,6.36,15.55,0.42,2.19
2022,10,12,6.12,15.04,0.4,2.07
2022,10,13,5.07,12.91,0.35,1.79
2022,10,14,5.78,13.94,0.38,1.94
2022,10,15,5.19,12.7,0.34,1.73
2022,10,16,6.08,14.15,0.36,1.85
2022,10,17,6.04,14.1,0.36,1.84
2022,10,18,5.75,12.84,0.33,1.68
2022,10,19,2.7,7.62,0.21,1.07
2022,10,20,1.04,3.38,0.09,0.46
2022,10,21,1.4,4.41,0.12,0.62
2022,10,22,5.2,12.62,0.32,1.65
2022,10,23,5.35,12.54,0.31,1.6
2022,10,24,4.69,11.13,0.29,1.5
2022,10,25,1.69,4.77,0.12,0.66
2022,10,26,2.38,6.96,0.2,1.0
2022,10,27,3.15,8.87,0.24,1.24
2022,10,28,4.92,11.96,0.3,1.58
2022,10,29,3.38,8.66,0.23,1.24
2022,10,30,4.12,9.94,0.27,1.4
2022,10,31,4.94,11.91,0.33,1.71
2022,11,1,5.45,12.57,0.33,1.7
2022,11,2,5.65,12.88,0.33,1.7
2022,11,3,5.66,12.89,0.32,1.65
2022,11,4,5.16,11.89,0.3,1.51
2022,11,5,4.26,9.86,0.24,1.26
2022,11,6,4.52,10.27,0.25,1.28
2022,11,7,3.97,9.27,0.23,1.16
2022,11,8,4.62,10.57,0.26,1.31
2022,11,9,4.55,10.7,0.27,1.37
2022,11,10,3.29,8.72,0.23,1.23
2022,11,11,2.52,7.08,0.2,1.02
2022,11,12,4.57,11.33,0.3,1.57
2022,11,13,3.44,8.94,0.23,1.23
2022,11,14,2.05,5.97,0.16,0.89
2022,11,15,2.81,7.82,0.22,1.16
2022,11,16,3.83,9.96,0.27,1.46
2022,11,17,4.26,10.82,0.29,1.55
2022,11,18,3.95,10.12,0.28,1.52
2022,11,19,2.45,6.88,0.2,1.07
2022,11,20,3.01,7.8,0.21,1.12
2022,11,21,2.65,6.95,0.18,0.97
2022,11,22,3.14,7.96,0.2,1.07
2022,11,23,2.11,6.02,0.16,0.85
2022,11,24,1.12,3.52,0.1,0.54
2022,11,25,2.01,5.67,0.16,0.84
2022,11,26,1.93,5.55,0.15,0.8
2022,11,27,3.45,8.92,0.23,1.2
2022,11,28,4.32,10.73,0.27,1.41
2022,11,29,4.42,10.95,0.27,1.43
2022,11,30,2.99,8.01,0.21,1.12
2022,12,1,0.72,2.31,0.06,0.35
2022,12,2,2.47,6.41,0.17,0.94
2022,12,3,2.11,5.34,0.13,0.7
2022,12,4,1.69,4.57,0.12,0.6
2022,12,5,2.0,5.45,0.15,0.8
2022,12,6,1.77,4.98,0.13,0.72
2022,12,7,1.56,4.5,0.12,0.66
2022,12,8,1.21,3.62,0.11,0.59
2022,12,9,1.17,3.46,0.1,0.55
2022,12,10,0.78,2.45,0.07,0.39
2022,12,11,1.73,4.88,0.14,0.75
2022,12,12,2.82,6.49,0.17,0.95
2022,12,13,4.13,8.77,0.22,1.16
2022,12,14,3.67,8.03,0.21,1.09
2022,12,15,4.54,9.71,0.24,1.26
2022,12,16,4.25,9.68,0.25,1.32
2022,12,17,1.83,4.64,0.13,0.72
2022,12,18,4.56,10.12,0.25,1.28
2022,12,19,4.71,9.98,0.23,1.13
2022,12,20,4.56,10.41,0.25,1.26
2022,12,21,3.43,7.65,0.18,0.94
2022,12,22,3.9,8.11,0.17,0.88
2022,12,23,3.64,8.18,0.19,0.95
2022,12,24,4.14,9.05,0.2,1.05
2022,12,25,4.38,9.77,0.23,1.16
2022,12,26,2.17,5.69,0.14,0.76
2022,12,27,1.44,4.09,0.11,0.56
2022,12,28,0.67,1.98,0.05,0.28
2022,12,29,1.08,2.95,0.08,0.42
2022,12,30,1.49,4.12,0.1,0.55
2022,12,31,1.76,4.74,0.12,0.6
