-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  20.3514   Longitude 105.2212 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 495.82 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
WD2M                    MERRA-2 Wind Direction at 2 Meters (Degrees) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                   MERRA-2 Wind Direction at 10 Meters (Degrees) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
YEAR,DOY,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M,GWETTOP
2022,274,1.27,23.83,22.66,23.25,23.8,18.19,93.5,5.01,95.3,0.54,99.94,1.73,98.38,0.93
2022,275,1.28,23.65,23.11,23.38,23.58,18.62,96.75,13.03,95.43,0.45,117.0,1.54,116.62,0.95
2022,276,1.66,24.2,22.32,23.26,24.12,17.7,90.06,2.09,95.59,0.59,106.94,1.85,107.69,0.93
2022,277,1.99,24.02,21.45,22.74,23.77,16.78,86.88,0.98,95.75,0.45,107.94,1.2,110.19,0.93
2022,278,1.89,24.62,22.18,23.4,24.55,17.58,87.62,3.92,95.73,0.5,77.81,1.48,78.88,0.93
2022,279,1.49,24.49,22.24,23.37,24.26,17.64,88.31,6.86,95.73,0.6,88.69,1.64,88.88,0.92
2022,280,1.62,23.42,22.27,22.85,23.13,17.64,93.44,13.92,95.78,0.67,77.19,1.9,77.94,0.93
2022,281,1.06,22.05,20.8,21.43,22.18,16.11,92.94,14.96,95.86,0.5,56.88,1.61,60.44,0.94
2022,282,0.7,21.75,20.8,21.28,21.73,16.17,94.38,11.22,96.09,0.84,50.56,2.68,52.56,0.94
2022,283,1.16,17.51,13.25,15.38,17.06,9.89,76.88,0.01,96.45,0.91,75.94,2.66,77.88,0.93
2022,284,2.19,18.3,12.22,15.26,17.33,9.28,69.56,0.0,96.13,0.69,125.56,1.75,127.19,0.92
2022,285,2.07,19.76,13.94,16.85,18.57,10.44,70.38,0.0,95.95,0.65,154.56,1.55,141.44,0.91
2022,286,1.79,20.09,14.37,17.23,18.79,10.68,70.62,0.0,95.87,0.74,167.88,1.72,169.38,0.91
2022,287,1.94,19.83,14.83,17.33,18.94,11.05,74.25,0.0,95.73,0.83,205.5,2.23,191.62,0.91
2022,288,1.73,19.7,14.63,17.16,18.67,10.93,73.56,0.0,95.72,0.91,89.0,2.5,75.5,0.9
2022,289,1.85,20.0,15.04,17.52,19.11,11.23,74.38,0.0,95.9,0.88,72.38,2.49,74.31,0.89
2022,290,1.84,19.87,16.58,18.23,19.71,12.33,82.12,0.0,95.92,0.82,42.44,2.87,29.88,0.89
2022,291,1.68,18.32,13.88,16.1,18.01,10.38,76.94,0.0,95.96,0.89,31.94,2.92,19.31,0.88
2022,292,1.07,15.93,11.14,13.54,15.66,8.67,75.5,0.88,95.99,0.69,28.06,2.15,31.38,0.88
2022,293,0.46,14.61,13.38,13.99,14.75,10.01,92.44,10.7,96.04,0.75,230.62,2.18,203.19,0.89
