-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 10/01/2022 through 12/31/2022 
Location: Latitude  10.4493   Longitude 106.3421 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2022,10,1,4.91,13.55,0.41,2.05
2022,10,2,3.46,10.01,0.3,1.49
2022,10,3,4.75,13.2,0.39,1.97
2022,10,4,4.0,11.38,0.34,1.7
2022,10,5,4.91,13.45,0.38,1.97
2022,10,6,3.45,9.91,0.28,1.41
2022,10,7,5.18,13.98,0.41,2.05
2022,10,8,1.16,3.84,0.11,0.57
2022,10,9,2.91,8.66,0.25,1.27
2022,10,10,4.08,11.53,0.34,1.74
2022,10,11,4.68,13.04,0.38,1.91
2022,10,12,4.73,12.94,0.37,1.83
2022,10,13,5.0,13.62,0.38,1.92
2022,10,14,4.51,12.36,0.35,1.78
2022,10,15,4.98,13.16,0.36,1.8
2022,10,16,6.15,15.41,0.41,2.09
2022,10,17,5.57,14.21,0.4,2.04
2022,10,18,4.85,12.85,0.37,1.89
2022,10,19,2.55,7.49,0.22,1.11
2022,10,20,2.02,6.16,0.17,0.87
2022,10,21,5.26,13.86,0.38,1.98
2022,10,22,4.73,12.68,0.35,1.8
2022,10,23,4.86,13.36,0.38,1.91
2022,10,24,4.93,13.12,0.36,1.84
2022,10,25,4.16,11.31,0.32,1.62
2022,10,26,4.88,13.05,0.37,1.87
2022,10,27,2.66,7.88,0.23,1.16
2022,10,28,4.03,11.29,0.32,1.64
2022,10,29,4.59,12.37,0.35,1.79
2022,10,30,4.65,12.34,0.34,1.73
2022,10,31,5.9,14.62,0.41,2.09
2022,11,1,5.23,13.09,0.37,1.88
2022,11,2,4.7,11.69,0.33,1.69
2022,11,3,2.44,7.25,0.21,1.07
2022,11,4,2.74,8.05,0.23,1.18
2022,11,5,5.46,14.02,0.39,1.99
2022,11,6,5.25,13.49,0.38,1.94
2022,11,7,4.87,12.8,0.36,1.84
2022,11,8,4.75,12.4,0.35,1.78
2022,11,9,5.03,13.13,0.37,1.89
2022,11,10,5.15,13.57,0.38,1.94
2022,11,11,4.18,11.3,0.32,1.62
2022,11,12,4.13,11.49,0.33,1.7
2022,11,13,4.57,12.38,0.34,1.77
2022,11,14,4.94,13.02,0.36,1.84
2022,11,15,4.85,12.77,0.37,1.89
2022,11,16,5.17,13.56,0.39,2.02
2022,11,17,5.14,13.51,0.39,2.06
2022,11,18,4.22,11.38,0.33,1.71
2022,11,19,2.32,7.07,0.22,1.12
2022,11,20,1.72,5.45,0.17,0.92
2022,11,21,2.35,7.25,0.23,1.19
2022,11,22,2.13,6.59,0.22,1.15
2022,11,23,3.36,9.47,0.27,1.43
2022,11,24,3.58,10.05,0.3,1.54
2022,11,25,4.23,11.27,0.32,1.66
2022,11,26,4.3,11.65,0.34,1.79
2022,11,27,5.1,13.25,0.37,1.94
2022,11,28,5.4,13.93,0.39,2.04
2022,11,29,5.35,13.73,0.38,2.02
2022,11,30,4.8,12.51,0.35,1.83
2022,12,1,5.0,13.1,0.37,1.93
2022,12,2,4.68,12.27,0.34,1.83
2022,12,3,3.31,9.39,0.27,1.47
2022,12,4,4.78,12.41,0.36,1.93
2022,12,5,5.13,13.15,0.38,1.97
2022,12,6,5.35,13.42,0.38,2.01
2022,12,7,4.06,10.95,0.33,1.76
2022,12,8,5.39,13.7,0.4,2.12
2022,12,9,4.16,10.99,0.33,1.8
2022,12,10,5.11,12.99,0.39,2.15
2022,12,11,5.13,12.91,0.38,2.04
2022,12,12,5.1,12.8,0.36,1.91
2022,12,13,5.82,13.95,0.38,2.03
2022,12,14,4.68,11.63,0.33,1.74
2022,12,15,5.33,13.4,0.38,1.98
2022,12,16,4.61,11.8,0.34,1.87
2022,12,17,3.4,9.61,0.31,1.71
2022,12,18,4.89,12.27,0.38,2.05
2022,12,19,5.45,13.48,0.41,2.23
2022,12,20,5.55,13.82,0.41,2.18
2022,12,21,5.1,12.72,0.38,2.08
2022,12,22,4.53,11.64,0.34,1.84
2022,12,23,5.47,13.2,0.38,2.09
2022,12,24,4.9,11.98,0.36,1.96
2022,12,25,5.05,12.48,0.38,2.05
2022,12,26,4.87,11.84,0.35,1.9
2022,12,27,4.62,11.37,0.34,1.87
2022,12,28,5.39,12.84,0.38,2.0
2022,12,29,5.37,13.33,0.39,2.12
2022,12,30,4.0,10.51,0.32,1.75
2022,12,31,4.19,10.93,0.33,1.82
